sig_lev_1,inventory_year,count
F: Travel Literature,2003,37
F: Travel Literature,2004,60
F: Travel Literature,2005,72
F: Travel Literature,2006,36
F: Travel Literature,2007,17
F: Travel Literature,2008,51
F: Travel Literature,2009,43
F: Travel Literature,2010,57
F: Travel Literature,2011,45
F: Travel Literature,2012,49
F: Travel Literature,2013,50
F: Travel Literature,2014,63
F: Travel Literature,2015,51
F: Travel Literature,2016,102
F: Travel Literature,2017,110
F: Travel Literature,2018,115
F: Travel Literature,2019,88
F: Travel Literature,2020,83
F: Travel Literature,2021,90
F: Travel Literature,2022,94
F: Travel Literature,2023,11
G: Sources,1985,7
G: Sources,1986,23
G: Sources,1987,10
G: Sources,1988,19
G: Sources,1989,21
G: Sources,1990,11
G: Sources,1991,9
G: Sources,1992,4
G: Sources,1993,20
G: Sources,1994,11
G: Sources,1995,12
G: Sources,1996,7
G: Sources,1997,6
G: Sources,1998,5
G: Sources,1999,6
G: Sources,2000,14
G: Sources,2001,16
G: Sources,2002,12
G: Sources,2003,7
G: Sources,2004,16
G: Sources,2005,4
G: Sources,2006,10
G: Sources,2007,13
G: Sources,2008,13
G: Sources,2009,18
G: Sources,2010,18
G: Sources,2011,25
G: Sources,2012,5
G: Sources,2013,8
G: Sources,2014,32
G: Sources,2015,11
G: Sources,2016,8
G: Sources,2017,4
G: Sources,2018,10
G: Sources,2019,12
G: Sources,2020,14
G: Sources,2021,9
G: Sources,2022,19
G: Sources,2023,2
H: Iconography,1985,95
H: Iconography,1986,93
H: Iconography,1987,96
H: Iconography,1988,85
H: Iconography,1989,80
H: Iconography,1990,94
H: Iconography,1991,92
H: Iconography,1992,107
H: Iconography,1993,157
H: Iconography,1994,158
H: Iconography,1995,115
H: Iconography,1996,151
H: Iconography,1997,146
H: Iconography,1998,178
H: Iconography,1999,184
H: Iconography,2000,228
H: Iconography,2001,208
H: Iconography,2002,156
H: Iconography,2003,183
H: Iconography,2004,254
H: Iconography,2005,218
H: Iconography,2006,227
H: Iconography,2007,245
H: Iconography,2008,231
H: Iconography,2009,193
H: Iconography,2010,229
H: Iconography,2011,229
H: Iconography,2012,263
H: Iconography,2013,259
H: Iconography,2014,354
H: Iconography,2015,338
H: Iconography,2016,294
H: Iconography,2017,376
H: Iconography,2018,331
H: Iconography,2019,225
H: Iconography,2020,272
H: Iconography,2021,288
H: Iconography,2022,291
H: Iconography,2023,42
J: Ornament,1985,6
J: Ornament,1987,6
J: Ornament,1988,2
J: Ornament,1993,4
J: Ornament,1996,3
J: Ornament,1997,6
J: Ornament,1998,7
J: Ornament,1999,5
J: Ornament,2000,3
J: Ornament,2001,4
J: Ornament,2002,4
J: Ornament,2003,2
J: Ornament,2004,5
J: Ornament,2005,1
J: Ornament,2007,1
J: Ornament,2008,2
J: Ornament,2009,7
J: Ornament,2010,1
J: Ornament,2013,2
J: Ornament,2014,3
J: Ornament,2015,1
J: Ornament,2016,8
J: Ornament,2017,11
J: Ornament,2018,4
J: Ornament,2019,1
J: Ornament,2020,2
J: Ornament,2021,5
J: Ornament,2022,3
M: Art in General,1985,89
M: Art in General,1986,98
M: Art in General,1987,118
M: Art in General,1988,96
M: Art in General,1989,109
M: Art in General,1990,95
M: Art in General,1991,105
M: Art in General,1992,114
M: Art in General,1993,181
M: Art in General,1994,117
M: Art in General,1995,134
M: Art in General,1996,155
M: Art in General,1997,134
M: Art in General,1998,280
M: Art in General,1999,344
M: Art in General,2000,255
M: Art in General,2001,188
M: Art in General,2002,229
M: Art in General,2003,190
M: Art in General,2004,252
M: Art in General,2005,312
M: Art in General,2006,228
M: Art in General,2007,281
M: Art in General,2008,213
M: Art in General,2009,211
M: Art in General,2010,174
M: Art in General,2011,214
M: Art in General,2012,272
M: Art in General,2013,249
M: Art in General,2014,422
M: Art in General,2015,498
M: Art in General,2016,478
M: Art in General,2017,510
M: Art in General,2018,588
M: Art in General,2019,476
M: Art in General,2020,358
M: Art in General,2021,503
M: Art in General,2022,561
M: Art in General,2023,63
N: Architecture,1985,69
N: Architecture,1986,30
N: Architecture,1987,87
N: Architecture,1988,54
N: Architecture,1989,50
N: Architecture,1990,38
N: Architecture,1991,37
N: Architecture,1992,41
N: Architecture,1993,103
N: Architecture,1994,82
N: Architecture,1995,147
N: Architecture,1996,108
N: Architecture,1997,103
N: Architecture,1998,148
N: Architecture,1999,113
N: Architecture,2000,147
N: Architecture,2001,153
N: Architecture,2002,150
N: Architecture,2003,97
N: Architecture,2004,131
N: Architecture,2005,160
N: Architecture,2006,126
N: Architecture,2007,119
N: Architecture,2008,121
N: Architecture,2009,116
N: Architecture,2010,91
N: Architecture,2011,99
N: Architecture,2012,115
N: Architecture,2013,141
N: Architecture,2014,177
N: Architecture,2015,188
N: Architecture,2016,141
N: Architecture,2017,141
N: Architecture,2018,216
N: Architecture,2019,181
N: Architecture,2020,76
N: Architecture,2021,117
N: Architecture,2022,131
N: Architecture,2023,22
O: Sculpture,1985,11
O: Sculpture,1986,6
O: Sculpture,1987,11
O: Sculpture,1988,2
O: Sculpture,1989,7
O: Sculpture,1990,5
O: Sculpture,1991,4
O: Sculpture,1992,21
O: Sculpture,1993,16
O: Sculpture,1994,4
O: Sculpture,1995,16
O: Sculpture,1996,5
O: Sculpture,1997,3
O: Sculpture,1998,16
O: Sculpture,1999,10
O: Sculpture,2000,10
O: Sculpture,2001,10
O: Sculpture,2002,5
O: Sculpture,2003,8
O: Sculpture,2004,3
O: Sculpture,2005,4
O: Sculpture,2006,14
O: Sculpture,2007,19
O: Sculpture,2008,5
O: Sculpture,2009,7
O: Sculpture,2010,10
O: Sculpture,2011,10
O: Sculpture,2012,20
O: Sculpture,2013,10
O: Sculpture,2014,28
O: Sculpture,2015,23
O: Sculpture,2016,10
O: Sculpture,2017,31
O: Sculpture,2018,17
O: Sculpture,2019,34
O: Sculpture,2020,11
O: Sculpture,2021,7
O: Sculpture,2022,25
O: Sculpture,2023,1
P: Painting,1985,22
P: Painting,1986,22
P: Painting,1987,17
P: Painting,1988,41
P: Painting,1989,17
P: Painting,1990,27
P: Painting,1991,23
P: Painting,1992,37
P: Painting,1993,71
P: Painting,1994,28
P: Painting,1995,46
P: Painting,1996,38
P: Painting,1997,57
P: Painting,1998,62
P: Painting,1999,39
P: Painting,2000,51
P: Painting,2001,44
P: Painting,2002,30
P: Painting,2003,61
P: Painting,2004,30
P: Painting,2005,49
P: Painting,2006,33
P: Painting,2007,41
P: Painting,2008,29
P: Painting,2009,37
P: Painting,2010,38
P: Painting,2011,46
P: Painting,2012,29
P: Painting,2013,21
P: Painting,2014,30
P: Painting,2015,58
P: Painting,2016,28
P: Painting,2017,71
P: Painting,2018,48
P: Painting,2019,50
P: Painting,2020,40
P: Painting,2021,22
P: Painting,2022,24
Q: Manuscript Illumination,1985,53
Q: Manuscript Illumination,1986,30
Q: Manuscript Illumination,1987,11
Q: Manuscript Illumination,1988,36
Q: Manuscript Illumination,1989,36
Q: Manuscript Illumination,1990,27
Q: Manuscript Illumination,1991,28
Q: Manuscript Illumination,1992,30
Q: Manuscript Illumination,1993,100
Q: Manuscript Illumination,1994,144
Q: Manuscript Illumination,1995,53
Q: Manuscript Illumination,1996,74
Q: Manuscript Illumination,1997,52
Q: Manuscript Illumination,1998,60
