text_2,inventory_year,count
Weltlicher Themenkreis,2010,103
Weltlicher Themenkreis,2011,119
Weltlicher Themenkreis,2012,93
Weltlicher Themenkreis,2013,86
Weltlicher Themenkreis,2014,171
Weltlicher Themenkreis,2015,182
Weltlicher Themenkreis,2016,174
Weltlicher Themenkreis,2017,139
Weltlicher Themenkreis,2018,180
Weltlicher Themenkreis,2019,98
Weltlicher Themenkreis,2020,152
Weltlicher Themenkreis,2021,165
Weltlicher Themenkreis,2022,175
Weltlicher Themenkreis,2023,23
