Subject,Z36H_LOAN_DATE,usertype,count
European Topography,2015,External,363
European Topography,2015,Internal,157
European Topography,2016,External,305
European Topography,2016,Internal,137
European Topography,2017,External,334
European Topography,2017,Internal,278
European Topography,2018,External,286
European Topography,2018,Internal,253
European Topography,2019,External,78
European Topography,2019,Internal,158
European Topography,2020,Internal,63
European Topography,2021,Internal,146
European Topography,2022,Internal,130
European Topography,2023,Internal,118
Graphic Arts,2013,External,158
Graphic Arts,2013,Internal,80
Graphic Arts,2014,External,142
Graphic Arts,2014,Internal,40
Graphic Arts,2015,External,131
Graphic Arts,2015,Internal,40
Graphic Arts,2016,External,152
Graphic Arts,2016,Internal,52
Graphic Arts,2017,External,99
Graphic Arts,2017,Internal,123
Graphic Arts,2018,External,122
Graphic Arts,2018,Internal,86
Graphic Arts,2019,External,78
Graphic Arts,2019,Internal,73
Graphic Arts,2020,Internal,31
Graphic Arts,2021,External,1
Graphic Arts,2021,Internal,76
Graphic Arts,2022,External,5
Graphic Arts,2022,Internal,125
Graphic Arts,2023,Internal,52
Iconography,2013,External,2213
Iconography,2013,Internal,553
Iconography,2014,External,2684
Iconography,2014,Internal,436
Iconography,2015,External,1946
Iconography,2015,Internal,466
Iconography,2016,External,2242
Iconography,2016,Internal,548
Iconography,2017,External,1714
Iconography,2017,Internal,789
Iconography,2018,External,1348
Iconography,2018,Internal,631
Iconography,2019,External,749
Iconography,2019,Internal,712
Iconography,2020,Internal,174
Iconography,2021,External,5
Iconography,2021,Internal,332
Iconography,2022,External,14
Iconography,2022,Internal,520
Iconography,2023,External,5
Iconography,2023,Internal,573
Italian Art,2013,External,4360
Italian Art,2013,Internal,726
Italian Art,2014,External,4915
Italian Art,2014,Internal,718
Italian Art,2015,External,4582
Italian Art,2015,Internal,771
Italian Art,2016,External,4375
Italian Art,2016,Internal,1111
Italian Art,2017,External,2950
Italian Art,2017,Internal,1541
Italian Art,2018,External,2385
Italian Art,2018,Internal,1164
Italian Art,2019,External,893
Italian Art,2019,Internal,945
Italian Art,2020,External,1
Italian Art,2020,Internal,358
Italian Art,2021,External,4
Italian Art,2021,Internal,643
Italian Art,2022,External,22
Italian Art,2022,Internal,770
Italian Art,2023,External,1
Italian Art,2023,Internal,655
Italian Artists,2013,External,10220
Italian Artists,2013,Internal,1612
Italian Artists,2014,External,10024
Italian Artists,2014,Internal,1730
Italian Artists,2015,External,10329
Italian Artists,2015,Internal,1687
Italian Artists,2016,External,9910
Italian Artists,2016,Internal,2193
Italian Artists,2017,External,7615
Italian Artists,2017,Internal,2898
Italian Artists,2018,External,5811
Italian Artists,2018,Internal,2528
Italian Artists,2019,External,2727
Italian Artists,2019,Internal,2439
Italian Artists,2020,External,7
Italian Artists,2020,Internal,597
Italian Artists,2021,External,11
Italian Artists,2021,Internal,1327
Italian Artists,2022,External,58
Italian Artists,2022,Internal,1468
Italian Artists,2023,External,25
Italian Artists,2023,Internal,1484
Italian Topography,2013,External,4634
Italian Topography,2013,Internal,1195
Italian Topography,2014,External,5191
Italian Topography,2014,Internal,820
Italian Topography,2015,External,4579
Italian Topography,2015,Internal,864
Italian Topography,2016,External,4270
Italian Topography,2016,Internal,1339
Italian Topography,2017,External,3182
Italian Topography,2017,Internal,1644
Italian Topography,2018,External,2423
Italian Topography,2018,Internal,1347
Italian Topography,2019,External,950
Italian Topography,2019,Internal,1087
Italian Topography,2020,External,3
Italian Topography,2020,Internal,320
Italian Topography,2021,External,13
Italian Topography,2021,Internal,592
Italian Topography,2022,External,16
Italian Topography,2022,Internal,894
Italian Topography,2023,External,4
Italian Topography,2023,Internal,802
Manuals,2013,External,1197
Manuals,2013,Internal,162
Manuals,2014,External,1109
Manuals,2014,Internal,78
Manuals,2015,External,728
Manuals,2015,Internal,159
Manuals,2016,External,667
Manuals,2016,Internal,210
Manuals,2017,External,401
Manuals,2017,Internal,190
Manuals,2018,External,554
Manuals,2018,Internal,87
Manuals,2019,External,173
Manuals,2019,Internal,239
Manuals,2020,Internal,63
Manuals,2021,Internal,83
Manuals,2022,External,6
Manuals,2022,Internal,85
Manuals,2023,External,3
Manuals,2023,Internal,116
Manuscript Illumination,2013,External,88
Manuscript Illumination,2013,Internal,11
Manuscript Illumination,2014,External,99
Manuscript Illumination,2014,Internal,20
Manuscript Illumination,2015,External,91
Manuscript Illumination,2015,Internal,21
Manuscript Illumination,2016,External,160
Manuscript Illumination,2016,Internal,18
Manuscript Illumination,2017,External,106
Manuscript Illumination,2017,Internal,26
Manuscript Illumination,2018,External,100
Manuscript Illumination,2018,Internal,31
Manuscript Illumination,2019,External,41
Manuscript Illumination,2019,Internal,66
