id,lang,authors,title,subtitle,statement,place,publisher,year,editors,subjects,subject_types,parentId,parentTitle
BV014770545,eng,,The Australian and New Zealand journal of family therapy,,,Oxford,Wiley-Blackwell,1979-,,,,,
BV014770814,eng,,ACM SIGDOC Asterisk journal of computer documentation,,"Association for Computing Machinery, Special Interest Group for Documentation","New York, NY",ACM,1975-1999,,,,,
BV014770949,eng,,"International journal of surface mining, reclamation and environment",,,London [u.a.],Taylor & Francis,1987-2005,,,,,
BV014771013,eng,,Acta borealia,,,London [u.a.],Taylor and Francis,1984-,,,,,
BV014771073,eng,,Notre Dame journal of formal logic,,University of Notre Dame,"Durham, NC",Duke Univ. Press,1990-,,,,,
BV014771118,ger,,Tätigkeitsbericht,,Bundesstiftung zur Aufarbeitung der SED-Diktatur,Berlin,Bundesstiftung zur Aufarbeitung der SED-Diktatur,2002-,,,,,
BV014771376,ger,,Allgemeines Künstlerlexikon,,,München [u.a.],Saur,2002,,,,,
BV014771382,ger,,Allgemeines Künstlerlexikon,,,München [u.a.],Saur,2002,,,,,
BV014771518,nor,,Naerhet og avstand,,J. Rasmus Brandt ... (red.),Oslo,Novus Forl.,2000,"Brandt, J. Rasmus",Nordische Staaten|Kulturbeziehungen,g|s,,
BV014772169,eng,"Clarke, Mark",The art of all colours,,Mark Clarke,London,Archetype Publ.,2001,,Buchmalerei,s,,
BV014772210,eng,,Incunabula and their readers,,ed. by Kristian Jensen,London,British Library,2003,"Jensen, Kristian",Inkunabel,s,,
BV014772288,eng,,OECD journal on budgeting,,,Paris,Organisation for Economic Co-operation and Development,2001-,,,,,
BV014772509,eng,,Proceedings of the Institution of Mechanical Engineers,,,London,Sage Publ.,2002-,,,,,
BV014772513,ita,"Spahr, Rodolfo",Le monete siciliane dai Bizantini a Carlo I d'Angiò,,Rodolfo Spahr,Zurich [u.a.],Asscociation Internat. des Numismates Professionnels [u.a.],1976,,"Karl I. (Neapel-Sizilien, König)",p,BV000891456,Publications de l'Association Internationale des Numismates Professionnels
BV014772931,ger,,Führer durch die Staatliche Münzsammlung in München,,bearb. von Paul Grotemeyer,München,Verl. d. Bayer. Numismat. Ges.,1937,"Grotemeyer, Paul",,,,
BV014773435,lat,,Acta nationis Germanicae,,[Centro per la Storia dell'Università di Padova],Padova,Antenore,2002,"Dalla Francesca Hellmann, Elisabetta|Mantovani, Gilda|Rossetti, Lucia|Rossetti, Lucia",,,BV000003884,Fonti per la storia dell'Università di Padova
BV014773530,eng,"Stark-Arola, Laura","Peasants, pilgrims, and sacred promises",,Laura Stark,Helsinki,Finnish Literature Soc.,2002,,Karelien|Orthodoxe Kirche,g|s,BV006147470,Studia Fennica folkloristica
BV014774247,eng,,Strategic direction,,,Bingley,Emerald,2002-,,,,,
BV014774531,ger,"Weber, Christoph",Genealogien zur Papstgeschichte,,... bearb. von Christoph Weber,Stuttgart,Hiersemann,(2002),,,,BV000003761,Päpste und Papsttum
BV014775061,eng,,American nineteenth century history,,,London,Cass,2000-,,USA|Zeitschrift,g|s,,
BV014775070,eng,,Contemporary security policy,,,London,"Routledge, Taylor & Francis Group",1994-,,Sicherheitspolitik,s,,
BV014775079,eng,,Defence studies,,,London,Cass,2001-,,,,,
BV014775122,eng,,Mediterranean politics,,,London,Cass,1996-,,Mittelmeerraum|Politik,g|s,,
BV014775144,eng,,The journal of peasant studies,,,London,Cass,1973-,,Agrarwissenschaft,s,,
BV014775181,eng,,Journal of the American Water Resources Association,,,Middleburg VA,Assoc.,1967-,,Wasserreserve,s,,
BV014775233,eng,,City journal,,The Manhattan Institute,"New York, NY",,[1995?]-,,,,,
BV014775284,eng,,ACM SIGCUE outlook,,Association for Computing Machinery,"New York, NY",ACM,1970-2001,,,,,
BV014775388,eng,,ACM SIGSMALL - PC notes,,,"New York, NY",ACM,1985-1993,,Personal Computer,s,,
BV014775460,eng,,ACM SIGIR forum,,"Association for Computing Machinery, Special Interest Group on Information Retrieval","New York, NY",ACM,1971-,,,,,
BV014775494,eng,,ACM SIGPLAN LISP pointers,,Special Interest Group on Programming Languages (SIGPLAN),"New York, NY",ACM,1987-1995,,LISP,s,,
BV014775569,eng,,ACM SIGForth newsletter,,Association for Computing Machinery's Special Interest Group on Forth,"New York, NY",ACM Press,1989-1994,,,,,
BV014775631,eng,,ACM SIGWEB newsletter,,,"New York, NY",ACM,1992-,,,,,
BV014775709,eng,,Books on military architecture printed in Venice,,comp. by Paul Breman,MS't Goy-Houten,HES & De GRAAF Publ.,2002,"Breman, Paul",Venedig|Militärbau,g|s,,
BV014776107,ger,"Basner, Hildegard",Der Danziger Maler Hermann Hahn,,Hildegard Basner,Danzig,Kafemann,1935,"Han, Herman",,,BV014240604,Danziger kunstgeschichtliche Forschungen
