id,lang,authors,title,subtitle,statement,place,publisher,year,editors,subjects,subject_types,parentId,parentTitle
BV007656874,ita,,Guida al Museo Civico di Siena,,a cura di Fabio Bisogni ...,Siena,Edisiena,1985,"Bisogni, Fabio",Museo Civico,b,,
BV007656935,eng,"Sherrill, Charles Hitchcock","Mosaics in Italy, Palestine, Syria, Turkey and Greece",,,London,Bodley Head,1933,,Naher Osten|Mosaik,g|s,,
BV007656954,ita,,Il Museo Napoleonico,,itinerario a cura di Laura Capon. Hanno collaborato alla ricerca Giulia Gorgone ...,Roma,Palombi,1986,"Capon, Laura|Gorgone, Giulia",Bonaparte (Familie)|Museo Napoleonico|Rom,p|b|g,,
BV007657392,ger,"Koch, Michael",Ferdinand Keller,,,Karlsruhe,Müller,1978,"Keller, Ferdinand","Keller, Ferdinand",p,,
BV007657393,ita,"Mancini, Francesco Federico",Raffaello in Umbria,,Francesco Federico Mancini,Perugia,Volumnia,1987,,Raffael|Umbrien|Malerei,p|g|s,,
BV007657459,eng,,The graphic art of Federico Barocci,,Edmund P. Pillsbury ; Louise S. Richards,s.l.,Yale Univ. Art Gallery,1978,"Pillsbury, Edmund P.|Richards, Louise S.|Barocci, Federico","Barocci, Federico|Druckgrafik",p|s,,
BV007657515,eng,,Joslyn Art Museum,,ed. by Holliday T. Day ...,"Omaha, Neb.",Univ. of Nebraska Pr.,1987,"Day, Holliday T.",Joslyn Art Museum,b,,
BV007657520,ita,"Cresti, Carlo",La Toscana dei Lorena,,Carlo Cresti,Milano,Pizzi,1987,,Toskana|Architektur|Lothringen von (Dynastie : 1350-1765),g|s|p,,
BV007657808,ger,"Gollob, Hedwig M.",Die Renaissance in Wien,,von Hedwig Gollob,Wien,Gerold,1954,,"Wien|Kultur|Altmann, F.",g|s|p,,
BV007658196,slv,"Mesesnel, France","Janez Wolf, 1825 - 1884",,France Mesesnel. Andreja Žigon,Ljubljana,Slovensko Umetnostnozgodovinsko Društvo,1986,"Žigon, Andreja",,,BV002703944,Zbornik za umetnostno zgodovino
BV007658530,ger,"Schmarsow, August",Raphael und Pinturicchio in Siena,,von August Schmarsow,Stuttgart,Spemann,1880,,Pintoricchio|Dom Siena|Bibliothek,p|g|s,,
BV007658889,ger,"Keller, Hiltgart L.",Mittelrheinische Buchmalereien in Handschriften aus dem Kreise der Hiltgart von Bingen,,Hiltgart L. Keller,,,1933,,"Hildegard (Bingen, Äbtissin, Heilige)|Buchmalerei",p|s,,
BV007659114,ita,,La letteratura di viaggio,,a cura di Maria Enrica D'Agostini,Milano,Guerini,1987,"D'Agostini, Maria Enrica",Reiseliteratur,s,,
BV007661860,ger,"Brendel, Friedmar",Freiberg,,Friedmar Brendel,Dresden,Sachsenverl.,1960,,Freiberg,g,BV006185646,Kleine Städtereihe
BV007661864,ger,,Biblia pauperum,,[R. Ehwald],Weimar,Ges. der Bibliophilen,1906,"Ehwald, Rudolf",,,,
BV007661894,ger,,Stralsund,,beschrieben von Fritz Adler,Berlin,Dt. Kunstverl.,1928,"Adler, Fritz",Stralsund|Architektur,g|s,BV011695080,Pommern
BV007662229,ger,,"Meisterzeichnungen aus der Eremitage in Leningrad, dem Puschkin-Museum und der Tretjakow-Galerie in Moskau",,KR: Graphische Sammlung Albertina <Wien>.,Wien,,1972,,Grafik|Gosudarstvennyj muzej izobrazitelʹnych iskusstv imeni A.S. Puškina,s|b,BV026063772,Albertina <Wien>: Ausstellung.
BV007662737,ita,"Cozzi, Mauro",Antonio da Sangallo il Vecchio e l'architettura del Cinquecento in Valdichiana,,Mauro Cozzi,Genova,Sagep,1992,"Sangallo, Antonio da","Sangallo, Antonio da|Val di Chiana|Architektur",p|g|s,,
BV007662738,ger,"West, Robert",Entwicklungsgeschichte des Stils,,,München,Hyperionverl.,1923,,,,,
BV007662919,eng,"Brown, Alison",The Medici in Florence,,Alison Brown,Firenze,Olschki,1992,,Medici (Familie : 13.-18. Jahrhundert)|Renaissance|Florenz,p|s|g,BV002175153,Italian medieval and Renaissance studies
BV007662925,spa,"Pérez Sánchez, Alfonso E.",Pintura barroca en España,,Alfonso E. Pérez Sánchez,Madrid,Cátedra,1992,,Spanien|Malerei,g|s,,
BV007663298,ger,,Baudekoration als Bildungsanspruch,,,Marburg,Jonas,1993,,Weser-Gebiet|Bauornament,g|s,BV035418418,Materialien zur Kunst- und Kulturgeschichte in Nord- und Westdeutschland
BV007663947,ger,"Seeßlen, Georg",Faust,,Georg Seesslen,Duisburg,Atlas-Film + AV,1992,,"Faust|Gründgens, Gustaf",u|p,,
BV007666904,ita,"Tassini, Sonia",Il battistero di Cremona,,,Cremona,Turris,1988,,Baptisterium Cremona,g,,
BV007666935,ger,,Die deutsche Napoleon-Karikatur,,von Friedrich Schulze,Weimar,Gesellschaft der Bibliophilen,1916,"Schulze, Friedrich","Napoleon I. (Frankreich, Kaiser)|Karikatur",p|s,BV020555280,Gesellschaft der Bibliophilen
BV007667667,ita,,Restauri a Venezia 1967 - 1986,,Ministero per i Beni Culturali e Ambientali. [Coordinamento: Francesco Valcanover. Red.: Sandro Sponza ...],Venezia,,1986,"Valcanover, Francesco|Sponza, Sandro",Venedig|Plastik,g|s,BV037477914,Restauri a Venezia
