id,lang,authors,title,subtitle,statement,place,publisher,year,editors,subjects,subject_types,parentId,parentTitle
BV021787346,eng,,Mechanics based design of structures and machines,,,"Philadelphia, Pa.",Taylor & Francis,2003-,,,,,
BV021787506,eng,,Ancient narrative,,,Eelde,Barkhuis,2002-,,,,,
BV021787795,eng,,The journal of physical chemistry,,publ. weekly by the American Chemical Society,"Washington, DC",Soc.,2007-,,Physikalische Chemie,s,,
BV021787867,ita,"Laurenti, Stefania",Il secolo d'oro,,Stefania Laurenti ; con un saggio di Gandolfo Cascio,Roma,EdUP,2006,,Europa|Kunst,g|s,BV021276831,Universale
BV021787894,eng,,International journal of web services research,,,"Hershey, Pa.",IGI Publ.,2004-,,,,,
BV021787914,ger,"Chantelou, Paul Fréart de",Bernini in Paris,,hrsg. von Pablo Schneider und Philipp Zitzlsperger,Berlin,Akad.-Verl.,2006,"Schneider, Pablo|Zitzlsperger, Philipp","Chantelou, Paul Fréart de|Versailles|Hof",p|g|s,,
BV021787923,lat,"Bosch, Jacob",Symbolographia Sive De Arte Symbolica Sermones Septem,,Auctore R. P. Jacobo Boschio [SJ] E Societate Jesu. [M. Titelkupf. v. Joh. G. Wolffgang. Kupf. v. Jakob Müller nach I. C. Schalckh],Augustae Vindelicorum ; Dilingae,Johann Caspar Bencard,1701,"Wolfgang, Johann Georg|Müller, Jakob|Schalckh, I. C.",Emblem,s,,
BV021789562,ita,"Zorzi, Alvise",L' Olimpo sul soffitto,,Alvise Zorzi,Milano,Mondadori,2006,,"Tiepolo, Giovanni Battista",p,,
BV021789625,eng,"Verstegen, Ian","Arnheim, Gestalt, and art",,Ian Verstegen,Wien [u.a.],Springer,2005,,"Arnheim, Rudolf|Kunstpsychologie",p|s,,
BV021789976,ita,,Alfa e Omega,,a cura di Valentino Pace. Testo di Marcello Angheben,Castel Bolognese,Itaca,2006,"Pace, Valentino|Angheben, Marcel",Jüngstes Gericht,s,,
BV021789985,dan,,AIGIS,,,[S.l.],[Verlag nicht ermittelbar],2001-,,,,,
BV021789986,ger,,Sozial.Geschichte,,,Bern,Lang,2003-2007,,,,,
BV021789995,eng,,Canadian public policy,,,"Guelph, Ont.",Canadian Public Policy,1975-,,Kanada|Wirtschaftspolitik,g|s,,
