id,lang,authors,title,subtitle,statement,place,publisher,year,editors,subjects,subject_types,parentId,parentTitle
BV019672679,ger,,Kürschners Handbuch der bildenden Künstler,,,München ; Leipzig,Saur,2005-2007,,Deutschland|Künstler,g|s,,
BV019672804,ger,,Das Buch der Christus-Ikonen,,Karl Christian Felmy,Freiburg [u.a.],Herder,2004,"Felmy, Karl Christian",Ikone,s,,
BV019673322,ger,"Fornoff, Roger",Die Sehnsucht nach dem Gesamtkunstwerk,,Roger Fornoff,Hildesheim [u.a.],Olms,2004,,"Gesamtkunstwerk|Runge, Philipp Otto",s|p,BV014906402,Echo
BV019673565,eng,"Arciszewska, Barbara",The Hanoverian court and the triumph of Palladio,,Barbara Arciszewska,Warsaw,Wydawn. DiG,2002,,Staat Hannover|Palladianismus,g|s,,
BV019673896,ita,"Ponti, Gio",Cento lettere,,Gio Ponti. [A cura di Silvana Sermisoni],Milano,Archinto,2004,"Sermisoni, Silvana","Ponti, Gio",p,,
BV019673917,ger,"Meurer, Moritz",Das Studium der Naturformen an kunstgewerblichen Schulen,,von M. Meurer,Berlin,Wasmuth,1889,,,,,
BV019673929,ita,,La pittura su maiolica a Faenza nel secondo Ottocento,,Santa Cortesi,Faenza (Ravenna),Casanova,2002,"Cortesi, Santa",Faenza|Fayencemalerei,g|s,,
BV019674155,eng,"Castiglione, Caroline",Patrons and adversaries,,Caroline Castiglione,Oxford [u.a.],Oxford Univ. Press,2005,,Barberini (Familie : 11.-18. Jh. : Rom)|Montelibretti,p|g,,
BV019674318,dut,,Saksisch Porselein,,,Amsterdam,Rijksmuseum,1962,,Rijksmuseum|Meißener Porzellan|Sachsen,b|s|g,,
BV019674617,pol,"Tabor, Dariusz",Iluminacje cysterskich kodeksów śląskich XIII wieku,,Dariusz Tabor,Kraków,Księgarnia Akad.,2004,,Schlesien|Zisterzienserkloster|Zisterzienser,g|s|b,,
BV019674957,ger,"Goya y Lucientes, Francisco José de",Goya,,Werner Hofmann,München,Beck,2004,"Hofmann, Werner","Goya y Lucientes, Francisco José de",p,,
BV019675235,ita,,Rinascimento a Roma,,Sergio Guarino,Milano,Motta,2004,"Guarino, Sergio",Rom|Malerei,g|s,,
BV019675277,eng,"Kirk, Thomas Allison",Genoa and the sea,,Thomas Allison Kirk,Baltimore [u.a.],The Johns Hopkins Univ. Press,2005,,Genua|Seehandel,g|s,BV008004487,Johns Hopkins University studies in historical and political science
BV019675541,ger,,Oberösterreich,,bearb. von Peter Adam ... Beitr. von Therese Backhausen ...,Horn [u.a.],Berger,2003,"Adam, Peter|Backhausen, Therese",Mühlviertel,g,,
BV019675611,eng,,Bridging the Tiber,,ed. by Helen Patterson,London,British School at Rome,2004,"Patterson, Helen M.",Tibertal|Archäologie,g|s,BV004706467,Archaeological monographs of the British School at Rome
BV019675789,ita,,Mobili dipinti,,a cura di Elisabetta Barbolini Ferrari. Testi di Elisabetta Barbolini Ferrari ...,Modena,Icaro Ed.,2004,"Barbolini Ferrari, Elisabetta",Italien|Möbelmalerei,g|s,,
BV019676145,ger,"Broekmann, Theo",Rigor iustitiae,,Theo Broekmann,Darmstadt,Wiss. Buchges.,2005,,Italien|Herrschaft,g|s,,
BV019676397,ger,,Expansionen in der Frühen Neuzeit,,hrsg. von Renate Dürr ...,Berlin,Duncker & Humblot,2005,"Dürr, Renate",Europa|Expansion,g|s,BV019800894,Zeitschrift für historische Forschung
BV019676447,ger,"Heinz-Mohr, Gerd",Gott liebt die Esel,,Gerd Heinz-Mohr,Düsseldorf [u.a.],Diederichs,1972,,,,,
BV019676468,ger,"Baumüller, Barbara",Johann Georg von Dillis (1759 - 1841),,Barbara Baumüller,,,2005,,"Dillis, Johann Georg von|Zeichnung",p|s,,
BV019676725,eng,,Cézanne in the studio,,Carol Armstrong,"Los Angeles, Calif.",J. Paul Getty Museum,2004,"Armstrong, Carol M.|Cézanne, Paul","Cézanne, Paul",p,,
BV019676975,eng,,The times literary supplement historical archive,,,London,,1902-,,Literatur,s,,
BV019677445,ita,,Riuscire postcrociani senza essere anticrociani,,a cura di Angelo R. Pupino,Tavarnuzze (Firenze),Ed. del Galluzzo,2004,"Pupino, Angelo Raffaele","Croce, Benedetto",p,BV013950343,Carte e carteggi
BV019677822,eng,"Tervoort, Ad",The iter Italicum and the Northern Netherlands,,by Ad Tervoort,Leiden [u.a.],Brill,2005,,Italien|Universität,g|s,BV004836256,Education and society in the Middle Ages and Renaissance
BV019677946,lat,Ammonius,Ammonius Hermeae Commentaria in Peri hermeneias Aristotelis,,übers. von Bartholomaeus Sylvanus,Stuttgart-Bad Cannstatt,Frommann-Holzboog,2005,"Sylvanius, Bartholomaeus",Aristoteles|Kommentar,u|s,BV013694200,Commentaria in Aristotelem Graeca
BV019678188,ita,"Silvestro, Filippo","Carlo Zatti, pittore",,Filippo Silvestro,Reggio Emilia,"Deputazione di Storia Patria per le Antiche Provincie Modenesi, Sez. di Reggio Emilia",2003,,"Zatti, Carlo",p,BV012767382,Bollettino storico reggiano
BV019678351,lat,,Codex diplomaticus Cavensis,,"curantibus DD. Michaele Morcaldi, Mauro Schiani, Sylvano de Stephano O.S.B.",Neapoli,Excudebat Petrus Piazzi,1877,"Morcaldi, Michele|Schiani, Mauro|De Stefano, Silvano",,,,
BV019678511,eng,"Nevile, Jennifer",The eloquent body,,Jennifer Nevile,"Bloomington, IN [u.a.]",Indiana Univ. Press,2004,,Italien|Tanz,g|s,,
BV019678628,ita,"Modesti, Adelina",Elisabetta Sirani,,Adelina Modesti,Bologna,Ed. Compositori,2004,"Sirani, Elisabetta","Sirani, Elisabetta|Bologna|Malerei",p|g|s,,
BV019678653,eng,,The church of Santa Maria Donna Regina,,ed. by Janis Elliott ...,Aldershot [u.a.],Ashgate,2004,"Elliott, Janis",Santa Maria di Donnaregina|Wandmalerei|Tino (di Camaino),g|s|p,,
BV019678696,eng,,Royal Picture Gallery Mauritshuis,,comp. by Quentin Buvelot,Zwolle,Waanders,2004,"Buvelot, Quentin",Koninklijk Kabinet van Schilderijen Mauritshuis,b,,
BV019678775,ita,"Fasiolo, Onorio",I mosaici di Aquileia,,Onorio Fasiolo,Roma,Tiber Arti Grafiche,1915,,,,,
BV019678783,ita,,Il centro storico di Roma,,a cura di Roberto Cassetti ...,Roma,Gangemi Ed.,2004,"Cassetti, Roberto",Rom|Altstadt,g|s,BV019678648,Opus
BV019678936,ita,"Marconi, Nicoletta",Edificando Roma barocca,,Nicoletta Marconi,Città di Castello,Edimond,2004,,Rom|Bauhandwerk,g|s,BV019524060,"Ricerche, fonti e testi per la storia di Roma"
BV019679472,eng,,Eastward bound,,ed. by Rosamund Allen,Manchester [u.a.],Manchester Univ. Press,2004,"Allen, Rosamund",Reise,s,,
BV019679481,ita,"Fino, Lucio",Scene e costumi popolari a Napoli tra '700 e '800,,Lucio Fino,Napoli,Grimaldi,2004,,Neapel|Alltag,g|s,,
BV019679756,eng,,Reappraisals of the scientific revolution,,edited by David C. Lindberg and Robert S. Westman,Cambridge [u.a.],Cambridge University Press,2004,"Lindberg, David C.|Westman, Robert S.",Wissenschaftliche Revolution,s,,
BV019679847,eng,,Acta crystallographica,,International Union of Crystallography,Oxford [u.a.],Blackwell,2005-,,,,,
BV019680002,fre,,La peinture au Musée d'Orsay,,sous la dir. de Serge Lemoine,Paris,Éd. de La Martinière [u.a.],2004,"Lemoine, Serge",Musée d'Orsay|Frankreich|Malerei,b|g|s,,
BV019680516,ger,"Chomentowska, Sylwia M.",Vom bewegten Motiv zum verzeitlichten Medium,,Sylwia M. Chomentowska,München,scaneg,2004,,Europa|Landschaftsmalerei,g|s,BV009901527,Punctum
BV019680550,ita,"Caffiero, Marina",Battesimi forzati,,Marina Caffiero,Roma,Viella,2004,,Rom|Zwangstaufe,g|s,BV037479486,La corte dei papi
BV019681113,ita,,Giovan Battista Moroni,,a cura di Simone Facchinetti,Milano,Silvana,2004,"Facchinetti, Simone|Moroni, Giovanni Battista","Moroni, Giovanni Battista|Lombardei|Malerei",p|g|s,BV037479841,I quaderni del Museo Bernareggi
BV019681154,ita,,Historia plantarum,,[direttore del progetto: Silvia Panini],Modena,Panini,2004,"Panini, Silvia|Segre Rutz, Vera|Lazzarini, Ennio",,,,
BV019681161,ita,,Historia plantarum,,[direttore del progetto: Silvia Panini],Modena,Panini,,"Panini, Silvia|Segre Rutz, Vera|Lazzarini, Ennio",,,,
