sign	grp	nr	ref	name	comment	author	date	x
KatP-CER	KatP	420		Cerasi, Claudio und Elena		ph	2008.07.16	
Cm-POL	Cm	8310		Polverini, Vittorangelo		ph	2008.07.16	
KatE-FON	KatE	7490		Fontanellato		gw	2008.07.16	
E-BOG	E	52		Bogogno		ph	2008.07.21	
K-FIN	K	2316		Finger, Heinz	Bibliothekar	gw	2008.07.21	
K-KEN	K	110		Kenaan-Kedar, Nurith		ph	2008.07.21	
KatE-SAN	KatE	7362		Santa Marinella		gw	2008.07.25	
Cm-SEC	Cm	1048		Seccia, Anna		gw	2008.08.27	
Ca-QUE	Ca	50		Querci, Dario		gw	2008.08.27	
K-RAS	K	5830		Raspi Serra, Joselita		ph	2008.08.28	
KatM-IVR	KatM	1707		Ivrea		gw	2008.08.29	
KatV-APA	KatV	8950		Apax Libri	Kunstbuchhandel in Florenz	gw	2008.09.01	
Cm-FAB	Cm	6805		Fabbri, Marcello		gw	2008.09.01	
Wa-HUE	Wa	716		Huebner, Carl Wilhelm		ph	2008.09.01	
Wa-LOT	Wa	60		Loth, Ulrich		ph	2008.09.01	
KatA-CER	KatA	6534		Cerreto Guidi		gw	2008.09.02	
K-LOR	K	3252		Lori Sanfilippo, Isa		gw	2008.09.02	
Zo-LEO	Zo	8310		Leo Vercellensis		ph	2008.09.04	
K-BOR	K	2740		Borgolte, Michael		gw	2008.09.04	
K-BUR	K	3812		Burkhardt, Johannes		gw	2008.09.04	
Zs-FLU	Zs	1394		Fludd, Robert		gw	2008.09.04	
Cm-BAY	Cm	4242		Baylon, Diana		gw	2008.09.05	
Cm-SPA	Cm	220		Spada, Peter		gw	2008.09.05	
Cm-CEG	Cm	5251		Cego, Carlo		gw	2008.09.08	
Cm-IND	Cm	6598		Indrimi, Lorenzo		gw	2008.09.08	
Cm-DIL	Cm	3274		Diliberto, Emanuele		gw	2008.09.08	
Ca-GIO	Ca	7970		Giovanni Stefano di Lorentino da Sondalo		ph	2008.09.08	
K-GER	K	7272		Gerszi, Terez		ph	2008.09.10	
Zs-DAV	Zs	3331		David de Dinant		ph	2008.09.10	
Zs-NIC	Zs	5435		Nicola da Rocca (senior)	dok. seit 1254, nicht zu verwechseln mit seinem gleichnamigen nipote	ph	2008.09.11	
Hh	Hh	8048	v	Amasio	di Teano	gw	2008.09.11	
E-ALT	E	22		Altare		gw	2008.09.11	
Cm-ARM	Cm	5265		Armocida, Corrado		gw	2008.09.11	
Wm-REI	Wm	6180		Reinhart, Fabio	schweizer Architekt	gw	2008.09.11	
Ca-PIT	Ca	7570		Pittoni, Gasparina	Ehefrau des Miniators und Stechers Battista Pittoni	ph	2008.09.11	
Cm-TOS	Cm	3252		Tosi, Piero		gw	2008.09.11	
Cm-TOR	Cm	2340		Tornatore, Giuseppe		ph	2008.09.12	
Cm-CAS	Cm	180		Casadio, Roberto		gw	2008.09.12	
K-BEN	K	4880		Benker, Sigmund		ph	2008.09.16	
