sign	grp	nr	ref	name	comment	author	date	x
Ca-ABB	Ca	70		Abbate, Niccolo dell'		nk	1987.09.22	
Ca-ABB	Ca	105		Abbati, Clemente degli		ni	1984.11.28	
Ca-ABB	Ca	110		Abbati, Giuseppe		ni	1984.11.28	
Ca-ABB	Ca	150		Abbatini, Guido Ubaldo		gw	1990.03.21	
Ca-ABB	Ca	180		Abbiati, Filippo		ni	1984.11.28	
Ca-ABB	Ca	220		Abbondi, Antonio di Pietro	gen. Scarpagnino	fr	1990.06.21	
Ca-ABO	Ca	8		Abondio	Familie	ni	1984.11.28	
Ca-ABO	Ca	10		Abondio, Alessandro		ni	1984.11.28	
Ca-ABO	Ca	20		Abondio, Antonio d.J.		ni	1984.11.28	
Ca-ABO	Ca	30		Abondio, Antonio d. Ae.		ni	1984.11.28	
Ca-ACE	Ca	6472		Acerbi, Ezechiele		ni	1984.11.28	
Ca-ACQ	Ca	80		Acqua, Francesco dell'		fr	1990.06.22	
Ca-ACQ	Ca	7962		Acquisti, Luigi		fr	1993.03.31	
Ca-ADE	Ca	4624		Ademollo, Luigi		fr	1988.05.27	
Ca-AGA	Ca	10		Agabiti, Pietro Paolo		nk	1986.03.19	
Ca-AGA	Ca	110		Agazzi, Ermenegildo		ni	1984.11.28	
Ca-AGN	Ca	1910		Agnelli, Antonio		gw	1988.07.22	
Ca-AGN	Ca	1960		Agneni, Eugenio		fr	1987.01.20	
Ca-AGN	Ca	5448		Agnolo di Domenico di Donnino		nk	1989.07.10	
Ca-AGN	Ca	5464		Agnolo di Nalduccio Marretti		fr	1992.01.17	
Ca-AGO	Ca	7265		Agostini, Giovanni Antonio		fr	1989.06.30	
Ca-AGO	Ca	7285		Agostino Ducci	eigentl.: Agostino d'Antonio di Duccio (Guccio). Nach seiner eigenen Signatur: Agostino da Firenze	ni	1984.11.28	
Ca-AGO	Ca	7295		Agostino di Giovanni	und Agnolo di Ventura	(import)	2018.06.06	
Ca-AGO	Ca	7316		Agostino da Lodi		nk	1988.11.18	
Ca-AGR	Ca	30		Agrate, Gian Francesco Ferrari da		fr	1993.11.03	
Ca-AGR	Ca	60		Agresti, Livio	detto Il Ricciutino	ni	1984.11.28	
Ca-AGR	Ca	75		Agricola, Augusto	Fotograf, 1819-1857	fr	1993.09.20	
Ca-AGR	Ca	80		Agricola, Filippo		ni	1984.11.28	
Ca-AIL	Ca	10		Aili, Lorenzo		nk	1992.03.19	
Ca-ALA	Ca	50		Alamagna, Giovanni de		nk	1988.11.10	
Ca-ALA	Ca	6612		Alari	Fam. di organari in Roma	fr	1988.12.22	
Ca-ALB	Ca	90		Albanese, Girolamo		ni	1984.11.28	
Ca-ALB	Ca	180		Albani, Francesco		ni	1984.11.28	
Ca-ALB	Ca	260		Albano, Salvatore		ni	1984.11.28	
Ca-ALB	Ca	410		Alberegno, Jacopo	auch als Iacobello A. erwaehnt	nk	1986.01.30	
Ca-ALB	Ca	800		Alberti, Achille		nk	1992.11.26	
Ca-ALB	Ca	808		Alberti	Familie aus Borgo San Sepolcro.	ni	1984.11.28	
Ca-ALB	Ca	810		Alberti, Alberto	Architekt, Ingenieur u. Bildhauer, 1526 - 1599	nk	1987.10.22	
Ca-ALB	Ca	840		Alberti, Antonio		gw	1993.11.03	
Ca-ALB	Ca	890		Alberti, Cherubino	aus Borgo S. Sepolcro, Bruder des Giovanni	nk	1987.10.29	
Ca-ALB	Ca	1060		Alberti, Giovanni	Maler aus Borgo S. Sepolcro	nk	1987.10.29	
Ca-ALB	Ca	1090		Alberti, Alberto	Maler, Sohn des Giovanni A. (gen. Lisio). Bei ThB dort mitaufgefuehrt u. in Stammbaum auf s. 195	nk	1992.11.26	
Ca-ALB	Ca	1100		Alberti, Giovanni Battista		nk	1989.04.24	
Ca-ALB	Ca	1130		Alberti, Giuseppe		ni	1984.11.28	
Ca-ALB	Ca	1150		Alberti, Leon Battista		ni	1984.11.28	
Ca-ALB	Ca	1170		Alberti, Matteo		ni	1984.11.28	
Ca-ALB	Ca	1210		Alberti, Romano	Wirkungsdaten: 1585-1604 Maler u. Kunstschriftsteller	ni	1984.11.28	
Ca-ALB	Ca	1250		Albertinelli, Mariotto di Bigio di Bindo		fr	1991.02.22	
Ca-ALB	Ca	1355		Albertini, Gasparo		nk	1990.06.20	
Ca-ALB	Ca	1500		Albertis, Eduardo de		nk	1985.12.17	
Ca-ALB	Ca	1505		Albertis, Francesco Antonio de		nk	1985.07.10	
Ca-ALB	Ca	1960		Albertolli, Giocondo		ni	1984.11.29	
Ca-ALB	Ca	2050		Albertus (Monachus)		ni	1993.11.22	
Ca-ALB	Ca	2090		Albertus Pitentinus		fr	1987.05.13	
Ca-ALB	Ca	2245		Albiolo	Familie von "intagliatori" im Chiavennatal	nk	1987.05.28	
Ca-ALB	Ca	2345		Albotti, Francesco		nk	1985.11.13	
Ca-ALB	Ca	2359	v	Albricci	siehe Albrizzi !	nk	1985.05.15	
Ca-ALB	Ca	2360		Albrizzi, Enrico		nk	1985.05.15	
Ca-ALD	Ca	20		Aldi, Pietro		nk	1987.04.27	
Ca-ALE	Ca	10		Aleandri, Ireneo		fr	1990.10.12	
Ca-ALE	Ca	63		Alemagna, Emilio		gw	1991.01.10	
Ca-ALE	Ca	110		Alenis, Tommaso de		nk	1987.07.06	
Ca-ALE	Ca	120		Aleotti, Antonio		fr	1990.09.14	
Ca-ALE	Ca	140		Aleotti, Giovanni Battista	gen. Argenta	fr	1985.07.08	
Ca-ALE	Ca	150		Aleotti, Paolo		fr	1989.09.22	
Ca-ALE	Ca	325		Alessandro, Angelo Antonio d'		fr	1990.11.29	
Ca-ALE	Ca	595		Alessi, Andrea	auch mit Namensform Andrija Alesi	nk	1990.06.20	
Ca-ALE	Ca	610		Alessi, Galeazzo		ni	1984.11.29	
Ca-ALF	Ca	130		Alfano da Rieti		ni	1984.11.29	
Ca-ALF	Ca	140		Alfarano, Tiberio		fr	1993.09.29	
Ca-ALF	Ca	150		Alfei, Francesco di Bartolomeo	vielleicht identisch mit d. Maestro dell'Osservanza (Sieneser Quattrocentist)	nk	1987.04.07	
Ca-ALF	Ca	3340		Alfieri, Benedetto		ni	1984.11.29	
Ca-ALF	Ca	5475	v	Alfonso di Spigna	siehe Spigna, Alfonso	ni	1984.11.29	
Ca-ALG	Ca	10		Algardi, Alessandro		ni	1984.11.29	
Ca-ALG	Ca	20		Algarotti, Francesco		gw	1985.10.30	
Ca-ALG	Ca	40		Alghisi, Galasso		ni	1984.11.29	
Ca-ALI	Ca	2		Ali, Luciano		ni	1988.05.05	
Ca-ALI	Ca	38		Aliberti	Malerfamilie	ni	1984.11.29	
Ca-ALI	Ca	70		Alibrando, Girolamo	detto "Il Raffaello di Messina"	ni	1984.11.29	
Ca-ALI	Ca	5956		Aliprandi, Johann Baptist		gw	1986.11.21	
Ca-ALL	Ca	60		Allegretti, Carlo		nk	1994.05.13	
Ca-ALL	Ca	80		Allegretto Nucci da Fabriano		ni	1984.11.29	
Ca-ALL	Ca	160		Allegri, Pomponio		fr	1993.11.05	
Ca-ALL	Ca	200		Allegrini, Francesco		gw	1986.02.17	
Ca-ALL	Ca	295		Allio, Domenico de		ni	1984.11.29	
Ca-ALL	Ca	380		Allori, Alessandro		ni	1984.11.29	
Ca-ALL	Ca	390		Allori, Cristofano		ni	1984.11.29	
Ca-ALM	Ca	2164		Almeyda, Giuseppe	eigentl.: Damiani Almeyda, Gius.	gw	1993.02.16	
Ca-ALO	Ca	50		Aloisi Galanini, Baldassare		nk	1987.11.04	
Ca-ALO	Ca	60		Aloisi Galanini, Giovanni Battista		nk	1987.11.04	
Ca-ALO	Ca	70		Aloisi Galanini, Giuseppe Carlo		nk	1987.11.04	
Ca-ALO	Ca	80		Aloisi Galanini, Vito Andrea	wahrscheinl. identisch mit: Alvisy, Titus Andreas (Th.-B. I, 366)	nk	1987.11.04	
Ca-ALO	Ca	100		Aloisio	auch: Aloisio da Caresana. Th.-B.:(Alevizo, Alewis Frjasin)	fr	1985.10.21	
Ca-ALT	Ca	30		Altamura, Saverio		ni	1984.11.29	
Ca-ALT	Ca	60		Altichiero da Zevio		ni	1984.11.29	
Ca-ALT	Ca	110		Altobello, Francesco Antonio		nk	1985.07.22	
Ca-ALT	Ca	130		Altomonte, Martino		ni	1984.11.29	
Ca-ALU	Ca	40		Alunno, Francesco		ni	1984.11.29	
Ca-ALV	Ca	15		Alvi, Palminio		gw	1990.12.20	
Ca-ALV	Ca	30		Alvino, Errico		ni	1984.11.29	
Ca-ALV	Ca	40		Alvino, Francesco		fr	1988.11.15	
Ca-AMA	Ca	35		Amadei, Luigi		fr	1987.03.31	
Ca-AMA	Ca	60		Amadeo, Giovanni Antonio		ni	1984.11.29	
Ca-AMA	Ca	160		Amadori, Francesco		gw	1987.02.16	
Ca-AMA	Ca	240		Amalteo, Pomponio		ni	1984.11.29	
Ca-AMA	Ca	290		Amati, Carlo		nk	1993.09.17	
Ca-AMA	Ca	390		Amato, Gabriele		ni	1984.11.29	
Ca-AMA	Ca	400		Amato, Giacomo		gw	1986.01.29	
Ca-AMA	Ca	460		Amato, Paolo		gw	1988.05.12	
Ca-AMA	Ca	480		Amatore, Paolo		nk	1987.05.12	
Ca-AMA	Ca	500		Amatrice, Cola dell'	Nicola Filotesio	ni	1984.11.29	
Ca-AMB	Ca	180		Ambrogio d'Asti		fr	1991.10.31	
Ca-AMB	Ca	190		Ambrogio di Baldese		fr	1991.02.22	
Ca-AMB	Ca	570		Ambrosi, Antonio Francesco		ni	1988.04.29	
Ca-AMB	Ca	590		Ambrosi, Camillo		ni	1988.04.29	
Ca-AMB	Ca	650		Ambrosi, Giuseppe Antonio		fr	1985.07.05	
Ca-AMB	Ca	710		Ambrosini, Floriano		fr	1989.09.22	
Ca-AME	Ca	40		Amendola, Giovanni Battista		ni	1984.11.29	
Ca-AMI	Ca	220		Amidano, Giulio Cesare		nk	1986.09.26	
Ca-AMI	Ca	290		Amigoni, Jacopo		nk	1985.09.11	
Ca-AMI	Ca	300		Amigoni, Ottavio		fr	1992.10.26	
Ca-AMM	Ca	10		Ammanati, Bartolommeo		ni	1984.11.29	
Ca-AMO	Ca	50		Amorosi, Antonio		ni	1984.11.29	
Ca-ANC	Ca	180		Ancillotti, Torello		ni	1984.11.29	
Ca-ANC	Ca	190		Ancini, Pietro		fr	1989.04.11	
Ca-ANC	Ca	210		Ancona, Vito d'		ni	1984.11.29	
Ca-AND	Ca	50		Anderlini, Pietro		nk	1991.01.10	
Ca-AND	Ca	75		Anderloni, Pietro		ni	1984.11.29	
Ca-AND	Ca	80		Andrade, Alfredo d'		ni	1984.11.29	
Ca-AND	Ca	330		Andrea di Ardito	auch "Andrea Arditi"	nk	1989.10.02	
Ca-AND	Ca	400		Andrea di Bartolo		gw	1986.04.14	
Ca-AND	Ca	780		Andrea da Firenze	Maler des 14. Jh. - Hier auch Andrea di Bonajuto	nk	1992.12.10	
Ca-AND	Ca	1130		Andrea da Jesi	d. J. (16. Jh.)	ni	1984.11.29	
Ca-AND	Ca	1160		Andrea da Lecce		ni	1984.11.29	
Ca-AND	Ca	1350		Andrea da Murano		ni	1984.11.29	
Ca-AND	Ca	1430		Andrea di Niccolo di Giacomo	Sieneser Maler, 1440 - 1514	nk	1992.07.23	
Ca-AND	Ca	1550		Andrea da Pontedera		ni	1984.11.29	
Ca-AND	Ca	1810		Andrea della Valle	auch gen. als A. da Valle	ni	1984.11.29	
Ca-AND	Ca	1830		Andrea di Vanni d'Andrea	Sieneser Maler	ni	1984.11.29	
Ca-AND	Ca	1900		Andreani, Andrea		fr	1986.07.09	
Ca-AND	Ca	2020		Andreasi, Ippolito		nk	1985.03.04	
Ca-AND	Ca	2110		Andreoli, Giorgio di Pietro	Majolikamaler aus Gubbio	ni	1985.05.17	
Ca-AND	Ca	2240		Andreoli, Vincenzo di Giorgio		fr	1991.09.16	
Ca-AND	Ca	2350		Andreotti, Federigo		gw	1990.11.21	
Ca-AND	Ca	2370		Andreozzi, Antonio Francesco		gw	1987.02.16	
Ca-AND	Ca	6498		Andrea de'Bartoli	Bologneser Trecentomaler	nk	1992.11.13	
Ca-AND	Ca	6569	v	Andrea da Salerno	siehe Sabbatini, Andrea	nk	1989.03.14	
Ca-AND	Ca	6576		Andrea Vanni	Sieneser Goldschmied	ni	1984.11.29	
Ca-AND	Ca	6590		Andriolli, Elviro Michael		ni	1984.11.30	
Ca-ANE	Ca	7044		Anesi, Paolo		gw	1990.05.14	
Ca-ANG	Ca	40		Angelelli, Giuseppe		ni	1984.11.30	
Ca-ANG	Ca	80		Angeletti, Pietro		nk	1985.04.19	
Ca-ANG	Ca	160		Angeli, Filippo d'	detto Filippo Napoletano	nk	1985.10.09	
Ca-ANG	Ca	200		Angeli, Giuseppe		ni	1984.11.30	
Ca-ANG	Ca	510		Angelini, Tito		ni	1984.11.30	
Ca-ANG	Ca	600		Angelis, Desiderio de		fr	1990.05.10	
Ca-ANG	Ca	610		Angelis, Domenico de		fr	1990.05.10	
Ca-ANG	Ca	780		Angelo Antonelli	aus Capua, 15. Jh.	fr	1990.06.18	
Ca-ANG	Ca	1040		Angelo Maria da Bologna	Frate	ni	1984.11.30	
Ca-ANG	Ca	1135		Angelo da Pietrafitta	Frate, gest. 1669	fr	1986.01.24	
Ca-ANG	Ca	1137		Angelo di Pietro		fr	1986.10.10	
Ca-ANG	Ca	1540		Angolo del Moro, Battista		nk	1985.11.13	
Ca-ANG	Ca	1560		Angolo del Moro, Giulio		nk	1990.05.07	
Ca-ANG	Ca	1670		Anguissola, Minerva		fr	1994.04.14	
Ca-ANG	Ca	1680		Anguissola, Sofonisba		ni	1984.11.30	
Ca-ANI	Ca	7602		Anito, Basilio		fr	1992.04.28	
Ca-ANN	Ca	102		Anna, Alessandro d'		gw	1992.06.16	
Ca-ANN	Ca	108		Anna, Baldassare d'		nk	1986.02.05	
Ca-ANN	Ca	110		Anna, Vito d'		ni	1984.11.30	
Ca-ANN	Ca	5628		Annovello da Imbonate		fr	1991.03.13	
Ca-ANS	Ca	6		Ansaldi, Giorgio	Giorgio Dalsani	gw	1990.05.17	
Ca-ANS	Ca	10		Ansaldi, Innocenzo		ni	1984.11.30	
Ca-ANS	Ca	20		Ansaldo, Andrea		gw	1985.09.18	
Ca-ANS	Ca	110		Anselmi, Giorgio		fr	1987.05.13	
Ca-ANS	Ca	130		Anselmi, Michelangelo		ni	1984.11.30	
Ca-ANS	Ca	5774		Anspertus		gw	1991.02.22	
Ca-ANS	Ca	7962		Ansuino da Forli		fr	1993.01.29	
Ca-ANT	Ca	40		Antelami	Familie	ni	1984.11.30	
Ca-ANT	Ca	50		Antelami, Benedetto		ni	1984.11.30	
Ca-ANT	Ca	160		Anticho, Andrea		fr	1991.01.25	
Ca-ANT	Ca	190		Antico, Pier Giacomo Ilario	Mantuaner Medailleur	ni	1984.11.30	
Ca-ANT	Ca	230		Antinori, Giovanni		fr	1993.12.17	
Ca-ANT	Ca	300		Antolini, Giovanni Antonio		fr	1986.03.10	
Ca-ANT	Ca	340		Antonelli, Alessandro	1798-1888	ni	1984.11.30	
Ca-ANT	Ca	480		Antonello da Messina		ni	1984.11.30	
Ca-ANT	Ca	510		Antonello da Palermo	identisch mit Crescenzio, Antonello de ?	fr	1987.01.20	
Ca-ANT	Ca	680		Antoniano, Alessandro		nk	1986.04.22	
Ca-ANT	Ca	710		Antoniazzo Romano		ni	1984.11.30	
Ca-ANT	Ca	738		Antonibon	Familie von Keramikern	gw	1990.11.14	
Ca-ANT	Ca	1015		Antonio	Auch: Gio(vanni) Antonio. Pittore a Frugarolo (15./16. Jh.)	fr	1992.03.26	
Ca-ANT	Ca	1265		Antonio d'Anghiari	15. Jh.	fr	1993.02.15	
Ca-ANT	Ca	1350		Antonio Baietti q.Tommasii		fr	1994.03.09	
Ca-ANT	Ca	1940		Antonio di Domenico Veneziano		fr	1990.11.12	
Ca-ANT	Ca	1970		Antonio da Fabriano	D. h. A. da Fabriano I. (Ant. di Agostino di Ser Giovanni da Fabriano, 2. Hälfte 15. Jh.)	nk	1990.05.07	
Ca-ANT	Ca	1990		Antonio da Faenza	(mit vollem Namen Antonio di Mazzone de' Domenichi)	fr	1987.11.30	
Ca-ANT	Ca	2020		Antonio Federighi dei Tolomei		ni	1988.05.04	
Ca-ANT	Ca	2050		Antonio da Ferrara		ni	1984.11.30	
Ca-ANT	Ca	2410		Antonio di Giovanni di Anghiari		ni	1988.05.06	
Ca-ANT	Ca	2855		Antonio da Lonate		nk	1989.04.13	
Ca-ANT	Ca	3025		Antonio Maria da Villafora		fr	1993.01.29	
Ca-ANT	Ca	3165		Antonio di Miniato		fr	1986.05.27	
Ca-ANT	Ca	3175		Antonio da Monteregale		ni	1984.11.30	
Ca-ANT	Ca	3840		Antonio da Rampacta da Bologna		fr	1987.02.27	
Ca-ANT	Ca	4100		Antonio de Tisoio		fr	1994.06.14	
Ca-ANT	Ca	4160		Antonio da Trento		ni	1984.11.30	
Ca-ANT	Ca	4200		Antonio da Vendri		nk	1985.07.09	
Ca-ANT	Ca	4240		Antonio Veneziano		ni	1984.11.30	
Ca-ANT	Ca	4340		Antonio di Vincenzo		ni	1988.05.05	
Ca-ANT	Ca	4370		Antonio da Viterbo		ni	1984.11.30	
Ca-ANT	Ca	4570		Antonuccio da Jesi		fr	1986.10.09	
Ca-APO	Ca	120		Apollonio di Giovanni		ni	1984.11.30	
Ca-APP	Ca	40		Appiani, Andrea		ni	1984.11.30	
Ca-APP	Ca	60		Appiani, Giuseppe		fr	1991.03.22	
Ca-APP	Ca	80		Appiani, Joseph	eigentl.: Joseph Ignaz (bzw. Gius. Ignazio) A. (1706 - 1785 / ThB.: -1786)	fr	1991.10.28	
Ca-APR	Ca	200		Aprile, Pietro		fr	1991.07.02	
Ca-AQU	Ca	10		Aquila, Andrea dall'	Bildhauer u. Maler aus Aquila, 15. Jh.	fr	1993.10.08	
Ca-ARA	Ca	60		Araldi, Alessandro		ni	1984.11.30	
Ca-ARB	Ca	15		Arbascia, Giacomo		fr	1988.06.30	
Ca-ARB	Ca	40		Arbotori, Bartolomeo	auch als Arbotoni bekannt	ni	1988.05.04	
Ca-ARC	Ca	30		Arca, Niccolo dell'		ni	1984.11.30	
Ca-ARC	Ca	50		Arcangelo di Cola da Camerino		nk	1990.05.28	
Ca-ARC	Ca	210		Arcimboldo, Giuseppe		ni	1984.11.30	
Ca-ARC	Ca	280		Arco, Carlo d'		ni	1984.11.30	
Ca-ARC	Ca	360		Arcuccio, Angelillo		fr	1987.10.23	
Ca-ARD	Ca	20		Ardenti, Alessandro		ni	1988.05.06	
Ca-ARD	Ca	120		Ardizzoni, Simone		nk	1985.04.12	
Ca-ARE	Ca	10		Aregio, Pablo de	it. Maler in Spanien im 15. Jh. = Pablo (Paolo) de (di) S. Leocadio	fr	1986.02.21	
Ca-ARE	Ca	30		Arena, Pietro d'		fr	1990.07.19	
Ca-ARE	Ca	55		Aretusi, Cesare		fr	1985.07.01	
Ca-ARE	Ca	65		Aretusi	eigentl. Munari, Pellegrino	ni	1984.11.30	
Ca-ARG	Ca	70		Argenta, Jacopo Filippo d'		gw	1986.07.08	
Ca-ARG	Ca	125		Argenti, Giambattista		nk	1985.10.08	
Ca-ARG	Ca	130		Argenti, Giosue		fr	1989.10.30	
Ca-ARG	Ca	135		Argenti, Giuseppe		fr	1987.02.25	
Ca-ARG	Ca	220		Argnani, Federico		nk	1986.05.14	
Ca-ARI	Ca	100		Arienti, Carlo		ni	1984.11.30	
Ca-ARM	Ca	25		Armani, Basilio		ni	1984.11.30	
Ca-ARM	Ca	70		Armanini, Pier Olinto		ni	1984.11.30	
Ca-ARM	Ca	1948		Armenise, Raffaello		gw	1988.10.13	
Ca-ARN	Ca	130		Arnolfo di Cambio		ni	1984.11.30	
Ca-ARO	Ca	50		Aronco, Raimondo d'		ni	1984.11.30	
Ca-ARZ	Ca	2025		Arzere, Stefano dall		gw	1988.12.06	
Ca-ASA	Ca	6702		Asaro, Pietro	gen. Monocolo di Racalmuto	gw	1985.09.25	
Ca-ASC	Ca	240		Aschieri, Trabisonda		fr	1987.03.30	
Ca-ASP	Ca	500		Aspari, Domenico		ni	1984.11.30	
Ca-ASP	Ca	2000		Aspertini, Amico		ni	1984.11.30	
Ca-ASP	Ca	2100		Aspetti, Tiziano		ni	1984.11.30	
Ca-ASP	Ca	6810		Asprucci, Antonio		fr	1988.04.28	
Ca-ASP	Ca	6866		Asprucci, Mario	d. J.	ni	1988.05.06	
Ca-ASS	Ca	30		Assereto, Gioacchino		nk	1986.05.14	
Ca-AST	Ca	10		Asta, Andrea dell'		nk	1986.04.21	
Ca-AST	Ca	30		Astarita, Giuseppe	1707-1775	gw	1990.12.03	
Ca-AST	Ca	55	v	Aste, Andrea d'	siehe Asta, Andrea dell'	nk	1986.04.21	
Ca-AST	Ca	2027		Asteria, Nello		ni	1988.05.04	
Ca-AUG	Ca	8		Augero, Francesco		ni	1984.11.30	
Ca-AUG	Ca	20		Augimeri, Domenico		ni	1988.04.28	
Ca-AUR	Ca	20		Auregne	Künstlerfamilie aus dem Friaul - hier auch einzelne Mitglieder.	nk	1987.05.12	
Ca-AVA	Ca	5248		Avanzi, Iacopo		ni	1984.11.30	
Ca-AVA	Ca	5256		Avanzini, Bartolomeo		gw	1988.06.28	
Ca-AVE	Ca	6918		Avesani, Saverio		fr	1991.02.28	
Ca-AVO	Ca	50		Avondo, Vittorio		fr	1992.05.29	
Ca-AVV	Ca	10		Avvocati, Giovanni Battista		fr	1991.03.22	
Ca-AZA	Ca	20		Azaria, Fra		fr	1988.07.15	
Ca-AZE	Ca	10		Azeglio, Massimo d'		ni	1984.11.30	
Ca-AZZ	Ca	5432		Azzola, Giovanni Battista		gw	1987.06.04	
Ca-AZZ	Ca	5450		Azzolini, Giovanni Bernardo		gw	1989.06.21	
Ca-BAB	Ca	5290		Baboccio, Antonio	1351-ca.1423	gw	1990.02.06	
Ca-BAC	Ca	173	v	Bacchiacca, il	siehe Ubertini, Francesco (1495 - 1557)	nk	1988.09.23	
Ca-BAC	Ca	190		Bacchiocco, Carlo		fr	1990.09.19	
Ca-BAC	Ca	290		Bacciarelli, Marcello		me	1984.11.29	
Ca-BAC	Ca	310		Baccio d'Agnolo di Lorenzo	nicht zu verwechseln mit dem Holzschnitzer u. Architekten Baglioni, Baccio d'Agnolo	nk	1990.05.07	
Ca-BAC	Ca	311	v	Baciccio	siehe Gaulli, Giovanni Battista	nk	1985.06.11	
Ca-BAD	Ca	20		Badalocchio, Sisto		fr	1989.04.18	
Ca-BAD	Ca	125		Badile, Antonio	1516/18 - 1560	nk	1989.11.23	
Ca-BAD	Ca	170		Badile, Giovanni		fr	1990.06.22	
Ca-BAG	Ca	30		Bagazotti, Camillo		ni	1988.04.28	
Ca-BAG	Ca	40		Bagetti, Giuseppe Pietro		me	1984.11.29	
Ca-BAG	Ca	80		Baglione, Giovanni		me	1984.11.29	
Ca-BAG	Ca	110		Baglioni, Baccio d'Agnolo	Florentiner Bildhauer u. Architekt. Nicht zu verwechseln mit Baccio d'Agnolo di Lorenzo da Firenze (Holzbildschnitzer in Perugia)	nk	1990.08.23	
Ca-BAG	Ca	112		Baglioni, Giuliano		fr	1991.10.23	
Ca-BAG	Ca	116		Baglioni, Domenico		fr	1991.10.23	
Ca-BAG	Ca	120		Baglioni, Cesare		fr	1988.09.30	
Ca-BAG	Ca	145	v	Bagnacavalli	siehe Ramenghi !	nk	1985.04.12	
Ca-BAG	Ca	150		Bagnadore, Pier Maria	auch als "Bagnatore" gen.	nj	1985.01.28	
Ca-BAG	Ca	160	v	Bagnatore, Pier Maria	siehe Bagnadore, P. M. !	nj	1985.01.28	
Ca-BAG	Ca	4806		Bagnara, Francesco		gw	1987.05.17	
Ca-BAG	Ca	4808		Bagnara, Pietro da		fr	1993.11.15	
Ca-BAG	Ca	4812		Bagnato, Giovanni Gaspare		gw	1986.07.08	
Ca-BAL	Ca	70		Balbi, Filippo		gw	1991.01.15	
Ca-BAL	Ca	185		Baldassare del fu Biagio del Firenze		fr	1987.05.13	
Ca-BAL	Ca	200		Baldassare Estense		me	1984.11.29	
Ca-BAL	Ca	380		Baldi, Accursio		nk	1994.05.13	
Ca-BAL	Ca	400		Baldi, Bernardino <Kuenstler, 1557-1615>		fr	1985.06.26	
Ca-BAL	Ca	470		Baldi, Lazzaro		me	1984.11.29	
Ca-BAL	Ca	540		Baldini, Baccio		fr	1986.04.07	
Ca-BAL	Ca	610		Baldini, Pietro Paolo		fr	1991.07.05	
Ca-BAL	Ca	700		Baldinucci, Filippo		nk	1992.11.26	
Ca-BAL	Ca	790		Baldovinetti, Alesso		me	1984.11.29	
Ca-BAL	Ca	830		Baldrighi, Giuseppe		gw	1986.04.24	
Ca-BAL	Ca	840		Balduccio, Giovanni di	Giovanni di Balduccio da Pisa	me	1984.11.29	
Ca-BAL	Ca	870		Balducci, Matteo		gw	1989.11.03	
Ca-BAL	Ca	1020		Balestra, Antonio		me	1984.11.29	
Ca-BAL	Ca	1070		Balestra, Pietro		fr	1988.11.18	
Ca-BAL	Ca	1205		Ballanti, Giuseppe		fr	1991.01.31	
Ca-BAL	Ca	1340		Balli, Simone		ni	1993.11.22	
Ca-BAL	Ca	1370		Balsemo, Jacopo da		me	1984.11.29	
Ca-BAL	Ca	1510		Balzico, Alfonso		me	1984.11.29	
Ca-BAM	Ca	3	v	Bambaia	siehe: Busti, Agostino (detto Il Bambaia)	nk	1992.10.26	
Ca-BAM	Ca	40		Bambi, Felice		fr	1987.02.27	
Ca-BAM	Ca	80		Bambini, Nicolo		ni	1988.05.06	
Ca-BAN	Ca	35		Banci, Ercole	1518 - 1531 in Bologna nachweisbarer Maler	nk	1986.03.11	
Ca-BAN	Ca	70		Banco, Antonio di		fr	1989.06.26	
Ca-BAN	Ca	80		Banco, Nanni di Antonio di		me	1984.11.29	
Ca-BAN	Ca	110		Bandiera, Benedetto		gw	1986.02.17	
Ca-BAN	Ca	120		Bandinelli, Baccio		me	1984.11.29	
Ca-BAN	Ca	140		Bandinelli, Francesco		me	1984.11.29	
Ca-BAN	Ca	230		Bandini, Giovanni	detto G. dell' Opera	me	1984.11.29	
Ca-BAN	Ca	320		Banti, Cristiano		me	1984.11.29	
Ca-BAR	Ca	20		Barabino, Carlo		me	1984.11.29	
Ca-BAR	Ca	30		Barabino, Niccolo		me	1984.11.29	
Ca-BAR	Ca	78		Baratta, Alessandro		fr	1990.03.22	
Ca-BAR	Ca	80		Baratta, Andrea		ni	1988.04.29	
Ca-BAR	Ca	130		Baratta, Francesco	gest. 1666	fr	1991.04.16	
Ca-BAR	Ca	140		Baratta, Francesco	gest. 1747	fr	1992.01.22	
Ca-BAR	Ca	250		Baratta, Pietro	um 1695. Aus Carrara	nk	1992.07.07	
Ca-BAR	Ca	370		Barba, Nunzio		ni	1988.05.04	
Ca-BAR	Ca	420		Barbalonga, Antonio		nk	1990.05.07	
Ca-BAR	Ca	450		Barbari, Jacopo de'		me	1984.11.29	
Ca-BAR	Ca	550		Barbella, Costantino		nk	1992.02.11	
Ca-BAR	Ca	560		Barbella, Giovanni Giacomo	(oder Barbello)	me	1984.11.29	
Ca-BAR	Ca	610		Barberi, Michelangelo		me	1984.11.29	
Ca-BAR	Ca	640		Barberino, Francesco da		fr	1993.09.17	
Ca-BAR	Ca	644		Barberio	Dinastia di riggiolari	fr	1990.12.20	
Ca-BAR	Ca	720		Barbetti, Rinaldo		ni	1987.09.22	
Ca-BAR	Ca	760		Barbiani, Bartolomeo		gw	1990.12.20	
Ca-BAR	Ca	810		Barbiere, Domenico del		nk	1991.11.21	
Ca-BAR	Ca	890		Barbieri, Francesco		ni	1988.04.29	
