id,lang,authors,title,subtitle,statement,place,publisher,year,editors,subjects,subject_types,parentId,parentTitle
BV010504021,ita,"Soavi, Giorgio",Il mio Giacometti,,Giorgio Soavi,Milano,All'Insegna del Pesce d'Oro,1966,,"Giacometti, Alberto|Fotografie",p|s,BV000009755,Narratori
BV010504176,ger,"Bielz, Julius",Porträtkatalog der Siebenbürger Sachsen,,Julius Bielz,Hamburg,Diepenbroick-Grüter & Schulz,1936,,Siebenbürger Sachsen,s,BV004844481,Historische Bildkunde
BV010504185,ger,"Fleischhauer, Werner",Richtlinien zur Bildnisbeschreibung,,[Werner Fleischhauer],Hamburg,Diepenbroick-Grüter & Schulz,1937,,Bildbetrachtung,s,BV004844481,Historische Bildkunde
BV010504331,ger,"Busolt, Georg",Griechische Staatskunde,,von Georg Busolt. Bearb. von Heinrich Swoboda,München,Beck,1926,"Swoboda, Heinrich|Swoboda, Heinrich|Jandebeur, Franz",,,BV024986939,Handbuch der Altertumswissenschaft
BV010504339,ger,"Jandebeur, Franz",Griechische Staatskunde,,von Georg Busolt. Bearb. von Heinrich Swoboda,München,Beck,1926,"Busolt, Georg|Swoboda, Heinrich|Jandebeur, Franz",,,BV024986939,Handbuch der Altertumswissenschaft
BV010506269,ita,"Nardi, Jacopo",Istorie della città di Firenze,,di Iacopo Nardi. Per cura e opera di Lelio Arbib,Firenze,a spese della Società Editrice delle Storie del Nardi e del Varchi,1838,"Arbib, Lelio",,,,Le Storie della città di Firenze
BV010506270,ita,"Nardi, Jacopo",Istorie della città di Firenze,,di Iacopo Nardi. Per cura e opera di Lelio Arbib,Firenze,a spese della Società Editrice delle Storie del Nardi e del Varchi,1841,"Arbib, Lelio",,,,Le Storie della città di Firenze
BV010506278,ita,"Nardini, Famiano",Roma Antica,,Di Famiano Nardini,Roma,Romanis,(1818),"Nibby, Antonio|Romanis, Antonio de",Rom|Führer,g|s,,
BV010506279,ita,"Nardini, Famiano",Roma Antica,,Di Famiano Nardini,Roma,Romanis,(1818),"Nibby, Antonio|Romanis, Antonio de",Rom|Führer,g|s,,
BV010506280,ita,"Nardini, Famiano",Roma Antica,,Di Famiano Nardini,Roma,Romanis,(1819),"Nibby, Antonio|Romanis, Antonio de",Rom|Führer,g|s,,
BV010506281,ita,"Nardini, Famiano",Roma Antica,,Di Famiano Nardini,Roma,Romanis,(1820),"Nibby, Antonio|Romanis, Antonio de|Falconieri, Ottavio|Falconieri, Ottavio|Vacca, Flaminio|Nibby, Antonio",Rom|Führer,g|s,,
BV010507782,ita,Jacobus,Cronaca della città di Genova dalle origini al 1297,,"Iacopo da Varagine. Introd., trad. e note critiche di Stefania Bertini Guidetti",Genova,ECIG,1995,"Bertini Guidetti, Stefania",Genua|Quelle,g|s,,Chronica civitatis Ianuensis
BV010507934,ger,"Jost, Bettina",Die Reichsministerialen von Münzenberg als Bauherren in der Wetterau im 12. Jahrhundert,,Bettina Jost,Köln,Abt. Architekturgeschichte des Kunsthistorischen Inst. der Univ. zu Köln,1995,,Münzenberg (Familie)|Burgenbau|Burg Münzenberg,p|s|g,,
