cat,year,frequency
Related Disciplines,2019,2380
Related Disciplines,2020,433
Related Disciplines,2021,933
Related Disciplines,2022,1272
Related Disciplines,2023,765
Rome,2013,7037
Rome,2014,8107
Rome,2015,9119
Rome,2016,7706
Rome,2017,6658
Rome,2018,5536
Rome,2019,3646
Rome,2020,324
Rome,2021,880
Rome,2022,1076
Rome,2023,1035
Sculpture,2013,91
Sculpture,2014,162
Sculpture,2015,182
Sculpture,2016,95
Sculpture,2017,93
Sculpture,2018,78
Sculpture,2019,71
Sculpture,2020,26
Sculpture,2021,16
Sculpture,2022,40
Sculpture,2023,17
Sources,2013,1493
Sources,2014,1433
Sources,2015,1675
Sources,2016,1597
Sources,2017,1621
Sources,2018,1100
Sources,2019,709
Sources,2020,111
Sources,2021,267
Sources,2022,348
Sources,2023,221
Travel Literature,2013,360
Travel Literature,2014,295
Travel Literature,2015,267
Travel Literature,2016,265
Travel Literature,2017,262
Travel Literature,2018,232
Travel Literature,2019,165
Travel Literature,2020,16
Travel Literature,2021,30
Travel Literature,2022,208
Travel Literature,2023,40
World Topography,2013,69
World Topography,2014,42
World Topography,2015,57
World Topography,2016,86
World Topography,2017,42
World Topography,2018,237
World Topography,2019,27
World Topography,2020,11
World Topography,2021,62
World Topography,2022,11
World Topography,2023,9
