text_2,inventory_year,count
Kunstgewerbe,2001,102
Kunstgewerbe,2002,76
Kunstgewerbe,2003,46
Kunstgewerbe,2004,116
Kunstgewerbe,2005,83
Kunstgewerbe,2006,115
Kunstgewerbe,2007,90
Kunstgewerbe,2008,74
Kunstgewerbe,2009,124
Kunstgewerbe,2010,126
Kunstgewerbe,2011,67
Kunstgewerbe,2012,65
Kunstgewerbe,2013,71
Kunstgewerbe,2014,76
Kunstgewerbe,2015,86
Kunstgewerbe,2016,213
Kunstgewerbe,2017,71
Kunstgewerbe,2018,98
Kunstgewerbe,2019,63
Kunstgewerbe,2020,41
Kunstgewerbe,2021,83
Kunstgewerbe,2022,109
Kunstgewerbe,2023,9
Kunstsammeln und Kunstpflege,1985,10
Kunstsammeln und Kunstpflege,1986,19
Kunstsammeln und Kunstpflege,1987,15
Kunstsammeln und Kunstpflege,1988,29
Kunstsammeln und Kunstpflege,1989,37
Kunstsammeln und Kunstpflege,1990,51
Kunstsammeln und Kunstpflege,1991,28
Kunstsammeln und Kunstpflege,1992,37
Kunstsammeln und Kunstpflege,1993,27
Kunstsammeln und Kunstpflege,1994,15
Kunstsammeln und Kunstpflege,1995,32
Kunstsammeln und Kunstpflege,1996,25
Kunstsammeln und Kunstpflege,1997,23
Kunstsammeln und Kunstpflege,1998,25
Kunstsammeln und Kunstpflege,1999,25
Kunstsammeln und Kunstpflege,2000,54
Kunstsammeln und Kunstpflege,2001,45
Kunstsammeln und Kunstpflege,2002,75
Kunstsammeln und Kunstpflege,2003,58
Kunstsammeln und Kunstpflege,2004,48
Kunstsammeln und Kunstpflege,2005,66
Kunstsammeln und Kunstpflege,2006,58
Kunstsammeln und Kunstpflege,2007,64
Kunstsammeln und Kunstpflege,2008,46
Kunstsammeln und Kunstpflege,2009,69
Kunstsammeln und Kunstpflege,2010,59
Kunstsammeln und Kunstpflege,2011,51
Kunstsammeln und Kunstpflege,2012,39
Kunstsammeln und Kunstpflege,2013,31
Kunstsammeln und Kunstpflege,2014,57
Kunstsammeln und Kunstpflege,2015,40
Kunstsammeln und Kunstpflege,2016,53
Kunstsammeln und Kunstpflege,2017,60
Kunstsammeln und Kunstpflege,2018,50
Kunstsammeln und Kunstpflege,2019,39
Kunstsammeln und Kunstpflege,2020,51
Kunstsammeln und Kunstpflege,2021,48
Kunstsammeln und Kunstpflege,2022,37
Kunstsammeln und Kunstpflege,2023,9
Malerei,1985,25
Malerei,1986,4
Malerei,1987,27
Malerei,1988,37
Malerei,1989,11
Malerei,1990,15
Malerei,1991,26
Malerei,1992,13
Malerei,1993,29
Malerei,1994,17
Malerei,1995,9
Malerei,1996,17
Malerei,1997,14
Malerei,1998,20
Malerei,1999,18
Malerei,2000,18
Malerei,2001,10
Malerei,2002,19
Malerei,2003,10
Malerei,2004,5
Malerei,2005,14
Malerei,2006,21
Malerei,2007,18
Malerei,2008,10
Malerei,2009,19
Malerei,2010,15
Malerei,2011,1
Malerei,2012,25
Malerei,2013,11
Malerei,2014,16
Malerei,2015,5
Malerei,2016,15
Malerei,2017,17
Malerei,2018,14
Malerei,2019,11
Malerei,2020,20
Malerei,2021,10
Malerei,2022,13
Malerei,2023,6
Plastik,1985,1
Plastik,1986,13
Plastik,1987,1
Plastik,1988,1
Plastik,1990,8
Plastik,1991,8
Plastik,1992,4
Plastik,1993,5
Plastik,1994,2
Plastik,1995,10
Plastik,1996,2
Plastik,1997,10
Plastik,1998,10
Plastik,1999,14
Plastik,2000,9
Plastik,2001,5
Plastik,2002,5
Plastik,2003,8
Plastik,2004,3
Plastik,2005,5
