id,lang,authors,title,subtitle,statement,place,publisher,year,editors,subjects,subject_types,parentId,parentTitle
BV022816533,eng,"Hogarth, William",The analysis of beauty,,,London,"printed by J. Reeves for the author, and sold by him at his house in Leicester-Fields",1753,,,,,
BV022818994,eng,,Frontiers of computer science in China,,,Beijing,Higher Education Press,2007-2011,,,,,
BV022818995,eng,,Frontiers of environmental science & engineering in China,,,Beijing,Higher Education Press,2007-2010,,,,,
BV022818996,eng,,Frontiers of chemical engineering in China,,,Beijing,Higher Education Press,2007-2010,,,,,
BV022818997,eng,,Biomolecular NMR assignments,,,Dordrecht [u.a.],Springer Netherlands,2007-,,,,,
BV022819003,eng,,Annual report,,National Library of the Czech Republic,Praha,National Library,1997-,,,,,
BV022819009,eng,,Australian aboriginal studies,,Australian Institute of Aboriginal Studies,Canberra,,1983-,,,,,
BV022819069,eng,,Journal of cancer survivorship,,,"New York, NY [u.a.]",Springer,2007-,,,,,
BV022819073,und,,Ceramics,,,Melbourne,Informit,2004-,,,,,
BV022819396,eng,,Thymos,,,"Harriman, Tenn.",Men's Studies Press,2007-,,,,,
BV022819515,fre,,La peinture italienne au XVIIIe siècle,,,Paris,,1960,,Italien|Malerei,g|s,,
BV022819647,ger,,Tiefenschärfe,,"Institut für Medien und Kommunikation, Department SLM I, Universität Hamburg",Hamburg,,2001-2008,,,,,
BV022819799,ger,"Simon, Erika",Das Programm der frühkonstantinischen Decke in Trier,,Erika Simon,Ruhpolding [u.a.],Verl. Franz Philipp Rutzen,2007,,"Palast der Kaiserin Helena|Deckenmalerei|Bischöfliches Dom- und Diözesanmuseum Trier|Konstantin I. (Römisches Reich, Kaiser)",g|s|b|p,,
BV022819844,ger,"Baedeker, Karl",Italien,,von K. Baedeker,Leipzig [u.a.],Baedeker,1889,,,,,
BV022820096,ger,,Die Malerfamilie Holbein in Basel,,,Basel,Kunstmuseum,1960,,Holbein (Familie),p,,
BV022820332,fre,,Bibliothèque de l'Ecole des Chartes,,publ. par la Société de l'Ecole des Chartes. Publ. avec le concours du Centre National du Livre et du Centre National de la Recherche Scientifique,Paris [u.a.],Droz,1839-,,,,,
BV022820643,ger,,Chronik des akademischen Jahres ...,,Rheinische Friedrich-Wilhelms-Universität Bonn,Bonn,,2001-,,Rheinische Friedrich-Wilhelms-Universität Bonn,b,,
BV022820653,ger,,Jahresbericht,,DAAD Deutscher Akademischer Austauschdienst,Bonn,DAAD,2005-,,,,,
BV022820662,ger,,Erfinder-Visionen,,"ERiNET Forschungsinstitut für Erfinderförderung, Innovationen und Netzwerkmanagement",Schmalkalden,,2006-,,,,,
BV022820676,ger,,IWE-Brief,,Institut für Wissenschaft und Ethik,Bonn,Institut,2004-[2012?],,Wissenschaftsethik,s,,
BV022820765,eng,,Mathematics and financial economics,,,Berlin ; Heidelberg,Springer,2007-,,,,,
BV022820774,ita,,Petrarca e Napoli,,a cura di Michele Cataudella,Pisa [u.a.],Ist. Ed. e Poligrafici Internazionali,2006,"Cataudella, Michele R.","Petrarca, Francesco|Neapel",p|g,,
BV022820873,spa,,El arte en España,,revisada por el Manuel Gómez Moreno,Barcelona,Subirana,1929,"Gómez-Moreno, Manuel",Museu Nacional d'Art de Catalunya|Spanien|Kunst|Exposició Internacional de Barcelona (Barcelona),b|g|s|f,,
BV022820926,ita,"Cursi, Marco",Il Decameron,,Marco Cursi,Roma,Viella,2007,,"Boccaccio, Giovanni",u,BV017829032,Scritture e libri del Medioevo
BV022820949,eng,,Frontiers of business research in China,,Ed. by Editorial office of Frontiers of Business Research in China,Beijing,Higher Education Press,2007-,,,,,
BV022821069,ita,"Rassu, Massimo",Rocche turrite,,Massimo Rassu,Dolianova (CA),Ed. Grafica del Parteolla,2007,,Sardinien|Burg,g|s,BV022821058,Urbs
BV022821405,ita,,Magazzino di mobilia o sieno modelli di mobili di ogni genere,,,Firenze,Buonaiuti,1796-1798,,Möbel,s,,
BV022821634,lat,"Petrarca, Francesco",De viris illustribus,,Francesco Petrarca,Firenze,<<Le>> Lettere,2006,"Ferrone, Silvano|Martellotti, Guido",,,,
BV022821904,ita,"Grazioli, Elio",Piero Manzoni,,Elio Grazioli,Torino,Bollati Boringhieri,2007,,"Manzoni, Piero",p,BV000882469,Nuova cultura
BV022821935,fre,"Allain, Yves-Marie",L' art des jardins en Europe,,Yves-Marie Allain ; Janine Christiany,Paris,Citadelles & Mazenod,2006,"Christiany, Janine",Europa|Gartenkunst,g|s,,
BV022821994,ita,"Benporat, Claudio",Cucina e convivialità italiana del Cinquecento,,Claudio Benporat,Firenze,Olschki,2007,,Italien|Ess- und Trinksitte,g|s,BV023546370,Biblioteca dell'Archivum Romanicum
BV022822376,fre,"Mondzain, Marie-José",L' arche et l'arc-en-ciel,,Marie-José Mondzain,Paris,Passage,2006,,Michelangelo (Buonarroti)|Freskomalerei|Sixtinische Kapelle,p|s|g,,
BV022823095,eng,,Ecclesiastical law journal,,,Cambridge,Cambridge Univ. Press,1987-,,,,,
BV022823110,eng,,Australian journal of social issues,,Australian Council of Social Service,"Hoboken, NJ",Wiley,1961-,,,,,
BV022823136,eng,,Australian journal of legal history,,"Division of Law, Macquarie University",Sydney,Macquarie Law,1995-2005,,,,,
BV022823142,fre,,"Psychiatrie, sciences humaines, neurosciences",,,Liège ; Paris,Cairn.info,2003-,,,,,
BV022823183,eng,,Journal of education for sustainable development,,,New Delhi,Sage,2007-,,,,,
BV022823238,ger,,Census of antique works of art and architecture known in the Renaissance,,"Institut für Kunst- und Bildgeschichte, Humboldt-Universität zu Berlin",Berlin,Kunstgeschichtliches Seminar der Humboldt-Universität zu Berlin,2002-,,Antike,s,,
BV022823249,eng,,Journal of fixed point theory and applications,,,Cham (ZG),Springer International Publishing AG,2007-,,,,,
BV022823271,eng,,Journal of surface investigation,,,Moscow,MAIK Nauka/Interperiodics Publ.,2007-,,,,,
BV022823278,fre,"Barbier, Frédéric",L' Europe de Gutenberg,,Frédéric Barbier,Paris,Belin,2006,,"Buchdruck|Gutenberg, Johannes",s|p,,
BV022823331,eng,,Ceramics technical,,,Paddington,Ceramics Art and Perception P/L,1995-,,,,,
BV022823420,eng,,Aboriginal history,,,Canberra,"ANU Press and Aboriginal History, Inc.",1977-,,,,,
