id,lang,authors,title,subtitle,statement,place,publisher,year,editors,subjects,subject_types,parentId,parentTitle
BV035723640,ita,"De Rosa, Enrico","Principi, ricchi mercanti, filosofi e ... fantasmi in un palazzo e dintorni sopra Chiaia nella Napoli del Seicento",,Enrico De Rosa,Napoli,D'Auria,2009,,Neapel|Adel,g|s,,
BV035723644,eng,,FAO forestry paper,,Food and Agriculture Organization of the United Nations,Rome,FAO,[1977]-,,,,,
BV035724995,tur,,Gazi akademik bakış,,G.Ü. Atatürk Ilkeleri ve Inkılâp Tarihi Araştırma ve Uygulama Merkezi,Ankara,Gazi Üniversitesi ATAUM,2007-,,,,,
BV035725095,tur,,Karadeniz araştırmaları,,"Karadeniz Araştırmaları Merkezi, KaraM",Ankara,KaraM,2004-,,,,,
BV035725818,ita,"Bianchi Bandinelli, Ranuccio","Lettere, 1927 - 1967",,Ranuccio Bianchi Bandinelli ; Cesare Brandi. A cura di Roberto Barzanti,Pistoia,Gli Ori,2009,"Brandi, Cesare|Barzanti, Roberto","Bianchi Bandinelli, Ranuccio|Brief",p|s,,
BV035725926,ita,,Il cannocchiale e il pennello,,[catalogo a cura di Lucia Tongiorgi Tomasi ...],Firenze [u.a.],Giunti,2009,"Tongiorgi Tomasi, Lucia","Kunst|Galilei, Galileo",s|p,,
BV035725939,ita,"Dal Pos, Danila",Museo Casa Giorgione,,di Danila Dal Pos,Cittadella (Padova) [u.a.],Biblios Ed. [u.a.],2009,,Casa Marta-Pellizzari|Architektur|Giorgione|Museo Casa Giorgione,g|s|p|b,,
BV035725947,ita,"Villari, Giusi",Il castello di Orazio Gonzaga e la Rocca di Solferino,,Giusi Villari,Mantova,Sometti,2009,,Castello Solferino|Architektur|Gonzaga (Familie),g|s|p,,
BV035726037,ita,,L' industria artistica del bronzo del Rinascimento a Venezia e nell'Italia settentrionale,,a cura di Matteo Ceriana e Victoria Avery,Verona,Scripta Ed.,2008,"Ceriana, Matteo|Avery, Victoria J.",Oberitalien|Bronzeplastik,g|s,BV038745708,Pubblicazioni del Comitato Nazionale per le celebrazioni del 550 anniversario della nascita di Tullio Lombardo
BV035726281,ger,"Perinelli, Massimo",Fluchtlinien des Neorealismus,,Massimo Perinelli,Bielefeld,transcript,[2009],,Italien|Film,g|s,BV035089239,Histoire
BV035726316,eng,,Civil engineering dimension,,Petra Christian University,Surabaya,PCU,1999-,,,,,
BV035726370,eng,,Interdisciplinary bio central,,,"Gyeongbuk, Korea",IBC,2009-,,,,,
BV035726685,ger,,Mosaiken in Italien,,Joachim Poeschke,München,Hirmer,2009,"Poeschke, Joachim",Italien|Mosaik,g|s,,
BV035726769,ger,,Freundeskreis Landes- und Murhardsche Bibliothek Universität Kassel,,,Kassel,Freundeskreis Landes- und Murhardsche Bibliothek,2006-,,,,,
BV035726969,ger,,Bulletin,,Leseforum Schweiz. Schweizerisches Institut für Kinder- und Jugendmedien (SIKJM),Zürich,Leseforum Schweiz,[1993-2006],,,,,
BV035727158,por,,Rodriguésia,,Instituto de Pesquisas Jardim Botânico do Rio de Janeiro,Rio de Janeiro,Inst.,1935-,,,,,
BV035727314,ger,,Statistischer Bericht,,Amt für Statistik Berlin-Brandenburg,Potsdam,Amt für Statistik Berlin-Brandenburg,2007-,,,,,
BV035727463,ita,"Petrella, Giancarlo",Fra testo e immagine,,Giancarlo Petrella ; presentazione di Dennis E. Rhodes,Udine,Forum,2009,,"Italienisch|Italien|Novati, Francesco",s|g|p,BV011225174,Libri e biblioteche
BV035728353,spa,,Anuario arqueológico de Andalucía,,"Junta de Andalucía, Consejería de Cultura",Sevilla,,1985-2008,,,,,
BV035728531,eng,,International journal of differential equations,,,"New York, NY",Hindawi,2009-,,,,,
BV035728532,ita,,Scagliole e scagliolisti alla Certosa di Garegnano,,[Coordinamento Bruno Gandola],Milano,Donati,1991,"Gandola, Bruno",Scagliola,s,,
BV035728728,ger,,Statistischer Bericht,,Amt für Statistik Berlin-Brandenburg,Potsdam,Amt für Statistik Berlin-Brandenburg,2008-,,,,,
BV035728783,ita,"Colucci, Silvia",Vanitas e apoteosi,,Silvia Colucci,Siena,Accad. Senese degli Intronati,2009,,Siena|Bestattung,g|s,BV002803265,Monografie d'arte senese
BV035728828,ita,,Splendori del barocco defilato,,Università degli Studi della Basilicata ... A cura di Elisa Acanfora,Firenze,Mandragora,2009,"Acanfora, Elisa|Giordano, Luca","Basilicata|Malerei|Giordano, Luca",g|s|p,,
BV035728966,ita,,"Rocca Ricciarda, dai Guidi ai Ricasoli",,a cura di Guido Vannini,Firenze,Soc. Ed. Fiorentina,2009,"Vannini, Guido",Loro Ciuffenna- Rocca Ricciarda|Burg|Guidi (Familie),g|s|p,BV016426192,Media aetas
BV035729126,ita,"Cerbai, Leonardo",Galliano,,Leonardo Cerbai,Firenze,Sarnus,2009,,Galliano|Geschichte,g|s,,
BV035729212,ita,"Ranieri Fascetti, Giovanni",Sigillum Salomonis,,Giovanni Ranieri Fascetti,[Pontedera] (Pisa),CLD Libri,2008,,Tempio di Minerva Medica|Tempelbau,g|s,,
BV035729459,ita,,Il santo crocifisso di Castano Primo,,[volume a cura di Luigi Di Corato],Cinisello Balsamo (Milano),Silvana,2009,"Di Corato, Luigi",San Zenone|Kruzifix,g|s,,
BV035729637,ita,,Le epigrafi della Valle di Comino,,Associazione Genesi. A cura di Heikki Solin,Cassino,Sambucci,2009,"Solin, Heikki",Valle di Comino|Inschrift,g|s,,
BV035729654,ita,"Laudani, Simona",Lo stato del principe,,Simona Laudani,Caltanissetta [u.a.],S. Sciascia,2008,,Moncada di Paternó (Familie)|Herrschaft,p|s,BV000010925,Nuova biblioteca critica
BV035729804,ger,"Fuchshuber, Roland K.","Büsten, Reliefs und Stiche zur Portraitierung W. A. Mozarts in der Goethezeit",,Roland K. Fuchshuber,Neustadt a.d. Aisch,Schmidt,2009,,"Mozart, Wolfgang Amadeus|Büste",p|s,,
BV035730299,fre,,La majesté des centaures,,Nicolas Chaudun,Arles,Actes Sud,2006,"Chaudun, Nicolas",Europa|Reiterbildnis,g|s,,
BV035730369,ita,"Gamberini, Andrea",Oltre le città,,Andrea Gamberini,Roma,Viella,2009,,Lombardei|Herrschaft,g|s,BV010489791,I libri di Viella
BV035730703,eng,,Indian archaeology,,"publ. by the Director General, Archaeological Survey of India",New Delhi,Survey,1954-2006,,,,,
BV035730717,eng,,Harvard Art Museum annual report,,,"Cambridge, Mass.",Harvard Art Museum,[2009],,,,,
BV035730720,eng,,International health,,Royal Society of Tropical Medicine and Hygiene,Oxford,Oxford Univ. Press,2009-,,,,,
BV035730721,eng,,International perspectives on sexual & reproductive health,,,New York,Guttmacher Inst.,2009-2020,,,,,
BV035730722,eng,,Journal of data and information quality,,Association for Computing Machinery,"New York, NY",ACM,2009-,,Datenmodell,s,,
BV035730723,eng,,IEEE intelligent transportation systems magazine,,,"New York, NY",Inst. of Electrical and Electronics Engineers,2009-,,,,,
BV035730728,und,,Journal of the Southwest,,The University of Arizona; The Southwest Center,"Tucson, Ariz.",Univ. of Arizona Press,1987-,,,,,
BV035730729,eng,,Computers and translation,,,Dordrecht [u.a.],Kluwer Acad. Publ.,1986-1989,,,,,
BV035730730,eng,,IEEE translation journal on magnetics in Japan,,,"New York, NY",IEEE,1985-1994,,,,,
BV035730731,eng,,Religion & literature,,"Department of English, University of Notre Dame","Notre Dame, Ind.",Dep.,1984-,,,,,
BV035730732,und,,Dante studies,,"publ. for the Dante Society of America, Incorporated, Cambridge, Massachusetts","Bronx, NY",Fordham Univ. Press,1966-,,,,,
BV035730733,eng,,Notre Dame English journal,,Notre Dame English Association,"Notre Dame, Ind.",Assoc.,1965-1983,,,,,
BV035730734,eng,,Arizona & the West,,,"Tucson, Ariz.",Univ. of Arizona Press,1959-1986,,,,,
BV035730735,eng,,IRE transactions on engineering management,,"Professional Group on Engineering Management, Institute of Radio Engineers","New York, NY",IEEE,1955-1962,,,,,
BV035730736,eng,,IRE transactions on industrial electronics,,Institute of Radio Engineers,"New York, NY",IEEE,1955-1962,,,,,
BV035730737,eng,,IRE transactions on instrumentation,,"Institute of Radio Engineers, Professional Group on Instrumentation","New York, NY",IEEE,1955-1962,,,,,
BV035730738,eng,,IRE transactions on reliability and quality control,,"Professional Group on Reliability and Quality Control, Institute of Radio Engineers","New York, NY",IEEE,1955-1962,,,,,
BV035730739,eng,,IRE transactions on broadcast and television receivers,,"Institute of Radio Engineers, Professional Group on Broadcast and Television Receivers","New York, NY",Institute of Electrical and Electronics Engineers,1955-1962,,,,,
BV035730740,eng,,IRE transactions on microwave theory and techniques,,Institute of Radio Engineers,"New York, NY",IRE,1955-1962,,,,,
BV035730741,eng,,IRE transactions on information theory,,Institute of Radio Engineers,"New York, NY",IRE,1955-1962,,,,,
BV035730742,eng,,Transactions of the IRE Professional Group on Engineering Management,,Institute of Radio Engineers,"New York, NY",IEEE,1954-1954,,,,,
BV035730743,eng,,Transactions of the IRE Professional Group on Reliability and Quality Control,,Institute of Radio Engineering,"New York, NY",IEEE,[1954],,,,,
BV035730744,eng,,Transactions of the IRE Professional Group on Information Theory,,,"New York, NY",IRE,1953-1954,,,,,
BV035730745,eng,,Transactions of the IRE Professional Group on Broadcast and Television Receivers,,,"New York, NY",Institute of Electrical and Electronics Engineers,1952-1954,,,,,
BV035730746,eng,,Transactions of the IRE Professional Group on Microwave Theory and Techniques,,,"New York, NY",IRE,1953-1955,,,,,
BV035730747,eng,,Transactions of the IRE Professional Group on Instrumentation,,,"New York, NY",IEEE,1952-1954,,,,,
BV035730748,eng,,Hoosier folklore,,Hoosier Folklore Society,"Bloomington, Ind.",,1946-1950,,,,,
BV035730749,eng,,Hoosier folklore bulletin,,Hoosier Folklore Society,"Bloomington, Ind.",,1942-1945,,,,,
BV035730750,eng,,"Annual report of the Dante Society, with accompanying papers",,"publ. in ... by the Dante Society of America, Incorporated, Cambridge, Massachusetts","Cambridge, Mass.",Soc.,1955-1965,,,,,
BV035730794,eng,"Lansford, Tyler",The Latin inscriptions of Rome,,Tyler Lansford,Baltimore,Johns Hopkins Univ. Press,2009,,Rom|Inschrift,g|s,,
BV035731039,por,,Antíteses,,Universidade Estadual de Londrina,Londrina,,2008-,,,,,
BV035731145,ger,,World Heritage and Arts Education,,,[Paderborn,Univ.],2009-2016,,,,,
BV035732423,ger,,Target,,GSI Helmholtzzentrum für Schwerionenforschung,Darmstadt,GSI,2009-,,,,,
BV035733256,ita,"Fo, Dario",Giotto o non Giotto,,Dario Fo. A cura di Franca Rame,Modena,Panini,2009,"Rame, Franca|Giotto",Giotto (di Bondone)|Malerei,p|s,,
BV035733335,ita,"Monti, Raffaele",Andrea del Sarto,,Raffaele Monti,Milano,Ed. di Comunità,1965,"Sarto, Andrea del","Sarto, Andrea del|Malerei",p|s,BV002785951,Studi e documenti di storia dell'arte
BV035733451,ita,"Ferroni, Gianfranco",La luce dell'ateo,,"Ginfranco Ferroni, Antonio Gnoli",Milano,Bompiani,2009,"Gnoli, Antonio","Ferroni, Gianfranco",p,BV000020189,Tascabili Bompiani
BV035733472,ita,,Il sorriso della sfinge,,"Ministero per i Beni e le Attività Culturali, Biblioteca Riccardiana di Firenze. A cura di Giovanna Lazzi",Firenze,Ed. Polistampa,2009,"Lazzi, Giovanna",Biblioteca Riccardiana|Buchmalerei,b|s,,
BV035733495,ita,,Mestieri d'arte e made in Italy,,a cura di Paolo Colombo ; con Alberto Cavalli e Gioachino Lanotte,Venezia,Marsilio,2009,"Colombo, Paolo",Italien|Handwerk,g|s,,
BV035733501,ger,,Städtische Räume im Mittelalter,,Susanne Ehrich ; Jörg Oberste (Hrsg.),Regensburg,Schnell & Steiner,2009,"Ehrich, Susanne|Oberste, Jörg",Europa|Stadt,g|s,BV035420913,Forum Mittelalter
BV035733693,ita,"Cutinelli Rèndina, Emanuele",Guicciardini,,Emanuele Cutinelli-Rèndina,Roma,Salerno,2009,,"Guicciardini, Francesco",p,BV012841271,Sestante
BV035733891,ger,"Seeger, Joachim",Hans Schenck (genannt Scheußlich),,von Joachim Friedrich Seeger,Berlin,Mittler,1932,,,,,
BV035734967,ger,,Unizeit,,Universität Osnabrück. Hrsg.: Der Präsident der Universität Osnabrück,Osnabrück,Univ.,2009-2013,,,,,
BV035735007,ger,,Für den Faschismus bauen,,hrsg. von Aram Mattioli und Gerald Steinacher,Zürich,Orell Füssli,2009,"Mattioli, Aram|Steinacher, Gerald",Italien|Architektur,g|s,BV037480040,Kultur - Philosophie - Geschichte
BV035735069,ger,"Opll, Ferdinand",Friedrich Barbarossa,,Ferdinand Opll,Darmstadt,WBG,2009,,"Friedrich I. (Heiliges Römisches Reich, Kaiser)",p,,
BV035735184,fre,"Bouillo, Eva",Le Salon de 1827,,Eva Bouillo,Rennes,Presses Univ. de Rennes,2009,,Frankreich|Salon|Salon (Paris),g|s|f,,
BV035735232,ita,,Roma,,a cura di Maria Grazia Granino Cecere,Roma,Ed. Quasar,2008,"Granino Cecere, Maria Grazia|Gregori, Gian Luca",Rom|Epigraphik,g|s,BV012753557,Supplementa Italica - imagines. Imagines
BV035735299,ger,,Statistischer Bericht,,Amt für Statistik Berlin-Brandenburg,Potsdam,Amt für Statistik Berlin-Brandenburg,1996-,,,,,
BV035735306,est,,Metsanduslikud uurimused,,"Institute of Forestry and Rural Engineering, Estonian University of Life Sciences",Tartu,Univ.,1999-,,,,,
BV035735581,eng,"Godwin, Joscelyn",Athanasius Kircher's theatre of the world,,Joscelyn Godwin,London,Thames & Hudson,2009,,"Kircher, Athanasius|Druckwerk",p|s,,
BV035735729,ita,"Messina, Aldo",Sicilia rupestre,,Aldo Messina,Caltanissetta [u.a.],S. Sciascia,2008,,Sizilien|Höhlenwohnung,g|s,,
BV035736161,ita,,"Tra simbolismo e futurismo, verso Sud",,L. Fava Guzzetta ...,Pesaro,Metauro,2009,"Fava Guzzetta, Lia","Sizilien|Kunst|Vasari, Ruggero",g|s|p,BV019664846,Segni del moderno
BV035737006,ger,,Tätigkeitsbericht,,Haus der Brandenburgisch-Preußischen Geschichte,Potsdam,,2007-2008,,,,,
BV035737013,ger,,Jahresbericht,,Haus der Brandenburgisch-Preußischen Geschichte,Potsdam,,2009-,,,,,
BV035737552,fre,"Loenertz, Raymond-Joseph",Les Ghisi,,"Raymond-J. Loenertz, O. P. Ouvrage publ. avec l'aide de Peter Schreiner. [Fondazione Giorgio Cini, Centro di Cultura e Civiltà, Venezia]",Firenze,Olschki,1975,"Schreiner, Peter",,,BV000010148,Civiltà veneziana
BV035737570,ita,"Angiolieri, Cecco",Il fiore,,Cecco Angiolieri. Nuove congetture testuali e interpretazioni di Menotti Stanghellini ; con un saggio introduttivo sull'ostilità fra Cecco e Dante e sulle recenti scoperte di numerose opere in poesia e in prosa da attribuire all'autore senese,Monteriggioni (Siena),Ed. Il Leccio,2009,"Stanghellini, Menotti","Angiolieri, Cecco",p,,
BV035737719,ita,"Mirabile, Andrea",Scrivere la pittura,,Andrea Mirabile,Ravenna,Longo,2009,,"Italienisch|Longhi, Roberto",s|p,BV000005842,L' interprete
BV035737858,ita,,Il lapidario di S. Maria Maggiore,,"a cura di Rosino Gabbiadini ; con testi di Daniele Carnoli, Maria Giulia Benini, Giovanni Fanti",Ravenna,Ed. del Girasole,2009,"Gabbiadini, Rosino|Carnoli, Daniele|Benini, Maria Giulia|Fanti, Giovanni",Santa Maria Maggiore|Steinplastik,g|s,BV035737856,Le pietre parlanti
BV035737983,ger,"Bier, Justus",Tilman Riemenschneider als Zeichner,,Justus Bier,,,1955,,"Riemenschneider, Tilman",p,,
BV035738034,ger,,Im Mittelpunkt: Natur,,hrsg. von Christian Juranek,Dößel,Stekovics,2009,"Juranek, Christian|Crola, Georg Heinrich","Crola, Georg Heinrich|Landschaftsmalerei",p|s,BV044037120,Edition Schloss Wernigerode
BV035738203,eng,,Studies in the linguistic sciences,,"Department of Linguistics, University of Illinois","Urbana, Ill.",,1971-,,,,,
BV035738515,eng,"Lane, Arthur",Later Islamic pottery,,by Arthur Lane,London,Faber and Faber,1971,,Syrien|Keramik,g|s,,
BV035738547,ger,,Codex und Raum,,"hrsg. von Stephan Müller, Lieselotte E. Saurma-Jeltsch und Peter Strohschneider",Wiesbaden,Harrassowitz,2009,"Müller, Stephan|Saurma-Jeltsch, Lieselotte E.|Strohschneider, Peter",Illuminierte Handschrift,s,BV004405970,Wolfenbütteler Mittelalter-Studien
BV035738631,eng,,Modern architecture and the Mediterranean,,ed. by Jean-François Lejeune and Michelangelo Sabatino,London [u.a.],Routledge,2010,"Lejeune, Jean-François|Sabatino, Michelangelo",Mittelmeerraum|Architektur,g|s,,
BV035738720,rus,"Malinovskij, Konstantin Vladimirovič",Sankt-Peterburg XVIII veka,,K. V. Malinovskij,Sankt-Peterburg,Kriga,2008,,Sankt Petersburg,g,,
BV035738945,eng,,400 years of astronomical telescopes,,Bernhard R. Brandl ... ed.,[Dordrecht] [u.a.],Springer,2010,"Brandl, Bernhard",Fernrohr,s,,
BV035739061,ita,,Le signorie dei Rossi di Parma tra XIV e XVI secolo,,a cura di Letizia Arcangeli e Marco Gentile,Firenze,Firenze University Press,2007,"Arcangeli, Letizia|Gentile, Marco","Rossi (Familie, Parma)",p,BV035094691,Reti medievali. E-book. Quaderni
BV035739398,eng,,IIUM journal of economics and management,,publ. by the International Islamic University Malaysia,Kuala Lumpur,,1997-2010,,,,,
BV035739447,ita,"Manieri-Elia, Mario","Roma, dall'acqua alla pietra",,Mario Manieri Elia,Roma,Carocci,2009,,Rom|Städtebau,g|s,BV017971495,Saggi
BV035739446,ita,,Inventari seicenteschi della Pinacoteca Ambrosiana,,Stefania Vecchio,Bari,Ed. di Pagina,2009,"Vecchio, Stefania",Pinacoteca Ambrosiana|Kunst,b|s,BV037479866,Due punti
BV035739780,ita,,Tullio Lombardo,,a cura di Anna Pizzati ; Matteo Ceriana,Verona,Scripta Ed.,2008,"Pizzati, Anna|Ceriana, Matteo","Lombardo, Tullio",p,BV038745708,Pubblicazioni del Comitato Nazionale per le celebrazioni del 550 anniversario della nascita di Tullio Lombardo
BV035739868,ita,"Alberti, Leon Battista",Corpus epistolare e documentario di Leon Battista Alberti,,"a cura di Paola Benigni, Roberto Cardini e Mariangela Regoliosi con la collab. di Elisabetta Arfanotti",Firenze,Ed. Polistampa,2007,"Benigni, Paola|Cardini, Roberto|Regoliosi, Mariangela|Arfanotti, Elisabetta","Alberti, Leon Battista",p,BV035739865,Edizione nazionale delle opere di Leon Battista Alberti
BV035740006,ita,"Pirrotti, Shara",Il monastero di San Filippo di Fragalà,,Sahra Pirrotti,Palermo,Officina di Studi Medievali,2008,,San Filippo di Fragalà Kloster|Geschichte,b|s,,
BV035740014,rus,"Punin, Andrej Lʹvovič",Architektura Peterburga serediny i vtoroj poloviny XIX veka,,A. L. Punin,Sankt-Peterburg,Izdat. Kriga,2009,,Sankt Petersburg|Architektur,g|s,,
BV035740049,ger,,Leuchtende Beispiele,,Ariane Mensger,Karlsruhe,Staatl. Kunsthalle Karlsruhe,2009,"Mensger, Ariane",Glasmalerei,s,,
BV035740168,ger,"Chierichetti, Sandro",Assisi,,Sandro Chierichetti*,Milan,Moneta,1957,,Assisi,g,,
BV035740357,ita,"Verrazzani, Enrico",Il Museo Civico di Sansepolcro nel costume cittadino,,Enrico Verrazzani,Arezzo,Provincia di Arezzo,2009,,Museo Civico,b,BV014733200,"La Provincia di Arezzo: arte, costume, storia"
BV035740762,ita,"Valenti, Paola",Lucio Fontana,,Paola Valenti,Genova,De Ferrari,2009,,"Fontana, Lucio|Kunst",p|s,,
BV035740828,ita,"Alberti, Leon Battista",Leonis Baptiste Alberti Trivia senatoria,,Leonis Baptiste Alberti. A cura di Stefano Cartei,Firenze,Ed. Polistampa,2008,"Cartei, Stefano","Alberti, Leon Battista|Kommentar",u|s,BV035091061,Edizione nazionale delle opere di Leon Battista Alberti
BV024635281,ger,"Clemen, Paul",Die deutsche Kunst und die Denkmalpflege,,von Paul Clemen,Berlin,Dt. Kunstverl.,1933,,Deutschland|Kunst,g|s,,
