id,lang,authors,title,subtitle,statement,place,publisher,year,editors,subjects,subject_types,parentId,parentTitle
BV013212123,ger,"Cassirer, Ernst",Gesammelte Werke,,Ernst Cassirer. Hrsg. von Birgit Recki,Hamburg,Meiner,2005,"Berben, Tobias|Recki, Birgit|Simon, Marcel","Descartes, René",p,,
BV013212127,ger,"Cassirer, Ernst",Gesammelte Werke,,Ernst Cassirer. Hrsg. von Birgit Recki,Hamburg,Meiner,2005,"Rosenkranz, Claus|Recki, Birgit|Simon, Marcel","Hägerström, Axel|Philosophie",p|s,,
BV013212129,ger,"Cassirer, Ernst",Gesammelte Werke,,Ernst Cassirer. Hrsg. von Birgit Recki,Hamburg,Meiner,2006,"Rosenkranz, Claus|Recki, Birgit|Simon, Marcel",,,,
BV013212132,eng,"Cassirer, Ernst",Gesammelte Werke,,Ernst Cassirer. Hrsg. von Birgit Recki,Hamburg,Meiner,2006,"Lukay, Maureen|Recki, Birgit|Simon, Marcel",,,,
BV013212135,ger,"Cassirer, Ernst",Gesammelte Werke,,Ernst Cassirer. Hrsg. von Birgit Recki,Hamburg,Meiner,2007,"Rosenkranz, Claus|Recki, Birgit|Simon, Marcel",,,,
BV013212138,eng,"Cassirer, Ernst",Gesammelte Werke,,Ernst Cassirer. Hrsg. von Birgit Recki,Hamburg,Meiner,2007,"Lukay, Maureen|Recki, Birgit|Simon, Marcel",,,,
BV013212536,eng,,American politics quarterly,,,London,SAGE Publ.,1973-2000,,,,,
BV013212552,eng,,Arthritis & rheumatism,,,"Hoboken, NJ",Wiley-Blackwell,1958-2013,,,,,
BV013212553,fre,,Thesaurus des objets religieux,,ouvrage sous la dir. de Joël Perrin ...,Paris,Ed. du Patrimoine,1999,"Perrin, Joël",Heiliger Gegenstand|Katholische Kirche,s|b,,
BV013212555,eng,,Biochemical Society transactions,,,London,Portland Press,1973-,,Biochemie,s,,
BV013212737,eng,,Arthritis care & research,,,"New York, NY [u.a.]",Wiley,1988-,,,,,
BV013212775,eng,,Heythrop journal,,,Oxford [u.a.],Wiley-Blackwell,1960-,,,,,
BV013212880,eng,,Modern theology,,,Oxford [u.a.],Wiley-Blackwell,1984-,,,,,
BV013212973,eng,,The TRIZ journal,,,"Worcester, Ma.",The Altshuller Inst.,1996-,,Problemlösen,s,,
BV013213217,ger,"Feldkamp, Michael F.",Pius XII. und Deutschland,,Michael F. Feldkamp,Göttingen,Vandenhoeck & Ruprecht,2000,,Pius XII. (Papst)|Deutschland|Kirchenpolitik,p|g|s,,
BV013213249,eng,,Journal of geophysical research,,American Geophysical Union,"Hoboken, NJ",Wiley,1984-[2012],,,,,
BV013213288,eng,,Journal of geophysical research,,American Geographical Union,"Hoboken, NJ",Wiley,[1978-2012],,,,,
