text_2,inventory_year,count
"Museums-, Austellungs-und Restaurierungswesen",1993,8
"Museums-, Austellungs-und Restaurierungswesen",1994,9
"Museums-, Austellungs-und Restaurierungswesen",1995,5
"Museums-, Austellungs-und Restaurierungswesen",1996,10
"Museums-, Austellungs-und Restaurierungswesen",1997,3
"Museums-, Austellungs-und Restaurierungswesen",1998,9
"Museums-, Austellungs-und Restaurierungswesen",1999,18
"Museums-, Austellungs-und Restaurierungswesen",2000,20
"Museums-, Austellungs-und Restaurierungswesen",2001,24
"Museums-, Austellungs-und Restaurierungswesen",2002,16
"Museums-, Austellungs-und Restaurierungswesen",2003,9
"Museums-, Austellungs-und Restaurierungswesen",2004,12
"Museums-, Austellungs-und Restaurierungswesen",2005,17
"Museums-, Austellungs-und Restaurierungswesen",2006,15
"Museums-, Austellungs-und Restaurierungswesen",2007,11
"Museums-, Austellungs-und Restaurierungswesen",2008,17
"Museums-, Austellungs-und Restaurierungswesen",2009,18
"Museums-, Austellungs-und Restaurierungswesen",2010,10
"Museums-, Austellungs-und Restaurierungswesen",2011,14
"Museums-, Austellungs-und Restaurierungswesen",2012,6
"Museums-, Austellungs-und Restaurierungswesen",2013,27
"Museums-, Austellungs-und Restaurierungswesen",2014,12
"Museums-, Austellungs-und Restaurierungswesen",2015,44
"Museums-, Austellungs-und Restaurierungswesen",2016,39
"Museums-, Austellungs-und Restaurierungswesen",2017,98
"Museums-, Austellungs-und Restaurierungswesen",2018,73
"Museums-, Austellungs-und Restaurierungswesen",2019,28
"Museums-, Austellungs-und Restaurierungswesen",2020,35
"Museums-, Austellungs-und Restaurierungswesen",2021,70
"Museums-, Austellungs-und Restaurierungswesen",2022,51
"Museums-, Austellungs-und Restaurierungswesen",2023,1
