id,lang,authors,title,subtitle,statement,place,publisher,year,editors,subjects,subject_types,parentId,parentTitle
BV003185438,ger,"Kretzenbacher, Leopold",Südost-Überlieferungen zum apokryphen Traum Mariens,,Leopold Kretzenbacher,München,Verl. der Bayerischen Akad. der Wiss.,1975,,"Südosteuropa|Marientraum|Maria (von Nazaret, Biblische Person)",g|s|p,,
BV003185449,ger,"Hecker, Oskar",Boccaccio-Funde,,ermittelt und erwiesen von Oskar Hecker,Braunschweig,Westermann,1902,"Boccaccio, Giovanni","Boccaccio, Giovanni",p,,
BV003185458,ita,"Graf, Arturo",L' anglomania e l'influsso inglese in Italia nel secolo XVIII,,Arturo Graf,Torino,Loescher,1911,,Italienisch,s,,
BV003185488,ita,"Baretti, Giuseppe",La scelta delle lettere familiari,,Giuseppe Baretti. A cura di Luigi Piccioni,Bari,Laterza,1912,"Piccioni, Luigi",,,BV000000736,Scrittori d'Italia.
BV003185989,ita,"Vittorelli, Jacopo",Poesie,,Jacopo Vittorelli. A cura di Attilio Simioni,Bari,Laterza,1911,"Simioni, Attilio",,,BV000000736,Scrittori d'Italia
BV003185991,ita,"Gozzi, Carlo",La marfisa bizzarra,,Carlo Gozzi. A cura di Cornelia Ortiz,Bari,Laterza,1911,"Ortiz, Cornelia",,,BV000000736,Scrittori d'Italia.
BV003185997,ita,"Marino, Giambattista",Poesie varie,,Giovanni Battista Marino. A cura di Benedetto Croce,Bari,Laterza,1913,"Croce, Benedetto",,,BV000000736,Scrittori d'Italia
BV003186024,ger,"Kaden, Woldemar",Wandertage in Italien,,von Woldemar Kaden,Stuttgart,Meyer & Zeller,1874,,,,,
BV003186027,ger,"Klostermann, Ludwig",Die Vergleiche in Ariosts Orlando Furioso,,von Ludwig Klostermann,,,1921,,"Ariosto, Ludovico",p,,
BV003186036,ger,"Holmsten, Georg",Friedrich II. in Selbstzeugnissen und Bilddokumenten,,dargest. von Georg Holmsten,Reinbek,Rowohlt,1975,,"Friedrich II. (Preußen, König)|Siebenjähriger Krieg|Preußen",p|s|g,,
BV003186267,ger,"Rehm, Walther",Europäische Romdichtung,,Walther Rehm,München,"Hueber, Verl.",1939,,Europa|Rom,g|s,,
BV003187064,ita,"Mussafia, Adolfo",Dei Codici Vaticani Latini 3195 e 3196 delle rime del Petrarca,,di Adolfo Mussafia,Wien,Gerold,1900,,"Petrarca, Francesco",u,BV011042968,"Denkschriften der Kaiserlichen Akademie der Wissenschaften in Wien, Philosophisch-Historische Klasse"
BV003187394,ger,"Brinckmann, Albert E.",Giotto bis Juvarra,,von A. E. Brinckmann,Hamburg,Hoffmann und Campe,1940,,Italien|Kunst|Giotto (di Bondone),g|s|p,,
BV003187838,ger,"Riehl, Hans",Der St. Stephansdom in Wien,,"von Dr. Hans Riehl, Wien",München,Allgemeine Vereinigung für Christliche Kunst,1926,,Stephansdom,g,BV023552428,Die Kunst dem Volke
BV003188021,ger,,Der Strukturbegriff in den Geisteswissenschaften,,"von Herbert von Einem, Karl Erich Born, Fritz Schalk u. Wolfgang P. Schmid",Wiesbaden,Steiner,1973,"Einem, Herbert von",Struktur,s,,
BV003188057,ger,"Anton, Hans Hubert",Studien zu den Klosterprivilegien der Päpste im frühen Mittelalter,,von Hans Hubert Anton,Berlin,de Gruyter,1975,,Kloster Saint-Maurice|Klosterprivileg,b|s,BV000020231,Beiträge zur Geschichte und Quellenkunde des Mittelalters
BV003188095,fre,,La ville dans la litterature Italienne moderne,,Urheber: Centre d'Etudes Italiennes <Lille>. Mitarb.: Janine Basso*,Paris,Ed. Univ.,1974,"Basso, Janine",Italienisch,s,,
BV003188145,eng,"Bowsky, William M.",Henry VII in Italy,,,"Westport, Conn.",Greenwood Press,1974,,"Heinrich VII. (Heiliges Römisches Reich, Kaiser)|Italien|Italienpolitik",p|g|s,,
BV003188264,ger,"Potpeschnigg, Luise",Einführung in die Betrachtung von Werken der bildenden Kunst,,von Luise Potpeschnigg,Wien,K. K. Schulbücherverlag,1915,,Kunstbetrachtung,s,BV002812405,Arbeiten des Kunsthistorischen Instituts der k. k. Universität Wien
BV003188418,ger,,Scientia Augustiniana,,hrsg. von Cornelius Petrus Mayer ; Willigis Eckermann,Würzburg,Augustinus-Verl.,1975,"Mayer, Cornelius|Zumkeller, Adolar|Eckermann, Willigis","Zumkeller, Adolar|Augustiner",p|b,BV000010609,Cassiciacum
BV003188463,ger,"Mazal, Otto",Die Prooimien der byzantinischen Patriarchenurkunden,,Otto Mazal,Wien,Verl. der Österr. Akad. der Wiss.,1974,,Byzantinisches Reich,g,BV023547730,Byzantina Vindobonensia
BV003188573,ita,"Fuiano, Michele","Libri, scrittorii e biblioteche nell'alto medioevo",,Michele Fuiano,Napoli,Libreria Scientifica,1973,,Italien|Buch,g|s,,
BV003188595,eng,"Poggio Bracciolini, Gian Francesco",Two Renaissance book hunters,,transl. from the Latin and annot. by Phyllis Walter Goodhart Gordan,"New York, NY [u.a.]",Columbia Univ. Press,1974,"Niccoli, Niccolò|Gordan, Phyllis Walter Goodhart","Poggio Bracciolini, Gian Francesco",p,BV000891182,Records of civilization
BV003189244,ger,"Kretzenbacher, Leopold",Kettenkirchen in Bayern und in Österreich,,vorgelegt v. Leopold Kretzenbacher am 2. März 1973,München,Verl. der Bayer. Akad. der Wiss.,1973,,Österreich|Kettenkirche,g|s,BV002575936,Bayerische Akademie der Wissenschaften <München> /Philosophisch-Historische Klasse
BV003189271,ger,"Höfler, Karl Adolf Constantin von",Rückblick auf P. Bonifacius VIII. und die Literatur seiner Geschichte,,von Constantin Höfler,München,Akad. Verl.,1843,,Bonifatius VIII. (Papst)|Geschichtsschreibung,p|s,,
BV003189798,ger,"Horst, Eberhard",Friedrich der Staufer,,Eberhard Horst,Düsseldorf,Claassen,1975,,"Friedrich II. (Heiliges Römisches Reich, Kaiser)|Sizilien|Kreuzzüge",p|g|s,,
BV003191377,eng,"Owen, D. D. R.",Noble lovers,,Douglas D. R. Owen*,London,Phaidon,1975,,Romanische Sprachen,s,,
BV003191479,ger,"Braig, Karl",Zur Erinnerung an Franz Xaver Kraus,,im Namen der Theologischen Fakultät an der Universität Freiburg i.Br. von Karl Braig,Freiburg i.Br.,Herder,1902,,"Kraus, Franz Xaver|Bibliografie",p|s,,
BV003191481,ger,"Layer, Adolf",Matthias Klotz von Mittenwald,,Adolf Layer,Feldafing/Obb.,Brehm,1970,,"Klotz, Mathias",p,,
BV003191798,eng,"Pullapilly, Cyriac K.",Caesar Baronius,,,"Notre Dame, Ind.",Univ. of Notre Dame Press,1975,,"Baronio, Cesare",p,,
BV003191884,ger,"Zimmermann, Harald",Der Canossagang von 1077,,von Harald Zimmermann,Wiesbaden,Steiner,1975,,Canossa|Gang nach Canossa,g|s,,
BV003192160,fre,"Rossel, Virgile",Histoire des relations littéraires entre la France et l'Allemagne,,Virgile Rossel,Paris,Fischbacher,1897,,Französisch|Deutschland,s|g,,
BV003192211,ita,"Blanch, Luigi",Della scienza militare,,Luigi Blanch. A cura di Amedeo Giannini,Bari,Laterza,1910,"Giannini, Amedeo",,,BV000000736,Scrittori d'Italia.
BV003192250,ita,,Economisti del cinque e seicento,,acura di Augusto Graziani,Bari,Laterza,1913,"Graziani, Augusto",Italien|Wirtschaft,g|s,BV000000736,Scrittori d'Italia
BV003192660,eng,"Lucretius Carus, Titus",De rerum natura,,Übers. von William Henry Denham Rouse*,London,Heinemann,1975,"Rouse, W. H. D.",,,BV000014217,The Loeb classical library.
BV003192752,ger,"Kalopisē-Bertē, Sophia",Die Kirche der Hagia Triada bei Kranidi in der Argolis (1244),,,München,Inst. für Byzantinistik und Neugriechische Philologie,1975,,Hagia Triada|Wandmalerei,g|s,BV039537197,Miscellanea Byzantina Monacensia.
BV003193152,ger,"Fuhrmann, Manfred",Einführung in die antike Dichtungstheorie,,Manfred Fuhrmann,Darmstadt,Wiss. Buchges.,1973,,"Horatius Flaccus, Quintus|Poetik|Aristoteles",p|s|u,,
BV003193336,ger,"Levy, Emil",Der Troubadour Bertolome Zorzi,,,Halle,Karras,1883,,"Zorzi, Bertolomé",p,,
BV003195182,ger,"Herrmann, Alfred",Hamburg und das Hamburger Fremdenblatt,,von Alfred Herrmann,Hamburg,Broschek,1928,,Hamburger Fremdenblatt,u,,
BV003195309,ger,"Mulertt, Werner",Literarische Frauen-Idealbilder vor und in der italienischen Renaissance,,Werner Mulertt,Hamburg,Hansischer Gildenverl.,1941,,Frauenideal,s,BV035919516,Hamburger Studien zu Volkstum und Kultur der Romanen
BV003195429,ger,"Barth, Suse",Lebensalter-Darstellungen im 19. und 20. Jahrhundert,,von Suse Barth,,,1971,,Kunst,s,,
BV003197393,ger,,Cluny,,hrsg. von Helmut Richter,Darmstadt,Wiss. Buchges.,1975,"Richter, Helmut",Cluniazensische Reform|Kloster Cluny,s|b,BV000000802,Wege der Forschung
BV003197725,ita,"Baldini, Antonio",Michelaccio,,,Roma,La Ronda Ed.,1924,,Michelangelo (Buonarroti),p,,
BV003197726,ger,"Hefti, Fridolin",Giosuè Carducci als Dichter der Natur,,von Fridolin Hefti,,,1933,,"Carducci, Giosuè",p,,
BV003197733,ger,"Azzolini, Margherita",Giosuè Carducci und die deutsche Literatur,,von Margherita Azzolini,Tübingen,Mohr,1910,,"Carducci, Giosuè|Deutsch",p|s,BV002777762,Sprache und Dichtung
BV003197736,ger,"Appel, Carl",Erlebnis und Dichtung bei Giosuè Carducci,,,Breslau,,1926,,"Carducci, Giosuè",p,,
BV003197738,ger,"Strauch, Alfons",Die Kosmographie in Ariosts Orlando Furioso,,von Alfons Strauch,,,1921,,"Ariosto, Ludovico|Kosmografie",u|s,,
BV003198007,ger,Michelangelo,Sonette,,Michelangelo. Übertr. und hrsg. von Edwin Redslob,Berlin [u.a.],Weidmann,1948,"Redslob, Edwin",,,,
BV003198358,ger,"Courtade, Francis",Geschichte des Films im Dritten Reich,,Francis Courtade ; Pierre Cadars,München [u.a.],Hanser,1975,"Cadars, Pierre",Deutschland|Film,g|s,,Le cinéma Nazi
BV003198570,ger,"Gregorovius, Ferdinand",Euphorion,,,Leipzig,Brockhaus,1891,,,,,
BV003198571,ger,"Hehn, Victor",Reisebilder aus Italien und Frankreich,,von Victor Hehn. Hrsg. von Theodor Schiemann,Stuttgart [u.a.],Cotta,1906,"Schiemann, Theodor",Frankreich,g,,
BV003198938,eng,Quintus,The fall of Troy,,with an English transl. by Arthur S. Way,London [u.a.],Heinemann,1962,"Way, Arthur S.",,,BV000014217,Posthomerica
BV003199374,ger,"Habich, Georg",Über zwei Prometheus-Bilder angeblich von Piero di Cosimo,,,München,Franz in Komm. ; Verlag der Bayerischen Akademie der Wissenschaften,1920,,Piero (di Cosimo),p,,
