id,lang,authors,title,subtitle,statement,place,publisher,year,editors,subjects,subject_types,parentId,parentTitle
BV009077221,ger,,Hopovo,,Dinko Davidov,Beograd,Izd. Zavod Jugoslavija,1964,"Davidov, Dinko",Manastir Novo Hopovo|Wandmalerei|Serbien|Daniel in der Löwengrube,b|s|g|u,,
BV009077222,ger,"Mikić, Olga",Bodjani,,,Beograd,Verl. Jugoslavijà,1964,,Jugoslawien|Gleichnis|Jesus Christus|Bibel,g|s|p|u,,
BV009077357,ger,"Deichmann, Friedrich Wilhelm",Die Entstehungszeit von Salvatorkirche und Clitumnustempel bei Spoleto,,,Rom,,1943,,,,,
BV009077778,ita,,Atti del Colloquio Internazionale sul Concilio di Aquileia del 381,,,Udine,Arti Grafiche Friulane,1981,,Synode (Aquileja)|Italien|Kirchengeschichte,f|g|s,BV037477212,Antichità altoadriatiche
BV009077851,ita,"Pross Gabrielli, Gabriella",L' oratorio e la basilica paleocristiana di Trieste,,Gabriella Pross Gabrielli,San Casciano,Capelli,1969,,Madonna del Mare|Architektur,g|s,,
BV009078244,fre,"Du Mesnil du Buisson, Robert",Les peintures de la synagogue de Doura-Europos,,Comte DuMesnil DuBuisson,Roma,,1939,,Synagoge Dura-Europos|Ausgrabung,g|s,,
BV009078246,ger,,Plastik am Bau,,Urs Boeck,Tübingen,Verlag Ernst Wasmuth,[1961],"Boeck, Urs",Bauplastik,s,,
BV009078247,ger,,Unbekannte Bildwerke alter deutscher Meister,,Julius Baum,Stuttgart,Strache,1954,"Baum, Julius","Deutschland|Plastik|Auwera, Johann Wolfgang van der|Guter Hirt",g|s|p|u,,
BV009078301,fre,"Demangel, Robert",Le quartier des Manganes et la première région de Constantinople,,par R. Demangel et E. Mamboury,Paris,Boccard,1939,"Mamboury, Ernest",,,BV008913117,Recherches françaises en Turquie
BV009078303,ger,"Schoenebeck, Hans Ulrich von",Der Mailänder Sarkophag und seine Nachfolge,,Hanns-Ulrich von Schoenebeck,Roma [u.a.],Pont. Ist. di Archeologia Cristiana [u.a.],1935,,Mailand|Sarkophag,g|s,BV000005919,Studi di antichità cristiana
BV009078513,rus,,Drevnerusskaja monumentalʹnaja živopisʹ,,[sostavitelʹ alʹboma i avtor vstupitelʹnoj statʹi M. K. Karger],Moskva [u.a.],Izdat. Sovetskij Chudožnik,1963,"Karger, Michail K.",Russland|Wandmalerei|Feofan (Grek),g|s|p,,
BV009078547,rus,,Novgorodskaja ikonopisʹ,,V. N. Lazarev,Moskva,Izdat. Iskusstvo,1969,"Lazarev, Viktor Nikitič",Weliki Nowgorod|Ikonenmalerei|Drei junge Männer im Feuerofen,g|s|u,,
BV009078680,ger,,Zillis,,Text von Ernst Murbach. Photogr. und hrsg. von Peter Hemann,Zürich [u.a.],Atlantis-Verl.,1967,"Murbach, Ernst|Heman, Peter",Sankt Martin|Deckenmalerei|Leben Christi,g|s|u,,
BV009078683,ger,,Die Holztür der Pfarrkirche zu St. Maria im Kapitol,,von Richard Hamann. Hrsg. im Auftrag des Deutschen Vereins für Kunstwissenschaft,Marburg a.L.,Verl. des Kunstgeschichtl. Seminars der Univ. Marburg a.L.,1926,"Hamann, Richard",Sankt Maria im Kapitol|Holztür,g|s,BV035416098,Jahresgabe des Deutschen Vereins für Kunstwissenschaft
BV009078695,ger,,Hispania Romanica,,Einf. und Erl. von Marcel Durliat. Photos von Jean Dieuzaide,Wien ; München,Schroll,1962,"Durliat, Marcel|Dieuzaide, Jean",Spanien|Kunst,g|s,,
BV009078802,ita,"Farioli Campanati, Raffaella",Pavimenti musivi di Ravenna paleocristiana,,Raffaella Farioli,Ravenna,Longo,1975,,Ravenna|Mosaik,g|s,BV004860336,"Antichità, archeologia, storia dell'arte"
BV009078894,eng,"Lewis, Charlton Thomas",A Latin dictionary,,by Charlton T. Lewis and Charles Short,Oxford,Clarendon Press,1962,"Short, Charles",Latein,s,,
BV009078939,rus,,Moskovskaja škola ikonopisi,,V.N. Lazarev,Moskva,Izdatelʹstvo Iskusstvo,1971,"Lazarev, Viktor Nikitič",Russland|Ikone,g|s,,
BV009078941,eng,,Dmitrievskij sobor,,tekst G. Vagnera,Leningrad,Izdat. Avrora,1969,"Vagner, G. K.",Demetrius-Kathedrale Wladimir|Bauplastik,g|s,BV004844938,Publikacija odnogo pamjatnika
BV009079477,ger,,Die apokryphen Evangelien des Neuen Testamentes,,herausgegeben von Henri Daniel-Rops. [Auswahl und Übertragung der Französischen Ausgabeauf Grund der Urtexte von Henri Daniel-Rops und. F. Amiot. Deutsche Übertragung v. Oswalt von Nostitz (in Zusammenarbeit mit H.H.J. Tyciak)],Zürich,Verl. der Arche,1956,"Daniel-Rops, Henri|Amiot, François|Nostitz, Oswalt von|Tyciak, Julius",Apokryphen,u,,
BV009079616,eng,"Kalokyrēs, Kōnstantinos D.",The byzantine wall paintings of Crete,,by Konstantin Kalokyris. Transl. by Leonidas Contos [and] Constantine Kazanas. Ed. Harry Hionides [u.] Joanna Gunderson. Photogr. by Farrell Grehan,New York,Red Dust,1973,"Chionidēs, Charēs|Grehan, Farrell|Gunderson, Joanna|Kazanas, Kōnstantinos|Kontos, Leōnidas",Kreta|Monumentalmalerei,g|s,,Hai byzantinai toichographiai tēs Krētēs
BV009079618,ita,"Bortolotto, Irma",Il Sacello paleocristiano della Cal ad Aquileia,,,Udine,Einaudi,1973,,Aquileja|Fußbodenmosaik,g|s,,
BV009079774,grc,Konstantin,De administrando imperio,,Greek text ed. by Gy. Moravcsik. Engl. transl. by R. J. H. Jenkins,"Locust Valley, N.Y.",Augustin,1967,"Moravcsik, Gyula|Jenkins, Romilly James Heald","Byzantinisches Reich|Verwaltung|Constantinus VII. (Imperium Byzantinum, Imperator)",g|s|u,BV020538741,Corpus fontium historiae Byzantinae
BV009079801,eng,"Ṿilnaʾi, Zeʾev",The Holy Land in old prints and maps,,Zev Vilnay,Jerusalem,Mass,1963,,Israel|Karte,g|s,,
BV009079940,eng,"Ṿilnaʾi, Zeʾev",The guide to Israel,,,Jerusalem,Sivan Press,1964,,Palästina|Historische Landeskunde,g|s,,
BV009080345,eng,"Budge, Ernest A. Wallis",Amulets and talismans,,by E. A. Wallis Budge,New York,Univ. Books,1961,,Amulett,s,,
BV009080415,ger,,Das Pelizaeus-Museum in Hildesheim,,Hans Kayser ; [Photogr.: Helmut Wegener],Hamburg,"Cram, de Gruyter",1966,"Kayser, Hans|Wegener, Helmut",Roemer- und Pelizaeus-Museum Hildesheim,b,BV001888502,Kulturgeschichtliche Museen in Deutschland
BV009080419,ger,"Wessel, Klaus",Koptische Kunst,,Klaus Wessel,Recklinghausen,Bongers,1963,,Koptische Kunst|Afrika,s|g,,
BV009080808,eng,"Wright, George Ernest",Shechem,,G. Ernest Wright,London,Duckworth,1965,,Ausgrabung,s,,
BV009080914,ger,"Noth, Martin",Geschichte Israels,,Martin Noth,Göttingen,Vandenhoeck & Ruprecht,1954,,Israel|Geschichte,g|s,,
BV009080979,fre,"Dussaud, René",La Syrie antique et médiévale illustrée,,René Dussaud ; Paul Deschamps ; Henry Seyrig,Paris,Geuthner,1931,"Deschamps, Paul|Seyrig, Henri",,,BV023550117,Bibliothèque archéologique et historique
BV009081056,eng,"Steckoll, Solomon H.",The Gates of Jerusalem,,,London,Allen & Unwin,1968,,,,,
BV009081551,fre,"Marchet, Xavier",Le véritable emplacement du Palais de Caiphe et l'église Saint-Pierre a Jérusalem,,,Paris,Lecoffre,1927,,,,,
BV009081603,ger,"Kiepert, Heinrich",Atlas antiquus,,,Berlin,Reimer,1863,,,,,
BV009081658,fre,Theophilus,Trois livres à Autolycus,,Théophile d'Antioche. Texte grec établi par G[ustave] Bardy. Trad. de Jean Sender. Introd. et notes de Gustave Bardy,Paris,Ed. du Cerf,1948,"Sender, Jean|Bardy, Gustave",Theophilus (Antiochenus),p,BV002729566,Ad Autolycum
BV009081887,eng,,The Macedonian question in Byzantine painting,,Angelo Procopiou,Athens,Procopiou,1962,"Procopiou, Angelo",,,,
BV009082102,ita,"Fugagnollo, Ugo",Bisanzio e l'oriente a Venezia,,,Triest,Lint,1974,,,,,
BV009082183,ger,,Die Kameen im Kunsthistorischen Museum,,bearb. von Fritz Eichler und Ernst Kris,Wien,Schroll,1927,"Eichler, Fritz|Kris, Ernst",Kunsthistorisches Museum Wien|Kamee,b|s,BV008912978,Publikationen aus den Kunsthistorischen Sammlungen in Wien
BV009082225,ger,"Gössmann, Elisabeth",Die Verkündigung an Maria im dogmatischen Verständnis des Mittelalters,,Maria Elisabeth Gössmann,München,Max Hueber Verlag,1957,,Verheißung der Geburt Jesu|Mariologie,u|s,,
BV009082226,ita,"Garana, Ottavio",Le catacombe siciliane e i loro martiri,,Ottavio Garana,Palermo,Flaccovio,1961,,Sizilien|Katakombe,g|s,,
BV009082329,eng,,Guide to the Museum of Icons and the Church of St. George,,The Hellenic Institute of Byzantine and Post-byzantine Studies in Venice. Historical introd. by M. Manoussacas. Descriptive catalogue by Ath. Paliouras,Venedig,,1976,"Manusakas, Manusos I.|Paliuras, Athanasios D.",Museo delle Icone Bizantine e Post Bizantine|San Giorgio dei Greci,b|g,,
BV009082345,ger,"Frowein, Peter",Wein und Leben,,Peter Frowein ; Grete Schäfer*,Bonn,Carthaus,1976,"Schäfer, Grete",Ikonographie,s,,
BV009082375,ita,"Salvini, Roberto",Mosaici Medievali in Sicilia,,Roberto Salvini,Firenze,Sansoni,1949,,Sizilien|Mosaik,g|s,,
BV009082376,ita,,I Mosaici di Monreale,,Ernst Kitzinger,Palermo,Flaccovio,1960,"Kitzinger, Ernst","Prophet|Bibel|Paulus (Apostel, Heiliger)|Monreale",s|u|p|g,,
BV009082382,eng,"Demus, Otto",Byzantine mosaic decoration,,,London,Routledge & Kegan,1964,,Byzanz|Mosaik,g|s,,
BV009082403,ger,"Thulin, Oskar",Das Christusbild der Katakombenzeit,,Oskar Thulin,Berlin,Lutherisches Verl.-Haus,1954,,Christusdarstellung|Mose (Biblische Person)|Abrahams Opfer,s|p|u,,
BV009082405,ger,"Weis-Liebersdorf, Johannes E.",Christus- und Apostelbilder,,J. E. Weis-Liebersdorf,Freiburg i.Br.,Herder,1902,,Apokryphen|Christusdarstellung,u|s,,
BV009082417,ita,"Farioli Campanati, Raffaella",Elementi di Iconografia Cristiana,,,Bologna,Ed. Patron,1964,,Noach (Biblische Person)|Ikonographie|Abrahams Opfer,p|s|u,,
BV009082420,ger,"Mendelsohn, Henriette",Die Engel in der bildenden Kunst,,von Henriette Mendelsohn,Berlin,B. Behrs Verlag,1907,,Engel,s,,
BV009082437,ger,"Parlasca, Klaus",Hermopolis Magna in römischer Zeit,,Klaus Parlasca,Mainz,Römisch-Germanisches Zentralmuseum,1960,,Hermopolis Magna|Städtebau,g|s,,
BV009082464,eng,"Hinks, R. P.",Carolingian art,,,"Ann Arbor, Mich.",Univ. of Michigan Pr.,1962,,Fränkisches Reich|Kunst,g|s,BV023550005,Ann Arbor paperbacks
BV009082500,ger,,Die deutsche Plastik des fuenfzehnten Jahrhunderts,,Wilhelm Pinder,München,Wolff,1924,"Pinder, Wilhelm",Deutschland|Plastik,g|s,,
