id,lang,authors,title,subtitle,statement,place,publisher,year,editors,subjects,subject_types,parentId,parentTitle
BV000023649,ger,,"Deutsches Literaturarchiv, Schiller-Nationalmuseum",,vorgestellt von den Mitarbeitern,Marbach a. Neckar,,1982,,Deutsches Literaturarchiv Marbach,b,BV040655651,Marbacher Schriften
BV000024214,ger,"Schlink, Wilhelm",Jacob Burckhardt und die Kunsterwartung im Vormärz,,Wilhelm Schlink,Wiesbaden,Steiner,1982,,"Burckhardt, Jacob|Deutschland|Historienmalerei",p|g|s,BV000000154,Frankfurter historische Vorträge
BV000024767,ger,"Burckhardt, Jacob",Über das Studium der Geschichte,,Jacob Burckhardt. Nach den Handschriften herausgegeben von Peter Ganz,München,Verlag C.H.Beck,1982,"Ganz, Peter F.|Ziegler, Ernst","Geschichtsstudium|Burckhardt, Jacob",s|p,,
BV000025578,ger,"Herzog, Werner",Fitzcarraldo,,Werner Herzog,München u.a.,Hanser,1982,,"Fitzcarraldo|Herzog, Werner",u|p,,
BV000026429,ita,"Rotili, Mario",Filippo Raguzzini nel terzo centenario della nascita,,,Napoli,Soc. Ed. Napoletana,1982,"Rauzzini, Filippo","Rauzzini, Filippo",p,BV000000758,Studi e testi di storia e critica dell'arte
BV000026609,ger,"Pfeiffer, Rudolf",Die klassische Philologie von Petrarca bis Mommsen,,Rudolf Pfeiffer,München,Verlag C.H.Beck,1982,,"Deutschland|Klassische Philologie|Petrarca, Francesco",g|s|p,,A history of classical scholarship from 1300-1850
BV000026897,ger,"Wimmer, Otto",Lexikon der Namen und Heiligen,,Otto Wimmer ; Hartmann Melzer,Innsbruck [u.a.],Tyrolia-Verl.,1982,"Melzer, Hartmann",Personenname,s,,
BV000027669,ita,,La croce del Pollaiolo,,"[testo di Marco Collareta, schede di Donata Levi]",Firenze,Museo Nazionale del Bargello,1982,"Collareta, Marco|Levi, Donata","Del Pollaiuolo, Antonio|Kreuz|Museo Nazionale del Bargello",p|s|b,BV037477689,Lo specchio del Bargello
BV000028059,ger,,Echternacher Sakramentar und Antiphonar,,,Graz,Akad. Druck- und Verl.-Anst.,1982,"Staub, Kurt Hans",,,BV002673900,Codices selecti
BV000028061,ger,,Echternacher Sakramentar und Antiphonar,,Kurt Hans Staub,Graz,Akad. Druck- und Verl.-Anst.,1982,"Staub, Kurt Hans",,,BV002673900,Codices selecti
BV000028770,ger,"Rohr, René R. J.",Die Sonnenuhr,,René R. J. Rohr,München,Callwey,1982,,Sonnenuhr,s,,Les cadrans solaires
BV000028857,ger,"Lankheit, Klaus",Die Modellsammlung der Porzellanmanufaktur Doccia,,Klaus Lankheit,München,Bruckmann,1982,,Museo Richard Ginori della Manifattura di Doccia|Porzellanplastik|Italien,b|s|g,BV035416991,Italienische Forschungen
BV000029509,lat,,Codex diplomaticus Amiatinus,,im Auftrag des Deutschen Historischen Instituts in Rom bearb. von Wilhelm Kurze,Tübingen,Niemeyer,1974,"Kurze, Wilhelm",,,,
BV000029510,lat,,Codex diplomaticus Amiatinus,,im Auftrag des Deutschen Historischen Instituts in Rom bearb. von Wilhelm Kurze,Tübingen,Niemeyer,1982,"Kurze, Wilhelm",,,,
BV000029648,fre,"Moretti, Italo",Toscane romane,,Italo Moretti ; Renato Stopani. Traduit de l'italien par Norbert Vaillant. Photographies de Zodiaque. Les cartes et les plans et coupes ont été dessinés par Noël Deney ...,[Paris],Zodiaque,[1982],"Stopani, Renato|Vaillant, Norbert|Deney, Noël",Toskana|Kirchenbau,g|s,BV000000883,La nuit des temps
BV000029991,ger,,Glossarium artis,,Comité International d'Histoire de l'Art. Red.: Rudolf E. Huber,München [u.a.],Saur,1985,"Lodge, Ken|Huber, Rudolf",Treppe,s,,
BV000030019,ger,,Katalog der Handbibliothek der Handschriftenabteilung,,Bayerische Staatsbibliothek,Wiesbaden,Reichert,1981,,,,,
BV000030020,ger,,Katalog der Handbibliothek der Handschriftenabteilung,,Bayerische Staatsbibliothek,Wiesbaden,Reichert,1981,,,,,
BV000030258,eng,"Cheney, Christopher R.","The papacy and England, 12th - 14th centuries",,C. R. Cheney,London,Variorum Reprints,1982,,England|Papst,g|s,,
BV000030678,ger,,Goethe als Zeichner,,Wolfgang Hecht. Hrsg. im Auftr. der Nationalen Forschungs- und Gedenkstätten der Klassischen Deutschen Literatur in Weimar,München,Beck,1982,"Goethe, Johann Wolfgang von|Hecht, Wolfgang","Goethe, Johann Wolfgang von|Zeichnung",p|s,,
