id,lang,authors,title,subtitle,statement,place,publisher,year,editors,subjects,subject_types,parentId,parentTitle
BV045677108,ita,"Brunelli, Luciana",Ebrei internati,,Luciana Brunelli,Firenze,Giuntina,[2019],,Provinz Perugia|Judenvernichtung,g|s,,
BV045677124,eng,,Paths into script formation in the ancient Mediterranean,,edited by Silvia Ferrara and Miguel Valério,Roma,Edizioni Quasar,[2018],"Ferrara, Silvia|Valério, Miguel",Mittelmeerraum|Schrift,g|s,BV002553627,Studi micenei ed egeo-anatolici. Nuova serie
BV045677136,eng,,Proceedings of the Institution of Mechanical Engineers,,,London,Sage Publications,[2016]-,,,,,
BV045677137,eng,,Exceptional education quarterly,,,"[Austin, Tex.]",PRO-ED Inc.,[1980-1983],,,,,
BV045677142,eng,,Software-intensive cyber-physical systems,,,[Berlin ; Heidelberg],Springer Berlin Heidelberg,[2019-2021],,,,,
BV045677144,eng,,Annual review of developmental psychology,,,"Palo Alto, CA",Annual Reviews,2019-,,,,,
BV045677155,ger,,Urologie in der Praxis,,,[Wien],Springer Vienna,[2019]-,,,,,
BV045677161,eng,,Human rights in law enforcement,,,Bucharest,Universul Juridic,2012-,,,,,
BV045677315,eng,,A post-neoliberal era in Latin America?,,"edited by Daniel Nehring, Magdalena López and Gerardo Gómez Michel","Bristol ; Chicago, IL",Bristol University Press,2019,"Nehring, Daniel|López, Magdalena|Gómez Michel, Gerardo",Lateinamerika|Neoliberalismus,g|s,,
BV045677316,ger,,Österreichische Historiker 1900-1945,,Karel Hruza (Hg.),Wien ; Köln ; Weimar,Böhlau Verlag,[2019],"Hruza, Karel",,,,
BV045677385,ita,,Riviera di Levante tra Emilia e Toscana,,a cura di Josepha Costa Restagno,Bordighera,Istituto internazionale di studi liguri,2001,"Costa Restagno, Josepha",Riviera di Levante|Johanniter|Geschichte,g|b|s,,
BV045677659,ger,"Schwab, Maren Elisabeth",Antike begreifen,,Maren Elisabeth Schwab,Stuttgart,Anton Hiersemann Verlag,2019,,Antike|Rom,s|g,BV000007594,Rom greifen und begreifen
BV045677941,eng,,The first Latin treatise on Ptolemy's Astronomy,,Henry Zepeda,"Turnhout, Belgium",Brepols,[2018],"Zepeda, Henry|Ptolemaeus, Claudius","Ptolemaeus, Claudius|Übersetzung",u|s,BV045677922,Ptolemaeus Arabus et Latinus. Texts
BV045678147,eng,,Saints of ninth- and tenth-century Greece,,edited and translated by Anthony Kaldellis and Ioannis Polemis,"Cambridge, Massachusetts",Harvard University Press,2019,"Kaldellēs, Antōnios Emm.|Polemēs, Iōannēs D.",Griechenland|Heiliger,g|s,BV036855935,Dumbarton Oaks medieval library
BV045678462,ita,,San Marco,,a cura di Ettore Vio,Venezia,Marsilio,marzo 2019,"Vio, Ettore",,,,
BV045678466,ita,,San Marco,,a cura di Ettore Vio,Venezia,Marsilio,marzo 2019,"Vio, Ettore",,,,
BV045678467,ita,,San Marco,,a cura di Ettore Vio,Venezia,Marsilio,marzo 2019,"Vio, Ettore",,,,
BV045678470,ger,,Der Leib und seine Zeit,,"Reinhold Esterbauer, Andrea Paletta, Julia Meer (Hg.)",Freiburg ; München,Verlag Karl Alber,[2019],"Esterbauer, Reinhold|Paletta, Andrea|Meer, Julia",Körper,s,,
BV045678612,eng,,Leonardo in dialogue,,"edited by Francesca Borgo, Rodolfo Maffeis, Alessandro Nova",Venice,Marsilio,March 2019,"Borgo, Francesca|Maffeis, Rodolfo|Nova, Alessandro",Leonardo (da Vinci)|Zeitgenossen,p|s,BV023399438,Studi e ricerche
BV045678692,ita,,Michelangelo,,"a cura di Alessandro Nova, Vitale Zanchettin",Venezia,Marsilio,marzo 2019,"Nova, Alessandro|Zanchettin, Vitale",Michelangelo (Buonarroti),p,BV037479480,"Collana del Kunsthistorisches Institut in Florenz, Max-Planck-Institut"
BV045678807,ita,"Tazartes, Maurizia",Sorolla,,Maurizia Tazartes,Firenze,Giunti,[2019],"Sorolla y Bastida, Joaquín","Sorolla y Bastida, Joaquín",p,BV037480178,Art e dossier. Dossier
BV045678863,ger,,Gedenkschrift für Dr. Theo Jülich,,Herausgeber: Hessisches Landesmuseum Darmstadt. Redaktion: Thomas Foerster,Darmstadt,Hessisches Landesmuseum,[2019],"Foerster, Thomas|Jülich, Theo","Jülich, Theo",p,BV002665726,Kunst in Hessen und am Mittelrhein
BV045678938,ita,"Piazza, Filippo",Disegni di Tommaso Sandrini quadraturista bresciano del primo Seicento,,Filippo Piazza,,,2019,,"Sandrino, Tommaso|Broletto Brescia|Deckenmalerei",p|g|s,,
BV045678944,ita,"Guernelli, Daniele",Un nuovo foglio del Primo Maestro dei Corali del Duomo di Siena,,Daniele Guernelli,,,2019,,Primo maestro dei corali del duomo di Siena,p,,
BV045678947,ita,"Falciani, Carlo",Il Cristo portacroce di Giorgio Vasari per Bindo Altoviti e una proposta per Cecchino Salviati,,Carlo Falciani,,,2019,,"Altoviti, Bindo|Auftraggeber|Del Piombo, Sebastiano",p|s|u,,
BV045678954,eng,"Marignoli, Duccio K.",The bozzetto for Liguria Triumphans by Baciccio identified,,"Duccio K. Marignoli, Michele Drascek",,,2019,"Drascek, Michele","Gaulli, Giovanni Battista|Bozzetto|Ligurien",p|s|g,,
BV045678958,ita,"Benassai, Silvia",Un ritrovato bozzetto di Matteo Bonechi riconosciuto da Hermann Voss,,Silvia Benassai,,,2019,,"Bonechi, Matteo|Palazzo Taddei|Deckenmalerei",p|g|s,,
BV045678960,ita,"Agresti, Alessandro",Due documenti sugli esordi di Domenico Corvi e qualche aggiunta al suo catalogo,,Alessandro Agresti,,,2019,,"Corvi, Domenico|Kloster Vedana|Bildzyklus",p|b|s,,
BV045678982,eng,"Eisenberg, Elizabeth A.",A Verrocchio sculpture as a source for Leonardo and Raphael,,Elizabeth A. Eisenberg,,,2019,,"Del Verrocchio, Andrea|Palazzo Chigi-Saracini|Büste|Leonardo (da Vinci)|Palais des beaux-arts Lille",p|g|s|u|b,,
BV045678985,eng,"Vowles, Sarah",New light on Mantegna's Triumphs of Caesar,,Sarah Vowles,,,2019,,"Mantegna, Andrea|Zeichnung",u|s,,
BV045678994,eng,"Bolzoni, Marco Simone",Allegory of the River Arno by Francesco Salviati in the Morgan Library & Museum,,Marco Simone Bolzoni,,,2019,,"Salviati, Francesco|The Morgan Library & Museum|Arno|Allegorie",p|b|g|s,,
BV045678996,eng,"Nonner, Lukas",Cornelis Cort as a landscape draftsman,,Lukas Nonner,,,2019,,"Cort, Cornelis|Landschaftszeichnung",p|s,,
BV045678998,eng,"Razzall, Rosie",What lies beneath,,Rosie Razzall,,,2019,,"Canal, Antonio|Zeichnung",p|s,,
BV045679130,eng,"Lanzoni, Susan",Empathy,,Susan Lanzoni,New Haven ; London,Yale University Press,[2018],,Einfühlung,s,,
BV045679283,eng,,Making and rethinking the Renaissance,,edited by Giancarlo Abbamonte and Stephen Harrison,Berlin ; Boston,De Gruyter,[2019],"Abbamonte, Giancarlo|Harrison, Stephen",Westeuropa|Gräzistik,g|s,BV023233434,Trends in classics. Supplementary volumes
BV045679329,ger,"Gayford, Martin",Michelangelo,,"Martin Gayford ; aus dem Englischen von Klaus Binder, Bernd Leineweber und Britta Schröder",Bern ; Wien,Piet Meyer Verlag,[2019],"Binder, Klaus|Leineweber, Bernd|Schröder, Britta",Michelangelo (Buonarroti),p,BV039633059,Michelangelo - his epic life
BV045679341,ger,"Duchhardt, Heinz",Friedens-Miniaturen,,Heinz Duchhardt,Münster,Aschendorff Verlag,[2019],,Friede|Europa,s|g,,
BV045679421,ita,"Catalano, Maria Ida",Nel marmo il mare,,Maria Ida Catalano,Napoli,Arte'm,[2018],,"Fontana del Nettuno Neapel|Naccherino, Michelangelo",g|p,BV045679419,Quaderni di Napoli nobilissima
BV045679469,ger,,Max-Beckmann-Preis der Stadt Frankfurt am Main,,"hrsg. vom Dezernat Kultur und Wissenschaft der Stadt Frankfurt am Main, Kulturamt Frankfurt am Main, Geschäftsstelle des Max-Beckmann-Preises","Frankfurt, M.",Kulturamt Frankfurt am Main,[2007?]-,,,,,
BV045679511,spa,"Schwendinger, Helga",El Archiduque Luis Salvador de Austria,,"Helga Schwendinger ; prólogo del Dr. Miguel Salvador, Archiduque de Austria",Palma de Mallorca,Edicion La Foradara,Diciembre 2011,"Salvador, Miguel","Ludwig Salvator (Österreich, Erzherzog)",p,,
BV045679626,ita,,Santa Maria del Popolo a Carpineto Romano,,a cura di Eliana Billi e Sara Parca,Roma,Artemide,[2019],"Billi, Eliana|Parca, Sara",Santa Maria del Popolo,g,,
BV045679655,ger,,Italienische Zeichnungen des 16. Jahrhunderts im Dresdner Kupferstich-Kabinett,,"Herausgeber: Staatliche Kunstsammlungen Dresden, Kupferstich-Kabinett. Text: Gudula Metze, Marion Heisterberg",Dresden,Staatliche Kunstsammlungen Dresden,[2018],"Metze, Gudula|Heisterberg, Marion",Kupferstich-Kabinett|Italien|Zeichnung,b|g|s,,
BV045679656,spa,,Astarté,,,Cordoba,UCOPress,2018-,,,,,
BV045679658,ita,"Raffone, Sandro",Appunti di viaggio a Napoli,,Sandro Raffone ; con una nota di Maurizio de Giovanni,Napoli,Clean edizioni,[2018],"De Giovanni, Maurizio",Neapel|Fotografie,g|s,,
BV045679813,cze,,Mediaevalia historica Bohemica,,Historický Ústav AV ČR,Praha,,[2012?]-,,,,,
BV045679866,eng,"Gardner, Elizabeth E.",A bibliographical repertory of Italian private collections,,Elizabeth E. Gardner,Vicenza,Neri Pozza editore,[2019],"Ceschi, Chiara|Baetjer, Katharine",,,,
BV045679906,eng,,Bridging the gaps,,"edited by Martin Ruhs, Kristof Tamas and Joakim Palme","Oxford, United Kingdom",Oxford University Press,2019,"Ruhs, Martin|Tamas, Kristof|Palme, Joakim",Europa|Migration,g|s,,
BV045679947,ita,"Corrain, Lucia",La pittura di mercato,,Lucia Corrain ; postfazione di Gianfranco Marrone,Milano ; Udine,Mimesis,[2019],"Marrone, Gianfranco","Campi, Vincenzo|Campi, Vincenzo",p|u,BV040489276,Mimesis Insegne
BV045679961,ita,"Lombardo, Sergio",L'avanguardia difficile,,Sergio Lombardo,Roma,Lithos,[2004],,"Kunst|Lombardo, Sergio",s|p,BV019421479,ArtisticaMente
BV045679971,eng,"Catala, Sarah","Jallier de Savault, 1762",,Sarah Catala and Yvon Plouzennec,,,2019,"Plouzennec, Yvon","Jallier de Savault, Claude Jean Baptiste|Zeichnung",p|s,,
BV045679975,eng,"Guzzetti, Francesco",Writing with the left hand is drawing,,Francesco Guzzetti,,,2019,,"Boetti, Alighiero|Zeichnung",p|s,,
BV045679993,ita,"Massaccesi, Fabio",Per Ravenna trecentesca,,Fabio Massaccesi,,,2019,,Santa Maria in Porto Fuori|Architektur|Pietro (da Rimini),g|s|p,,
BV045679999,ita,,Le nature morte di Geo Poletti,,,Milano,Skira,[2019],,"Italien|Stillleben|Poletti, Ruggero",g|s|p,,
BV045680020,ger,"Garbe, Otfried",Die fünfteilige Schöpfungsgeschichte Michelangelos und Platons Timaios,,Otfried Garbe,,,2019,,Piermatteo (Lauro de' Manfredi)|Michelangelo (Buonarroti)|Schöpfung,p|u|s,,
BV045680048,eng,"Knowles, Marika","Tricky, fine, and trapped",,Marika Takanishi Knowles,,,2019,,"Frankreich|Malerei|Vignon, Claude|Le Moyne, Pierre",g|s|p|u,,
BV045680060,ger,"Heffermehl, Fabian",Kuss eines Zyklopen,,Fabian Heffermehl,,,2019,,"Florenskij, Pavel Aleksandrovič|Wahrnehmung",p|s,,
BV045680125,eng,"Holly, Michael Ann","[Rezension von: Perfection's therapy : an essay on Albrecht Dürer's Melencolia I / Mitchell B. Merback, 2017]",,reviewed by Michael Ann Holly,,,2019,,,,,
BV045680128,eng,"Diefenbacher, Jörg","The new Hollstein German engravings, etchings and woodcuts, 1400-1700",,edited by Ger Luijten ...,Ouderkerk aan den IJssel,Sound & Vision Publishers,2019,"Jacoby, Joachim W.|Leuschner, Eckhard|Luijten, Ger|Hollstein, Friedrich","Kraus, Johann Ulrich",p,,
BV045680138,ger,"Hochkirchen, Britta","[Rezension von: Bildbetrachtung in Bewegung : der Rezipient in Texten und Bildern zur Pariser Salonausstellung des 18. Jahrhunderts / Anja Weisenseel, 2017]",,Rezensiert von Britta Hochkirchen,,,2019,,,,,
BV045680213,eng,"Bergen, Bob",Scattering chaff,,Bob Bergen,"Calgary, Alberta",University of Calgary Press,[2019],,Kanada Royal Canadian Air Force|Kosovo-Krieg,b|s,BV021611273,Beyond boundaries: Canadian defence and strategic studies series
BV045680331,ita,,Dalla tarda Maniera al Rococò in Sicilia,,a cura di Elena Ascenti e Gioacchino Barbera,Messina,Magika,2019,"Ascenti, Elena|Barbera, Gioacchino|Natoli, Elvira","Sizilien|Kunst|Natoli, Elvira",g|s|p,,
BV045680347,ita,"Migliori, Nino",Nino Migliori - Forme del vero,,Corrado Benigni,"Cinisello Balsamo, Milano",Silvana editoriale,[2019],"Benigni, Corrado","Migliori, Nino",p,,
BV045680397,ita,"Colomba, Mario",Le pratiche dell'arte del costruire nel territorio di Nardò e dintorni,,Mario Colomba,Nardò (Le),Tipografia Carrino,[2017],,Nardò|Architektur,g|s,,
BV045680415,ita,"Grignani, Franco",Franco Grignani,,"a cura di/edited by Mario Piazza, Nicoletta Ossanna Cavadini",Milan,Skira,[2019],"Piazza, Mario|Ossanna Cavadini, Nicoletta","Grignani, Franco",p,BV041704373,"Franco Grignani (Ausstellungskatalog, 2019)"
BV045680424,ita,"Amendola, Adriano",Gli Orsini e le arti in età moderna,,Adriano Amendola,Milano,Skira,[2019],,Orsini (Familie)|Rom|Auftraggeber,p|g|s,BV013789879,Biblioteca d'arte Skira
BV045680456,ita,,Il gioco cavalleresco nella Bologna del Seicento,,"a cura di Mario Scalini, Elena Rossoni",[Rimini],NFC edizioni,[2019],"Scalini, Mario|Rossoni, Elena",Bologna|Turnier,g|s,BV044603744,Relazioni
BV045680503,ita,,L'Auditorium di Milano,,a cura di Pasquale Guadagnolo,"Cinisello Balsamo, Milano",Silvana editoriale,[2019],"Guadagnolo, Pasquale","Rimini, Alessandro|Mailand|Kino",p|g|s,,
BV045680513,ita,"Zaupa, Giovanni",La catena palladiana,,Giovanni Zaupa,Trento,Edizioni del faro,febbraio 2019,,"Palladio, Andrea|Architekturtheorie",p|s,,
BV045680539,ita,"Verde, Simone",Le belle arti e i selvaggi,,Simone Verde ; prefazione di Tomaso Montanari ; postfazione di Fabio Dei,Venezia,Marsilio,2019,"Montanari, Tomaso|Dei, Fabio","Kulturgut|Pigorini, Luigi|Italien",s|p|g,,
BV045680581,ita,,Roma in Appennino,,"Nicola Cassone, Chiara Dazzi, Filippo Fontana, Francesco Garbasi",Correggio (RE),Aliberti compagnia editoriale,[2019],"Cassone, Nicola|Dazzi, Chiara|Fontana, Filippo|Garbasi, Francesco",Parma|Römerstraße,g|s,,
BV045680585,ita,,La piazza delle Vettovaglie,,"Daniela Stiaffini, Monica Baldassarri, Roberto Pasqualetti",Pisa,Edizioni ETS,[2018],"Stiaffini, Daniela|Baldassarri, Monica|Pasqualetti, Roberto",Piazza delle Vettovaglie,g,BV020048046,Mirabilia pisana
BV045680587,ita,"Gaballo, Marcello",Nobili committenze,,Marcello Gaballo ; con un contributo di Donato Giancarlo De Pascalis ; documentazione fotografica: Lino Rosponi,[Nardò],Edizioni Fondazione Terra d'Otranto,[2019?],"De Pascalis, Donato Giancarlo|Rosponi, Lino",Santa Maria della Rosa,g,,
BV045680592,ita,,Possenti 1953,,Anita Paolicchi e Biancalucia Maglione,Pisa,Edizioni ETS,[2019],"Paolicchi, Anita|Maglione, Biancalucia|Possenti, Antonio","Possenti, Antonio",p,BV045886910,Studi al museo
BV045680667,ita,"Portoghesi, Paolo",Borromini,,Paolo Portoghesi,Milano,Skira,[2019],"Borromini, Francesco","Borromini, Francesco|Rom|Architektur",p|g|s,,"Borromini (Neuausgabe, 2019)"
BV045680673,ita,"Aldi, Pietro",Pietro Aldi e la Sala del Risorgimento a Siena,,"catalogo a cura di Marco Firmati, Francesca Petrucci ; testi Massimo Cardosa, Marco Firmati [und 6 weitere]",Arcidosso (GR),Effigi,[2019],"Firmati, Marco|Petrucci, Francesca|Cardosa, Massimo","Aldi, Pietro|Palazzo Pubblico",p|g,,
BV045680681,ita,"Reali, Roberta",Palazzo Camerini di Rovigo,,Roberta Reali,Adria,Apogeo editore,[marzo 2019],,Palazzo Camerini|Camerini (Familie)|Auftraggeber,g|p|s,BV045874664,I tigli
BV045680693,ita,"Manzella, M. Eugenia",La sinagoga perduta di Palermo,,M. Eugenia Manzella ; prefazione di Vladimir Zorić,Palermo,Edizioni Kalós,[2019],"Zorić, Vladimir",Palermo|Synagoge,g|s,,
BV045680700,ita,"Palmero Iglesias, Luis Manuel",Architetti moderni,,Luis Manuel Palmero Iglesias,Canterano (RM),Aracne editrice,aprile 2019,,Italien|Architekt,g|s,BV041361014,Esempi di architettura
BV045680711,ita,,Ravenna darsena di città,,"testi di Pietro Barberini, Cetty Muscolino, Francesca Proni, Carlo Raggi ; fotografie di Enzo Pezzi",Ravenna,Edizioni moderna,[2019],"Barberini, Pietro|Muscolino, Cetty|Proni, Francesca|Raggi, Carlo|Pezzi, Enzo",Ravenna|Wasserwirtschaft,g|s,,
BV045680719,ita,"Pierini, Massimiliano",Gli edifici sacri di Monte Labbro,,"Massimiliano Pierini, Stefania Ulivieri",Arcidosso (GR),Effigi,2018,"Ulivieri, Stefania",Arcidosso|Sakralbau,g|s,BV039730682,Quaderni del Centro studi David Lazzaretti
BV045680722,ita,"Miglietta, Fernando",Diariotre con Giulio Carlo Argan,,"Fernando Miglietta ; introduzione di Paolo Portoghesi ; presentazione di Claudio Gamba ; contributi di Enrico Crispolti, Claudio Gamba ; postfazione di Franco Purini ; Abitacolo",Soveria Mannelli,Rubbettino,[2019],"Portoghesi, Paolo|Gamba, Claudio|Crispolti, Enrico|Purini, Franco","Argan, Giulio Carlo",p,BV045898841,"I quaderni di Abitacolo, centro studi documentazione e ricerca"
BV045680741,ita,,Giorgio de Chirico - ritorno al futuro,,"a cura di Lorenzo Canova, Riccardo Passoni",Roma,Gangemi editore,[2019],"Canova, Lorenzo|Passoni, Riccardo|De Chirico, Giorgio","De Chirico, Giorgio",p,,
BV045680757,ger,,Raffael als Zeichner,,"Le Gallerie degli Uffizi, Albertina ; herausgegeben von/a cura di Marzia Faietti, Achim Gnann ; Beiträge/saggi Angelamaria Aceto [und 20 weitere]",Firenze ; Milano,Giunti,maggio 2019,"Faietti, Marzia|Gnann, Achim|Aceto, Angelamaria",Raffael|Zeichnung,p|s,,
BV045680767,ita,,Domus Grimani 1594-2019,,a cura di Daniele Ferrara e Toto Bergamo Rossi,Venezia,Marsilio,maggio 2019,"Ferrara, Daniele|Bergamo Rossi, Toto",Palazzo Grimani|Sammlung,g|s,,
BV045680774,ita,,Plasmato dal fuoco,,"a cura di Eike D. Schmidt, Sandro Bellesi, Riccardo Gennaioli",[Firenze],Firenze musei,[2019],"Schmidt, Eike|Bellesi, Sandro|Gennaioli, Riccardo",Florenz|Bronzeplastik|Giambologna|Porzellanmanufaktur Doccia,g|s|p|b,,
BV045680786,ita,,La prima statua per Boboli,,a cura di Alessandra Griffo ; autori dei testi Daniele Angelotti [und 9 weitere],[Firenze],Firenze musei,[2019],"Griffo, Alessandra|Angelotti, Daniele","Fancelli, Giovanni|Boboligarten|Plastik",p|g|s,,
BV045680795,ita,,Il restauro del pavimento della basilica di Santa Maria della Salute,,"Basilica S. Maria della Salute, Venezia ; a cura di Elisa Pannunzio e Marco Boscolo Meo",Saonara (Pd),Il Prato,[2019],"Pannunzio, Elisa|Boscolo Meo, Marco",Santa Maria della Salute|Fußbodenmosaik,g|s,,
BV045680805,ita,,Caravaggio a Napoli,,"contributi di Vincenzo Pacelli, Ferdinando Bologna, Gianni Papi, Bruno Arciprete, Carlo Giantomassi, Donatella Zari",Roma,editori paparo,[2019],"Pacelli, Vincenzo|Bologna, Ferdinando|Papi, Gianni|Arciprete, Bruno|Giantomassi, Carlo|Zari, Donatella|Caravaggio, Michelangelo Merisi da","Caravaggio, Michelangelo Merisi da|Neapel|Rezeption",p|g|s,,
