id,lang,authors,title,subtitle,statement,place,publisher,year,editors,subjects,subject_types,parentId,parentTitle
BV025374597,eng,"Schendel, Arthur van",Camera studies of Dutch master-paintings,,A. van Schendel,Amsterdam,Meulenhoff,1949,,,,,
BV025374631,ger,,Anton van Dyck,,eingel. und ausgew. von Hugo Kehrer,München,Schmidt,1921,"Kehrer, Hugo","Dyck, Anton van",p,,
BV025375095,fre,"Puyvelde, Leo van",Rubens,,par Leo van Puyvelde,Paris [u.a.],Elsevier,1952,"Rubens, Peter Paul","Rubens, Peter Paul",p,,
BV025375189,eng,"Baudouin, Frans","Nicolaas Rockox, friend and patron of Peter Paul Rubens",,by Frans Baudouin,Antwerp,Kredietbank,1977,"Rockox,","Rockox, Nicolaas",p,,
BV025376716,ita,"Celli, Angelo",Storia della malaria nell'agro romano,,Angelo Celli,Città di Castello,Leonardo da Vinci,1925,,,,,
BV025376892,rus,,Ierotopija,,[Centr Vostočnochristianskoj Kulʹtury]. Red.-sost.: A. M. Lidov,Moskva,Radunica,2004,"Lidov, Aleksej",Byzantinisches Reich|Sakralbau,g|s,,
BV025376937,ger,,Kaiser Friedrich III. und sein Museum,,SMPK. [Katalog: Peter Bloch ...],Berlin,,1988,"Bloch, Peter",Kaiser-Friedrich-Museums-Verein,b,,
BV025377276,ger,,Schwerpunkt: Umbrien und die Marken,,hrsg. von Helene Harth und Titus Heydenreich,Hamburg,Rotbuch-Verl.,1996,"Harth, Helene|Heydenreich, Titus",Umbrien,g,BV002589096,Zibaldone
BV025378681,fre,,Acquisitions récentes de toutes epoques,,,Paris,Institut Néerlandais,1974,,,,,
BV025379136,ger,,Die sieben Planeten,,von Friedrich Lippmann,Berlin,Internationale Chalkographische Gesellschaft,1895,"Lippmann, Friedrich",Planet,s,BV019800553,Internationale Chalkographische Gesellschaft
BV025383124,eng,"Wendorf, Richard",After Sir Joshua,,Richard Wendorf,"New Haven, Conn. [u.a.]",Yale Univ. Press,2005,,"Großbritannien|Kunst|Stubbs, George",g|s|p,BV037480013,Studies in British art
BV025383429,fre,"Fouquier, Marcel",Des divers styles de jardins,,par M. Fouquier et A. Duchêne,Paris,Paul,1914,"Duchêne, Achille",Gartenkunst,s,,
BV025384783,ger,"Wiedersheim, Robert",Zur Geschichte der Anatomie,,Robert Wiedersheim,Freiburg i. B.,Lehmann,1894,,,,,
BV025385293,rus,"Zubov, Vasilij Pavlovič",Leonardo da Vinči,,Vasilij Pavlovič Zubov,Moskva [u.a.],Izdat. Akad. Nauk SSSR,1961,,Leonardo (da Vinci),p,,
BV025387797,ita,"Isler, Hans Peter",Monte Iato,,Hans Peter Isler,Palermo,Sellerio ed.,2000,,Ietai|Archäologie,g|s,BV014567195,Nuovo Museo
BV025387823,ger,"Rößler, Hektor",Ausführlicher bericht über die von dem Gewerbverein für das grossherzogthum Hessen im Jahre 1842 veranstaltete Allgemeine deutsche industrie-ausstellung zu Mainz,,"Im Auftrag des Großherzoglich Hessischen Gewerbevereins verfaßt von Hektor Roessler, Sekretär des Gr. Gewerbevereins",Darmstadt,"Gedruckt bei C. W. Leske, in commission bei Gustav Jonghaus",1843,,,,,
BV025388765,fre,,Mélanges offerts à M. Henry Lemonnier,,Préf. de Ernest Lavisse,Paris,Champion,1913,"Lavisse, Ernest|Lemonnier, Henry",,,,
