id,lang,authors,title,subtitle,statement,place,publisher,year,editors,subjects,subject_types,parentId,parentTitle
BV036110038,ita,,Restauri e nuove accessioni [nella regione Trentino-Alto Adige],,a cura di Nicolò Rasmo,Trento,Presel,1964,"Rasmo, Nicolò",Südtirol|Baudenkmal,g|s,,
BV036110573,eng,,TESOL journal,,,"Malden, Mass. ; Chichester",Wiley,1999-,,,,,
BV036110722,ger,"Luchs, Christoph",InDesign CS5,,Christoph Luchs,München,Addison Wesley,2011,,Adobe InDesign CS5,s,,
BV036111016,spa,"Blázquez, José María",Cristianismo y mitos clásicos en el arte moderno,,José María Blázquez,Madrid,Cátedra,2009,,Malerei|Gemäldegalerie Alte Meister Kassel|Leda (Fiktive Gestalt),s|b|p,,
BV036111171,eng,,"Cyberpsychology, behavior and social networking",,,"New Rochelle, NY",Liebert,2010-,,,,,
BV036111183,eng,,Cultural anthropology methods,,,"Gainesville, Fla.",Editorial Consulting Services,1989-1998,,,,,
BV036111203,eng,,Journal of E-Governance,,,Amsterdam,IOS Press,2010-2013,,,,,
BV036111212,eng,,OECD tourism trends and policies ...,,,Paris,OECD,2010-,,,,,
BV036111697,ita,,Dal Piacere alla Dolce vita,,Gianni Borgna ; Antonio Debenedetti,Milano,Mondadori,2010,"Borgna, Gianni|Debenedetti, Antonio",Rom|Gesellschaftsleben,g|s,,
BV036111723,ita,"Angeletti, Vittorio",L' archivio dell'Accademia di Belle Arti Pietro Vannucci di Perugia,,a cura di Vittorio Angeletti. Coordinamento scientifico: Francesca Ciacci,Perugia,Soprintendenza Archivistica per l'Umbria,2009,"Ciacci, Francesca",Accademia di Belle Arti Pietro Vannucci Archivio,b,BV010477139,Scaffali senza polveri
BV036111744,eng,"Mazzoni, Cristina",She-wolf,,Cristina Mazzoni,Cambridge [u.a.],Cambridge Univ. Press,2010,,Römische Wölfin,s,,
BV036111886,eng,,Oceans' odyssey,,ed. by Greg Stemm & Sean Kingsley,Oxford,Oxbow Books,2010,"Stemm, Greg",Ärmelkanal|Wrack,g|s,BV036430239,Odyssey marine exploration reports
BV036111947,ger,"Greve, Gisela",Leben in Bildern,,Gisela Greve,Göttingen,Vandenhoeck & Ruprecht,2010,,Kunstbetrachtung,s,BV021668714,Schriften des Sigmund-Freud-Instituts
BV036111965,fre,"Verdon, Jean",Information et désinformation au Moyen Âge,,Jean Verdon,[Paris],Perrin,2010,,Europa|Kommunikation,g|s,,
BV036112065,eng,"Gibson, Walter S.",Figures of speech,,Walter S. Gibson,Berkeley [u.a.],Univ. of California Press,2010,,Niederlande|Renaissance,g|s,,
BV036112144,ger,"Mai, Ekkehard",Die deutschen Kunstakademien im 19. Jahrhundert,,Ekkehard Mai,Köln [u.a.],Böhlau,2010,,Deutschland|Kunstakademie,g|s,,
BV036112168,ger,"Schneider, Norbert",Historienmalerei,,Norbert Schneider,Köln [u.a.],Böhlau,2010,,Historienmalerei,s,,
BV036112178,ger,"Wohlmayr, Wolfgang",Die römische Kunst,,Wolfgang Wohlmayr,Darmstadt,"WBG, Wiss. Buchges. [u.a.]",2011,,Römisches Reich|Kunst,g|s,,
BV036112197,fre,"Wibiral, Franz",L'iconographie d'Antoine van Dyck d'après les recherches de H. Weber,,par Fr. Wibiral,Leipzig,Danz,1877,,"Dyck, Anton van|Ikonographie",p|s,,
BV036112345,eng,,The Quarterly of the Texas State Historical Association,,,"Austin, Tex.",,1897-1912,,,,,
BV036112488,eng,,Political insight,,Political Studies Association,London,Sage Publications,2010-,,,,,
BV036112549,ger,,Tizian - Die Dame in Weiß,,hrsg. von Andreas Henning und Günter Ohlhoff,Dresden,Sandstein,2010,"Henning, Andreas|Ohlhoff, Günter|Vecellio, Tiziano","Vecellio, Tiziano|Gemälderestaurierung",u|s,BV019728941,Das restaurierte Meisterwerk
BV036112566,ger,,Akteure der Außenbeziehungen,,"Hillard von Thiessen, Christian Windler (Hg.)",Köln [u.a.],Böhlau,2010,"Thiessen, Hillard von|Windler, Christian",Europa|Diplomatie,g|s,BV036094924,Externa
BV036112643,ger,"Kania, Katrin",Kleidung im Mittelalter,,Katrin Kania,Köln ; Weimar ; Wien,Böhlau,2010,,Kleidung,s,,
