id,lang,authors,title,subtitle,statement,place,publisher,year,editors,subjects,subject_types,parentId,parentTitle
BV041022500,ger,"Albl, Stefan",Das Fresko der Libertà Lucchese von Pietro Testa,,Stefan Albl,,,2012,,"Testa, Pietro|Wandmalerei|Lucca",p|s|g,,
BV041022562,ita,"Tassinari, Magda",Et essendo la nostra arte sorella della pittura,,Magda Tassinari,,,2012,,Rom|Stickerei|Accademia nazionale di San Luca,g|s|b,,
BV041022567,ger,"Sieveking, Hinrich",Adaption und Innovation,,Hinrich Sieveking,Wien,Verlag de Österreich ; Akademie der Wissenschaften,2012,,"Horny, Franz|Malerei|Rom",p|s|g,,
BV041022582,ger,"Prange, Peter",Kopie als Instrument der Naturaneignung,,Peter Prange,,,2012,,"Reinhold, Heinrich|Malerei|Rom",p|s|g,,
BV041022628,eng,,Sotheby's London,,,London,Sotheby's,[1968],,,,,
BV041022815,ita,"Fabbri, Francesca","Romanzi cortesi e prosa didattica a Genova alla fine del Duecento fra interscambi, coesistenze e nuove prospettive",,Francesca Fabbri,,,2013,,Genua|Buchmalerei,g|s,,
BV041022823,ita,"Castrichini, Marcello",La Crocefissione di San Fortunato a Todi tra Lippo Memmi e Simone Martini,,Marcello Castrichini,,,2013,,"San Fortunato|Wandbild|Martini, Simone",g|s|p,,
BV041022832,ita,"De Marchi, Andrea G.",Una Deposizione nel Sepolcro del Maestro del Dittico del Poldi Pezzoli,,Andrea G. De Marchi,,,2013,,Spoleto|Malerei|Grablegung Christi,g|s|u,,
BV041022842,ita,"Campone, Maria Carolina",Brigida di Svezia,,Maria Carolina Campone,Milano,Jaca Book,2012,,Birgitta (Suecica),p,BV011268258,Donne d'oriente e d'occidente
BV041022843,ita,"Stefani, Marina",Domenico Brusasorzi,,Marina Stefani Mantovanelli,,,2013,,"Brusasorzi, Domenico|Malerei|Verona",p|s|g,,
BV041022857,ita,"Bilancia, Fernando",Alcune opere di Ottavio Mascarino,,Fernando Bilancia,,,2013,,"Mascherino, Ottaviano|Architektur|Rom",p|s|g,,
BV041022867,ita,"Nicolai, Fausto",Le committenze artistiche di Fantino Petrignani tra Roma e Amelia,,Fausto Nicolai,,,2013,,"Palazzo Petrignani|Palast|Orsi, Prospero",g|s|p,,
BV041022875,eng,"Ruiz, Teofilo F.",A king travels,,Teofilo F. Ruiz,"Princeton, NJ [u.a.]",Princeton Univ. Press,2012,,"Philipp II. (Spanien, König)|Reise",p|s,,
BV041022883,spa,"Taín Guzmán, Miguel",El cenotafio del Apóstol de la Catedral de Santiago de Compostela,,Miguel Taín Guzmán,,,2013,,"Kathedrale Santiago de Compostela|Kenotaph|Jakobus (der Ältere, Apostel, Heiliger)",g|s|p,,
BV041022903,ita,"Moro, Franco",Appunti di studio,,Franco Moro,,,2013,,Giampietrino|Malerei|Rom,p|s|g,,
BV041022915,ita,"Leonardi, Andrea",Per Orazio Borgianni (1578 - 1616) a Savona e la Sacra Famiglia con Sant'Anna dell'abbate Gio Carlo Gavotti,,Andrea Leonardi,,,2013,,"Borgianni, Orazio|Malerei|Savona",p|s|g,,
BV041022921,ita,"Curzietti, Jacopo",La Confessio di Santa Francesca Romana in S. Maria Nova al Foro Romano,,Jacopo Curzietti,,,2013,,Franziska (von Rom)|Confessio|Santa Francesca Romana,p|s|g,,
BV041022922,fre,"Krajewski, Pascal",L'art au risque de la technologie,,Pascal Krajewski,Paris,<<L'>>Harmattan,2013,,,,,
BV041022929,fre,"Krajewski, Pascal",L'art au risque de la technologie,,Pascal Krajewski,Paris,<<L'>>Harmattan,2013,,,,,
BV041022936,ita,"Rangoni, Fiorenza",Accomodatio pueri ad artem,,Fiorenza Rangoni Gal,,,2013,,Domenichino|Werkstatt|Bologna,p|s|g,,
BV041022946,ita,"Spinelli, Riccardo","Baldassarre Franceschini, detto il Volterrano, e Carlo Dolci nelle collezioni di Vittoria della Rovere e di Francesco Maria de' Medici",,Riccardo Spinelli,,,2013,,"Franceschini, Baldassare|Malerei|Florenz",p|s|g,,
BV041022952,ita,"Teolato, Chiara",I Righetti a servizio di Canova,,Chiara Teolato,,,2013,,"Righetti, Francesco|Bronzeguss|Rom",p|s|g,,
BV041022977,ita,"Apolloni Ceccarelli, Letizia",Street art a Roma,,Letizia Apolloni,,,2013,,Rom|Streetart,g|s,,
BV041022992,ita,"Bergamini, Giuseppe",Museo Diocesano e Gallerie del Tiepolo,,Giuseppe Bergamini ; Luciana Marioni Bros,Udine,Museo Diocesano,2012,"Marioni Bros, Luciana",Museo Diocesano e Galleria del Tiepolo,b,,
BV041023007,eng,"Toivanen, Juhana",Perception and the internal senses,,by Juhana Toivanen,Leiden [u.a.],Brill,2013,,"Olivi, Petrus Johannis|Wahrnehmung",p|s,BV036880157,Investigating medieval philosophy
BV041023033,eng,,A companion to Walter Burley,,Edited by Alessandro D. Conti ; contributors: Fabrizio Amerini [und 11 weitere],Leiden ; Boston,Brill,2013,"Conti, Alessandro D.|Amerini, Fabrizio","Burlaeus, Gualterus",p,BV021794159,Brill's companions to the Christian tradition
BV041023042,ita,"Diacono, Mario",[Interview mit Mario Diacono und Luca Lo Pinto],,,[Roma],[Privatdruck],2012,"Lo Pinto, Luca|Renkel, Max",,,,
BV041023055,cat,,Catalunya 1400,,catàleg sota la direcció de Rafael Cornudella. Amb la col laboració de Guardaira Macías i Cèsar Favà,Barcelona,Museo Nacional d'Art de Catalunya,2012,"Cornudella, Rafael|Macías, Guadaira|Favà, Cèsar",,,,
BV041023059,eng,,Water resources and industry,,International Water Association (IWA),Amsterdam <<[u.a.]>>,Elsevier,2013-,,,,,
BV041023064,ita,"Arrighi, Niké",Ernesto Arrighi,,"Niké Arrighi, Flavia Borghese",,,2013,"Borghese, Flavia","Arrighi, Ernesto|Zeichnung|Rom",p|s|g,,
BV041023090,ita,"Benocci, Carla",Chigi versus Pamphilj,,Carla Benocci,,,2013,,"Nuzzi, Mario|Stillleben|Kapitol Rom",p|s|g,,
BV041023093,ita,"Berri, Maurizio",Il panorama delle arti a Roma all'apparire di D'Annunzio,,Maurizio Berri,,,2013,,"Rom|Kunst|D'Annunzio, Gabriele",g|s|p,,
BV041023094,eng,,Journal of King Saud University,,,Amsterdam <<[u.a.]>>,Elsevier,2011-,,,,,
BV041023111,ita,"Burkhart, Sergio",Bartolomeo Pinelli,,Sergio Burkhart,,,2013,,"Pinelli, Bartolomeo|Skizzenbuch|Rom",p|s|g,,
BV041023117,eng,,Frontiers of Architectural Research,,,Amsterdam [u.a.],Elsevier,2012-,,,,,
BV041023123,eng,,International journal of sustainable built environment,,,Amsterdam <<[u.a.]>>,Elsevier,2012-,,,,,
BV041023199,ger,,Techniken der Zugehörigkeit,,Paul Eisewicht,"Karlsruhe, Baden",Universität Karlsruhe Universitätsbibliothek,2012,"Eisewicht, Paul|Grenz, Tilo|Pfadenhauer, Michaela",Technik,s,BV036447316,Karlsruher Studien Technik und Kultur
BV041023217,eng,,Yakhteh medical journal,,,[S.l.],"Royan Institute, Cellular Sciences Research Center",1999-2013,,,,,
BV041023238,eng,,ACM Transactions on Economics and Computation,,Association for Computing Machinery,"New York, NY",ACM,2013-,,,,,
