5;Nf 376;380;...............westeuropäische Länder;
5;Nf 382;;...............südeuropäische Länder;
5;Nf 384;;...............nordeuropäische Länder;
5;Nf 388;;...............osteuropäische Länder;
5;Nf 392;;...............Balkan-Länder;
5;Nf 396;;...............außereuropäische Länder;
4;Nf xxx;yyy;............Kapuziner;
5;Nf 410;;...............interkontinental;
5;Nf 415;;...............Europa allgemein;
5;Nf 420;424;...............mitteleuropäische Länder;
5;Nf 426;430;...............westeuropäische Länder;
5;Nf 432;;...............südeuropäische Länder;
5;Nf 434;;...............nordeuropäische Länder;
5;Nf 438;;...............osteuropäische Länder;
5;Nf 442;;...............Balkan-Länder;
5;Nf 446;;...............außereuropäische Länder;
4;Nf xxx;yyy;............sonstige Bettelordenszweige;
5;Nf 460;;...............interkontinental;
5;Nf 465;;...............Europa allgemein;
5;Nf 470;474;...............mitteleuropäische Länder;
5;Nf 476;480;...............westeuropäische Länder;
5;Nf 482;;...............südeuropäische Länder;
5;Nf 484;;...............nordeuropäische Länder;
5;Nf 488;;...............osteuropäische Länder;
5;Nf 492;;...............Balkan-Länder;
5;Nf 496;;...............außereuropäische Länder;
4;Nf xxx;yyy;............Jesuiten;
5;Nf 510;;...............interkontinental;
5;Nf 515;;...............Europa allgemein;
5;Nf 520;524;...............mitteleuropäische Länder;
5;Nf 526;530;...............westeuropäische Länder;
5;Nf 532;;...............südeuropäische Länder;
5;Nf 534;;...............nordeuropäische Länder;
5;Nf 538;;...............osteuropäische Länder;
5;Nf 542;;...............Balkan-Länder;
5;Nf 546;;...............außereuropäische Länder;
4;Nf xxx;yyy;............sonstige geistliche Orden;
5;Nf 560;;...............interkontinental;
5;Nf 564;;...............Europa allgemein;
5;Nf 570;574;...............mitteleuropäische Länder;
5;Nf 576;580;...............westeuropäische Länder;
5;Nf 582;;...............südeuropäische Länder;
5;Nf 584;;...............nordeuropäische Länder;
5;Nf 588;;...............osteuropäische Länder;
5;Nf 592;;...............Balkan-Länder;
5;Nf 596;;...............außereuropäische Länder;
3;Nf xxx;yyy;.........Klosteranlagen;
4;Nf xxx;yyy;............allgemein;
5;Nf 600;;...............zeitlich durchgehend;
5;Nf 602;;...............vorkarolingische Zeit (bis 800);
5;Nf 604;;...............Mittelalter (800-1500);
5;Nf 606;;...............Neuzeit (nach 1500);
