lev;sys;numbis;text;vw
5;Be 5210;;...............Wesenszüge der Kunst auf Sardinien;
5;Be 5215;;...............Varia;
5;Be 5218;;...............topographische Beschreibungen und Reiseführer;
5;Be 5220;;...............Geschichte der Kunst, zeitlich durchgehend;
5;Be 5222;5230;...............idem (= Geschichte der Kunst), Frühchristentum und Mittelalter (bis 1400;
5;Be 5232;5240;...............idem (= Geschichte der Kunst), Neuzeit (1400 bis zur Gegenwart);
4;Be xxx;yyy;............Architektur;
5;Be 5250;;...............Wesenszüge der Architektur auf Sardinien;
5;Be 5255;;...............Varia;
5;Be 5260;;...............Geschichte der Architektur, zeitlich durchgehend;
5;Be 5262;5270;...............idem (= Geschichte der Architektur), Frühchristentum und Mittelalter (bis 1400);
5;Be 5272;5280;...............idem (= Geschichte der Architektur), Neuzeit (1400 bis zur Gegenwart);
4;Be xxx;yyy;............Plastik;
5;Be 5310;;...............Wesenszüge der Plastik auf Sardinien;
5;Be 5315;;...............Varia;
5;Be 5320;;...............Geschichte der Plastik, zeitlich durchgehend;
5;Be 5322;5330;...............idem (= Geschichte der Plastik), Frühchristentum und Mittelalter (bis 1400);
5;Be 5332;5340;...............idem (= Geschichte der Plastik), Neuzeit (1400 bis zur Gegenwart);
4;Be xxx;yyy;............Malerei;
5;Be 5350;;...............Wesenszüge der Malerei auf Sardinien;
5;Be 5355;;...............Varia;
5;Be 5360;;...............Geschichte der Malerei, zeitlich durchgehend;
5;Be 5362;5370;...............idem (= Geschichte der Malerei), Frühchristentum und Mittelalter (bis 1400);
5;Be 5372;5380;...............idem (= Geschichte der Malerei), Neuzeit (1400 bis zur Gegenwart);
3;Be xxx;yyy;.........Korsika;
4;Be xxx;yyy;............Kunst allgemein (oder vermischte Gattungen);
5;Be 5410;;...............Wesenszüge der Kunst auf Korsika;
5;Be 5415;;...............Varia;
5;Be 5418;;...............topographische Beschreibungen und Reiseführer;
5;Be 5420;;...............Geschichte der Kunst, zeitlich durchgehend;
5;Be 5422;5430;...............idem (= Geschichte der Kunst), Frühchristentum und Mittelalter (bis 1400);
5;Be 5432;5440;...............idem (= Geschichte der Kunst), Neuzeit (1400 bis zur Gegenwart);
4;Be xxx;yyy;............Architektur;
5;Be 5450;;...............Wesenszüge der Architektur auf Korsika;
5;Be 5455;;...............Varia;
5;Be 5460;;...............Geschichte der Architektur, zeitlich durchgehend;
5;Be 5462;5470;...............idem (= Geschichte der Architektur), Frühchristentum und Mittelalter (bis 1400);
5;Be 5472;5480;...............idem (= Geschichte der Architektur), Neuzeit (1400 bis zur Gegenwart);
4;Be xxx;yyy;............Plastik;
5;Be 5510;;...............Wesenszüge der Plastik auf Korsika;
5;Be 5515;;...............Varia;
5;Be 5520;;...............Geschichte der Plastik, zeitlich durchgehend;
5;Be 5522;5530;...............idem (= Geschichte der Plastik), Frühchristentum und Mittelalter (bis 1400);
5;Be 5532;5540;...............idem (= Geschichte der Plastik), Neuzeit (1400 bis zur Gegenwart);
4;Be xxx;yyy;............Malerei;
5;Be 5550;;...............Wesenszüge der Malerei auf Korsika;
5;Be 5555;;...............Varia;
5;Be 5560;;...............Geschichte der Malerei, zeitlich durchgehend;
5;Be 5562;5570;...............idem (= Geschichte der Malerei), Frühchristentum und Mittelalter (bis 1400);
5;Be 5572;5580;...............idem (= Geschichte der Malerei), Neuzeit (1400 bis zur Gegenwart);
3;Be xxx;yyy;.........Sonstige einzelne Inseln (Malta etc.);
4;Be xxx;yyy;............Kunst allgemein (oder vermischte Gattungen);
5;Be 5610;;...............Wesenszüge der Kunst auf sonstigen einzelnen Inseln;
5;Be 5615;;...............Varia;
5;Be 5618;;...............topographische Beschreibungen und Reiseführer;
5;Be 5620;;...............Geschichte der Kunst, zeitlich durchgehend;
5;Be 5622;5630;...............idem (= Geschichte der Kunst), Frühchristentum und Mittelalter (bis 1400);
5;Be 5632;5640;...............idem (= Geschichte der Kunst), Neuzeit (1400 bis zur Gegenwart);
4;Be xxx;yyy;............Architektur;
5;Be 5650;;...............Wesenszüge der Architektur auf sonstigen einzelnen Inseln;
5;Be 5655;;...............Varia;
5;Be 5660;;...............Geschichte der Architektur, zeitlich durchgehend;
5;Be 5662;5670;...............idem (= Geschichte der Architektur), Frühchristentum und Mittelalter (bis 1400);
5;Be 5672;5680;...............idem (= Geschichte der Architektur), Neuzeit (1400 bis zur Gegenwart);
4;Be xxx;yyy;............Plastik;
5;Be 5710;;...............Wesenszüge der Plastik auf sonstigen einzelnen Inseln;
5;Be 5715;;...............Varia;
5;Be 5720;;...............Geschichte der Plastik, zeitlich durchgehend;
5;Be 5722;5730;...............Idem, Frühchristentum und Mittelalter (bis 1400);
5;Be 5732;5740;...............idem (= Idem), Neuzeit (1400 bis zur Gegenwart);
4;Be xxx;yyy;............Malerei;
5;Be 5750;;...............Wesenszüge der Malerei auf sonstigen einzelnen Inseln;
5;Be 5755;;...............Varia;
5;Be 5760;;...............Geschichte der Malerei, zeitlich durchgehend;
5;Be 5762;5770;...............idem (= Geschichte der Malerei), Frühchristentum und Mittelalter (bis 1400);
5;Be 5772;5780;...............idem (= Geschichte der Malerei), Neuzeit (1400 bis zur Gegenwart);
2;Bn ;;......Architektur;
3;Bn xxx;yyy;.........Baukunde, Nationalstil und Varia;
4;Bn xxx;yyy;............Konstruktionslehre;
5;Bn 10;;...............allgemein;
5;Bn 15;;...............Einzelfragen (Akustik etc.);
4;Bn xxx;yyy;............Baumaterialien;
5;Bn 20;;...............allgemein;
5;Bn 22;;...............Steinbau und Steinbearbeitung;
5;Bn 24;;...............Ziegelbau und Ziegelherstellung;
5;Bn 28;;...............Holzbau;
5;Bn 32;;...............Beton- und Stahlbetonbau;
5;Bn 36;;...............Stahlbau;
5;Bn 40;;...............Glasbau;
5;Bn 48;;...............sonstige Bauweisen;
4;Bn xxx;yyy;............Baubetrieb und Steinmetzzeichen;
5;Bn ;;...............;Zunft- und Hüttenwesen = 330 ff.
5;Bn 50;;...............zeitlich durchgehend;
5;Bn 52;;...............Frühchristentum (bis 800);
5;Bn 54;;...............Mittelalter (800-1400);
5;Bn 56;;...............Neuzeit (nach 1400);
5;Bn 58;;...............19. und 20. Jh.;
4;Bn 70;;............Wesenszüge italienischer Baukunst (Nationalstil);
4;Bn 75;;............Wesenszüge der Baukunst italienischer Kunstlandschaften (Regionalstil) ;einzelne Landschaften = Be
4;Bn 90;;............Varia;
3;Bn xxx;yyy;.........Geschichte der Architektur (außer Profanbau speziell);
4;Bn 100;105;............zeitlich durchgehend;
4;Bn 110;112;............Frühchristentum und Mittelalter (bis 1400), gesamt;
4;Bn 115;117;............Frühchristentum (vor 800);
4;Bn 120;122;............Mittelalter (800-1400);
4;Bn 124;128;............idem (= Mittelalter (800-1400)), nach Jahrhunderten;
4;Bn 130;135;............Neuzeit (nach 1400), gesamt;
4;Bn 140;175;............idem (= Neuzeit (nach 1400)), nach Jahrhunderten;
4;Bn 177;185;............19. und 20. Jh.;
3;Bn xxx;yyy;.........Sachfragen zur Sakralarchitektur;
4;Bn xxx;yyy;............Ordensbaukunst;
5;Bn 202;;...............allgemein, zeitlich durchgehend;
5;Bn 204;;...............idem (= allgemein), Mittelalter (bis 1400);
5;Bn 206;;...............idem (= allgemein), Neuzeit (nach 1400);
5;Bn 208;;...............Benediktiner;
5;Bn 210;;...............Zisterzienser;
5;Bn 212;;...............Augustiner;
5;Bn 214;;...............Bettelorden, allgemein;
5;Bn 216;;...............idem (= Bettelorden), nur Franziskaner;
5;Bn 218;;...............idem (= Bettelorden), nur Dominikaner;
5;Bn 220;;...............idem (= Bettelorden), nur Karmeliten;
5;Bn 222;;...............idem (= Bettelorden), nur Kapuziner;
5;Bn 224;;...............idem (= Bettelorden), sonstige Bettelordenszweige;
5;Bn 226;;...............Jesuiten;
5;Bn 228;;...............sonstige geistliche Orden;
4;Bn xxx;yyy;"............Klosteranlagen;";
5;Bn 230;;...............allgemein, zeitlich durchgehend;
5;Bn 232;;...............idem (= allgemein), Mittelalter (bis 1400);
5;Bn 234;;...............idem (= allgemein), Neuzeit (nach 1400);
5;Bn 238;;...............Kreuzgang;
5;Bn 240;;...............Kapitelsaal;
5;Bn 242;;...............Dormitorium;
5;Bn 244;;...............Prälatur;
5;Bn 246;;...............Refektorium;
5;Bn 248;;...............Bibliothek;
5;Bn 250;;...............Festsaal;
5;Bn 253;;...............Sonstiges;
4;Bn xxx;yyy;............Teile des Kirchengebäudes;
5;Bn 255;;...............mehrere Teile zusammenfassend;
5;Bn 257;;...............Fassade;
5;Bn 259;;...............Turm, Dachreiter;
5;Bn 261;;...............Westwerk, Vorhalle, Empore;
5;Bn 263;;...............Choranlage, Krypta;
5;Bn 265;;...............Sonstiges;
5;Bn 267;;...............Annexbauten (Sakristeien etc.);
4;Bn xxx;yyy;............Friedhofsanlagen (auch Gräberfelder und Katakomben);
5;Bn 270;272;...............zeitlich durchgehend;
5;Bn 274;;...............Frühchristentum (bis 800);
5;Bn 276;;...............Mittelalter (800-1400);
5;Bn 278;;...............Neuzeit (nach 1400);
5;Bn 280;;...............19. und 20. Jh.;
4;Bn 285;;............Dorfkirchen und Landkapellen;
4;Bn 295;;............Bildstöcke und Wegkreuze;
3;Bn xxx;yyy;.........Geschichte der Profanarchitektur;
4;Bn 300;305;............zeitlich durchgehend;
4;Bn 310;312;............Frühchristentum und Mittelalter (bis 1400);
4;Bn 315;317;............Frühchristentum (vor 800);
4;Bn 320;322;............Mittelalter (800-1400);
4;Bn 324;328;............idem (= Mittelalter (800-1400)), nach Jahrhunderten;
4;Bn 330;335;............Neuzeit (nach 1400), gesamt;
4;Bn 340;375;............idem (= Neuzeit (nach 1400)), nach Jahrhunderten;
4;Bn 377;385;............19. und 20. Jh.;
3;Bn xxx;yyy;.........Sachfragen zur Profanarchitektur;
4;Bn xxx;yyy;............Burgen, Schlösser, Adelspaläste, Villen;
5;Bn 402;404;...............zeitlich durchgehend;
5;Bn 406;410;...............Frühchristentum und Mittelalter (bis 1400);
5;Bn 412;436;...............Neuzeit (1400 bis zur Gegenwart);
4;Bn xxx;yyy;............Öffentliche Bauten und Wohnhäuser;
5;Bn 450;452;...............zeitlich durchgehend;
5;Bn 454;458;...............Frühchristentum und Mittelalter (bis 1400);
5;Bn 460;484;...............Neuzeit (1400 bis zur Gegenwart);
4;Bn 490;;............Bauernhaus;
4;Bn xxx;yyy;............Teile von Profangebäuden;
5;Bn 510;;...............mehrere Teile zusammenfassend;
5;Bn 512;;...............Dachstuhl, Dachform, Mansarde;
5;Bn 514;;...............Fassade, Erker;
5;Bn 516;;...............Terrasse, Balkon, Altane;
5;Bn 518;;...............Treppenhaus;
5;Bn 520;;...............Galerie, Flur, Saal;
5;Bn 522;;...............Zimmer ;Inneneinrichtung = Bs 6000 ff.
5;Bn 524;;...............sanitäre Anlagen;
5;Bn 528;;...............Sonstiges;
3;Bn xxx;yyy;.........Konstruktive Bauglieder in der Sakral- und Profanarchitektur;
4;Bn 530;;............mehrere Bauglieder zusammenfassend;
4;Bn xxx;yyy;............Kuppel, Gewölbe, Flachdecke;
5;Bn 540;;...............zeitlich durchgehend;
5;Bn 542;;...............Frühchristentum (bis 800);
5;Bn 544;;...............Mittelalter (800-1400);
5;Bn 546;;...............Neuzeit (nach 1400);
5;Bn 548;;...............19. und 20. Jh.;
4;Bn xxx;yyy;............Pfeiler, Säule, Kapitell und Basis, Konsole;
5;Bn 550;;...............zeitlich durchgehend;
5;Bn 552;;...............Frühchristentum (bis 800);
5;Bn 554;;...............Mittelalter (800-1400);
5;Bn 556;;...............Neuzeit (nach 1400);
5;Bn 558;;...............19. und 20. Jh.;
4;Bn xxx;yyy;............Arkade, Nische, Baldachin;
5;Bn 560;;...............zeitlich durchgehend;
5;Bn 562;;...............Frühchristentum (bis 800);
5;Bn 564;;...............Mittelalter (800-1400);
5;Bn 566;;...............Neuzeit (nach 1400);
5;Bn 568;;...............19. und 20. Jh.;
4;Bn xxx;yyy;............Fenster und Maßwerk;
5;Bn 570;;...............zeitlich durchgehend;
5;Bn 572;;...............Frühchristentum (bis 800);
5;Bn 574;;...............Mittelalter (800-1400);
5;Bn 576;;...............Neuzeit (nach 1400);
5;Bn 578;;...............19. und 20. Jh.;
4;Bn xxx;yyy;............Portal;
5;Bn 580;;...............zeitlich durchgehend;
5;Bn 582;;...............Frühchristentum (bis 800);
5;Bn 584;;...............Mittelalter (800-1400);
5;Bn 586;;...............Neuzeit (nach 1400);
5;Bn 588;;...............19. und 20. Jh.;
4;Bn 595;;............Sonstiges;
3;Bn xxx;yyy;.........Stadtbaukunst;
4;Bn xxx;yyy;............Stadtbaukunst allgemein;
5;Bn 610;612;...............zeitlich durchgehend;
5;Bn 615;;...............Frühchristentum (bis 800);
5;Bn 617;;...............Mittelalter (800-1400);
5;Bn 619;;...............Neuzeit (nach 1400);
5;Bn 621;;...............19. und 20. Jh.;
4;Bn xxx;yyy;............Befestigungsanlagen und Wehrbau allgemein;
5;Bn 630;632;...............zeitlich durchgehend;
5;Bn 635;;...............Frühchristentum (bis 800);
5;Bn 637;;...............Mittelalter (800-1400);
5;Bn 639;;...............Neuzeit (nach 1400);
5;Bn 641;;...............19. und 20. Jh.;
4;Bn xxx;yyy;............Brücken, Stadttore, Türme;
5;Bn 650;652;...............zeitlich durchgehend;
5;Bn 655;;...............Frühchristentum (bis 800);
5;Bn 657;;...............Mittelalter (800-1400);
5;Bn 659;;...............Neuzeit (nach 1400);
5;Bn 661;;...............19. und 20. Jh.;
4;Bn xxx;yyy;............Platz und Straße;
5;Bn 670;672;...............zeitlich durchgehend;
5;Bn 675;;...............Frühchristentum (bis 800);
5;Bn 677;;...............Mittelalter (800-14,00);
5;Bn 679;;...............Neuzeit (nach 1400);
5;Bn 681;;...............19. und 20. Jh.;
4;Bn xxx;yyy;............Platzmonumente, Denkmäler, Denksäulen, Brunnen;
5;Bn 690;692;...............zeitlich durchgehend;
5;Bn 695;;...............Frühchristentum (bis 800);
5;Bn 697;;...............Mittelalter (800-1400);
5;Bn 699;;...............Neuzeit (nach 1400);
5;Bn 701;;...............19. und 20. Jh.;
4;Bn xxx;yyy;............Dorf und Siedlung;
5;Bn 710;712;...............zeitlich durchgehend;
5;Bn 715;;...............Frühchristentum (bis 800);
5;Bn 717;;...............Mittelalter (800-1400);
5;Bn 719;;...............Neuzeit (nach 1400);
5;Bn 721;;...............19. und 20. Jh.;
3;Bn xxx;yyy;.........Gartenanlagen;
4;Bn 750;;............Technik der Gartenbaukunst;
4;Bn xxx;yyy;............Geschichte der Gartenbaukunst;
5;Bn 760;762;...............zeitlich durchgehend;
5;Bn 765;;...............Frühchristentum (bis 800);
5;Bn 767;;...............Mittelalter (800-1400);
5;Bn 769;;...............Neuzeit (nach 1400);
5;Bn 771;;...............19. und 20. Jh.;
3;Bn xxx;yyy;.........Fest- und Gelegenheitsarchitektur (vorübergehend errichtete Triumphbögen, Trauergerüste, Ausstellungspavillons etc.);
4;Bn 810;812;............zeitlich durchgehend;
4;Bn 820;;............Frühchristentum (bis 800);
4;Bn 823;;............Mittelalter (800-1400);
4;Bn 826;832;............Neuzeit (nach 1400);
4;Bn 835;;............19. und 20. Jh.;
3;Bn xxx;yyy;.........Architektur-Zeichnung (Sammlungen von Entwürfen und Rissen zu geplanten oder ausgeführten Bauten, sowie Musterbücher und nicht lokalisierbare Idealprojekte);
4;Bn 850;852;............zeitlich durchgehend;
4;Bn 860;;............Frühchristentum (bis 800);
4;Bn 864;;............Mittelalter (800-1400);
4;Bn 868;;............Neuzeit (nach 1400);
4;Bn 872;;............19. und 20. Jh.;
3;Bn ;;.........Bühnenbild und Bühnenausstattung ;Theaterbau = 450 ff.
4;Bn 910;912;............zeitlich durchgehend;
4;Bn 920;;............Frühchristentum (bis 800);
4;Bn 924;;............Mittelalter (800-1400);
4;Bn 928;936;............Neuzeit (nach 1400);
2;Bo ;;......Plastik;
3;Bo xxx;yyy;.........Technik, Nationalstil und Varia;
4;Bo xxx;yyy;............Technik der Plastik (außer Elfenbeinplastik);
5;Bo 20;;...............allgemein oder vermischte Gattungen;
5;Bo 24;;...............Stein-, Steinguß-, Ton- und Stuckplastik;
5;Bo 28;;...............Holzplastik;
5;Bo 32;;...............Bronze- und Eisenguß;
5;Bo 36;;...............sonstige Gattungen;
4;Bo 60;;............Wesenszüge italienischer Plastik (Nationalstil);
4;Bo 65;;............Wesenszüge der Plastik italienischer Kunstlandschaften (Regionalstil) ;einzelne Kunstlandschaften = Be
4;Bo 90;;............Varia;
3;Bo xxx;yyy;.........Geschichte der Plastik (außer Elfenbeinplastik speziell);
4;Bo xxx;yyy;............zeitlich durchgehend;
5;Bo 100;102;...............allgemein oder vermischte Gattungen;
5;Bo 105;120;...............einzelne Gattungen;
4;Bo xxx;yyy;............Spätantike, Frühchristentum und Mittelalter (bis 1400);
5;Bo 130;132;...............allgemein oder vermischte Gattungen;
5;Bo 135;150;...............einzelne Gattungen;
4;Bo xxx;yyy;............Frühchristentum (vor 800);
5;Bo 160;162;...............allgemein oder vermischte Gattungen;
5;Bo 165;180;...............einzelne Gattungen;
4;Bo xxx;yyy;............Mittelalter (800-1400);
5;Bo 200;202;...............allgemein oder vermischte Gattungen;
5;Bo 205;220;...............einzelne Gattungen;
4;Bo xxx;yyy;............9. bis 11. Jh.;
5;Bo 230;;...............allgemein oder vermischte Gattungen;
5;Bo 233;242;...............einzelne Gattungen;
4;Bo xxx;yyy;............12. bis 13. Jh.;
5;Bo 250;;...............allgemein oder vermischte Gattungen;
5;Bo 253;262;...............einzelne Gattungen;
4;Bo xxx;yyy;............14. Jh.;
5;Bo 270;;...............allgemein oder vermischte Gattungen;
5;Bo 273;282;...............einzelne Gattungen;
4;Bo xxx;yyy;............Neuzeit (1400 bis zur Gegenwart);
5;Bo 300;302;...............allgemein oder vermischte Gattungen;
5;Bo 305;320;...............einzelne Gattungen;
4;Bo xxx;yyy;............Renaissance bis Barock (l 400-1800);
5;Bo 330;332;...............allgemein oder vermischte Gattungen;
5;Bo 335;350;...............einzelne Gattungen;
4;Bo xxx;yyy;............Renaissance und Manierismus (1400-1600);
5;Bo 360;362;...............allgemein oder vermischte Gattungen;
5;Bo 365;380;...............einzelne Gattungen;
4;Bo xxx;yyy;............Renaissance (15. Jh.);
5;Bo 400;402;...............allgemein oder vermischte Gattungen;
5;Bo 405;420;...............einzelne Gattungen;
4;Bo xxx;yyy;............Manierismus (16. Jh.);
5;Bo 430;432;...............allgemein oder vermischte Gattungen;
5;Bo 435;450;...............einzelne Gattungen;
4;Bo xxx;yyy;............Manierismus und Barock (1500-1800);
5;Bo 500;502;...............allgemein oder vermischte Gattungen;
5;Bo 505;520;...............einzelne Gattungen;
4;Bo xxx;yyy;............Barock (1600-1800);
5;Bo 530;532;...............allgemein oder vermischte Gattungen;
5;Bo 535;550;...............einzelne Gattungen;
4;Bo xxx;yyy;............17. Jh.;
5;Bo 600;;...............allgemein oder vermischte Gattungen;
5;Bo 603;612;...............einzelne Gattungen;
4;Bo xxx;yyy;............18. Jh.;
5;Bo 620;;...............allgemein oder vermischte Gattungen;
5;Bo 623;632;...............einzelne Gattungen;
4;Bo xxx;yyy;............18. und 19. Jh.;
5;Bo 640;;...............allgemein oder vermischte Gattungen;
5;Bo 643;652;...............einzelne Gattungen;
4;Bo xxx;yyy;............19. Jh.;
5;Bo 660;;...............allgemein oder vermischte Gattungen;
5;Bo 663;672;...............einzelne Gattungen;
4;Bo xxx;yyy;............19. und 20. Jh.;
5;Bo 700;702;...............allgemein oder vermischte Gattungen;
5;Bo 705;720;...............einzelne Gattungen;
4;Bo xxx;yyy;............20. Jh.;
5;Bo 730;;...............allgemein oder vermischte Gattungen;
5;Bo 733;742;...............einzelne Gattungen;
3;Bo xxx;yyy;.........Elfenbeinplastik;
4;Bo 820;;............Technik der Elfenbeinplastik;
4;Bo xxx;yyy;............Geschichte der Elfenbeinplastik;
5;Bo 840;845;...............zeitlich durchgehend;
5;Bo 850;855;...............Frühchristentum (vor 800);
5;Bo 860;865;...............Mittelalter (800-1400);
5;Bo 870;875;...............Neuzeit (1400-1800);
5;Bo 880;885;...............19. und 20. Jh.;
2;Bp ;;......Malerei;
3;Bp xxx;yyy;.........Technik, Nationalstil und Varia;
4;Bp xxx;yyy;............Technik der Malerei (außer Glasmalerei bzw. Mosaik und Sgraffito);
5;Bp 20;;...............allgemein oder vermischte Gattungen;
5;Bp 24;;...............Wand- und Gewölbemalerei;
5;Bp 28;;...............Tafelmalerei;
5;Bp 32;;...............Aquarell;
5;Bp 36;;...............sonstige Gattungen;
4;Bp 60;;............Wesenszüge italienischer Malerei (Nationalstil);
4;Bp 65;;............Wesenszüge der Malerei italienischer Kunstlandschaften (Regionalstil) ;einzelne Kunstlandschaften = Be
4;Bp 90;;............Varia;
3;Bp xxx;yyy;.........Geschichte der Malerei (außer speziell Glasmalerei bzw. Mosaik und Sgraffito);
4;Bp 100;105;............zeitlich durchgehend;
4;Bp 110;115;............Frühchristentum und Mittelalter (bis 1400);
4;Bp 120;125;............Frühchristentum (vor 800);
4;Bp 130;135;............Mittelalter (800-1400), gesamt;
4;Bp 140;146;............idem (= Mittelalter (800-1400)), nach Jahrhunderten;
4;Bp 150;155;............Neuzeit (nach 1400);
4;Bp 160;240;............idem (= Neuzeit (nach 1400)), nach Jahrhunderten;
4;Bp 250;270;............19. und 20. Jh.;
3;Bp xxx;yyy;.........Glasmalerei;
4;Bp 310;;............Technik der Glasmalerei;
4;Bp 325;;............Varia;
4;Bp xxx;yyy;............Geschichte der Glasmalerei;
5;Bp 330;335;...............zeitlich durchgehend;
5;Bp 340;345;...............Frühchristentum (vor 800);
5;Bp 350;355;...............Mittelalter (bis 1400);
5;Bp 360;365;...............Neuzeit (1400-1800);
5;Bp 370;375;...............19. und 20. Jh.;
3;Bp xxx;yyy;.........Mosaik und Sgraffito;
4;Bp xxx;yyy;............Technik der Mosaik- und Sgraffitokunst;
5;Bp 410;;...............allgemein;
5;Bp 414;;...............nur Mosaik;
5;Bp 418;;...............nur Sgraffito;
4;Bp 425;;............Varia;
4;Bp xxx;yyy;............Geschichte der Mosaik- und Sgraffitokunst;
5;Bp 430;435;...............zeitlich durchgehend;
5;Bp 440;445;...............Frühchristentum (vor 800);
5;Bp 450;455;...............Mittelalter (800-1400);
5;Bp 460;465;...............Neuzeit (1400-1800);
5;Bp 470;475;...............19. und 20. Jh.;
2;Bq ;;......Buchmalerei;
3;Bq xxx;yyy;.........Technik, Nationalstil und Varia;
4;Bq 20;;............Technik der Buchmalerei;
4;Bq 60;;............Wesenszüge der italienischen Buchmalerei;
4;Bq 65;;............Wesenszüge der Buchmalerei italienischer Kunstlandschaften (Regionalstil);
4;Bq 90;;............Varia;
3;Bq xxx;yyy;.........Geschichte der Buchmalerei;
4;Bq 100;105;............zeitlich durchgehend;
4;Bq 110;115;............Frühchristentum und Mittelalter (bis 1400);
4;Bq 120;125;............Frühchristentum (vor 800);
4;Bq 150;155;............Mittelalter (800-1400);
4;Bq 160;165;............9. bis 11. Jh.;
4;Bq 170;175;............12. bis 13. Jh.;
4;Bq 180;185;............14. Jh.;
4;Bq 200;215;............Neuzeit (nach 1400);
4;Bq 210;215;............Renaissance bis Barock (1400-1800);
4;Bq 220;225;............Renaissance und Manierismus (1400-1600);
4;Bq 230;235;............Renaissance (15. Jh.);
4;Bq 240;245;............Manierismus (16. Jh.);
4;Bq 250;255;............Manierismus und Barock (1500-1800);
4;Bq 260;265;............17. Jh.;
4;Bq 270;275;............18. Jh.;
4;Bq 280;285;............19. und 20. Jh.;
2;Br ;;......Graphik;
3;Br xxx;yyy;.........Technik, Nationalstil und Varia;
4;Br 20;;............Technik der Graphik (allgemeine oder vermischte Gattungen);
4;Br 60;;............Wesenszüge italienischer Graphik (auch einzelner Gattungen);
4;Br 65;;............Wesenszüge der Graphik italienischer Kunstlandschaften (Regionalstil);
4;Br 90;;............Varia;
3;Br xxx;yyy;.........Geschichte der Graphik (allgemein oder vermischte Gattungen);
4;Br xxx;yyy;............zeitlich durchgehend;
5;Br 105;107;...............Handbücher und Einzelfragen;
5;Br 109;111;...............Oberitalien;
5;Br 113;115;...............Mittelitalien;
5;Br 117;119;...............Unteritalien (auch mit Inseln);
4;Br xxx;yyy;............Mittelalter (bis 1400);
5;Br 125;127;...............Handbücher und Einzelfragen;
5;Br 129;131;...............Oberitalien;
5;Br 133;135;...............Mittelitalien;
5;Br 137;139;...............Unteritalien (auch mit Inseln);
4;Br xxx;yyy;............Neuzeit (1400-1800);
5;Br 145;147;...............Handbücher und Einzelfragen;
5;Br 149;151;...............Oberitalien;
5;Br 153;155;...............Mittelitalien;
5;Br 157;159;...............Unteritalien (auch mit Inseln);
4;Br xxx;yyy;............19. und 20. Jh.;
5;Br 165;167;...............Handbücher und Einzelfragen;
5;Br 169;171;...............Oberitalien;
5;Br 173;175;...............Mittelitalien;
5;Br 177;179;...............Unteritalien (auch mit Inseln);
3;Br xxx;yyy;.........Geschichte der Graphik nach Gattungen;
4;Br xxx;yyy;............Handzeichnung;
5;Br 200;;...............Technik der Handzeichnung;
5;Br 205;207;...............Geschichte der Handzeichnung zeitlich durchgehend, Handbücher und Einzelfragen;
5;Br 209;211;...............idem (= Geschichte der Handzeichnung zeitlich durchgehend), Oberitalien;
5;Br 213;215;...............idem (= Geschichte der Handzeichnung zeitlich durchgehend), Mittelitalien;
5;Br 217;219;...............idem (= Geschichte der Handzeichnung zeitlich durchgehend), Unteritalien (auch mit Inseln);
5;Br 225;227;...............Geschichte der Handzeichnung im Mittelalter, Handbücher und Einzelfragen;
5;Br 229;231;...............idem (= Geschichte der Handzeichnung im Mittelalter), Oberitalien;
5;Br 233;235;...............idem (= Geschichte der Handzeichnung im Mittelalter), Mittelitalien;
5;Br 237;239;...............idem (= Geschichte der Handzeichnung im Mittelalter), Unteritalien (auch mit Inseln);
5;Br 245;247;...............Geschichte der Handzeichnung in der Neuzeit, Handbücher und Einzelfragen;
5;Br 249;251;...............idem (= Geschichte der Handzeichnung in der Neuzeit), Oberitalien;
5;Br 253;255;...............idem (= Geschichte der Handzeichnung in der Neuzeit), Mittelitalien;
5;Br 257;259;...............idem (= Geschichte der Handzeichnung in der Neuzeit), Unteritalien (auch mit Inseln);
5;Br 265;267;...............Geschichte der Handzeichnung im 19. und 20. Jh., Handbücher und Einzelfragen;
5;Br 269;271;...............idem (= Geschichte der Handzeichnung im 19. und 20. Jh.), Oberitalien;
5;Br 273;275;...............idem (= Geschichte der Handzeichnung im 19. und 20. Jh.), Mittelitalien;
5;Br 277;279;...............idem (= Geschichte der Handzeichnung im 19. und 20. Jh.), Unteritalien (auch mit Inseln);
5;Br 320;;...............Original- und Faksimileausgaben anonymer Skizzenbücher, Mittelalter (bis 1400);
5;Br 330;380;...............idem (= Original- und Faksimileausgaben anonymer Skizzenbücher), Neuzeit (1400 bis Gegenwart);
4;Br xxx;yyy;............Holz- und Metallschnitt (auch deren Abarten);
5;Br 400;;...............Technik des Holzschnitts (auch seiner Abarten, wenn eingeschlossen mitbehandelt);
5;Br 404;;...............Technik des Metallschnitts;
5;Br 408;;...............Technik des Schrot- und Weißschnitts;
5;Br 412;;...............Technik des Teigdruckes;
5;Br 416;;...............Technik des Clairobscur- und Farbholzschnitts;
5;Br 425;;...............Anfänge des Holz- und Metallschnitts (15. Jh.), Italien gesamt;
5;Br 429;431;...............idem (= Anfänge des Holz- und Metallschnitts (15. Jh.)), Oberitalien;
5;Br 433;435;...............idem (= Anfänge des Holz- und Metallschnitts (15. Jh.)), Mittelitalien;
5;Br 437;439;...............idem (= Anfänge des Holz- und Metallschnitts (15. Jh.)), Unteritalien (auch mit Inseln);
5;Br 445;447;...............Geschichte des Holz- und Metallschnitts in der Neuzeit;
