id,language_code,holdings,author_person,author_corporate,author_uniform,title,publication,physical_description,subject_personal,subject_corporate,subject_meeting,subject_uniform_title,subject_named_event,subject_chronological,subject_topical,subject_geographic 
BV000143339,fre,{'a': 'DE-Y2'},"Picart, Yves",,,"La vie et l'oeuvre d'Aubin Vouet, (1595 - 1641)",[Paris],98 S.,"Vouet, Aubin",,,,,,Painters,Frankreich
BV000143498,ger,{'a': 'DE-188'},"Gaul, Otto",,,Stadt Lemgo,Münster,"VIII, 1026 S.",,,,,,,Kunst,Lemgo
BV000143785,eng,{'a': 'DE-Y2'},"Brophy, Brigid",,,The prince and the wild geese,New York,62 S.,"Gagarin, Grigorij G.",,,,,,,
BV000143990,ita,{'a': 'DE-83'},"Calvesi, Maurizio",,,Boccioni,Milano,555 Seiten,"Boccioni, Umberto",,,,,Geschichte 1900-2000,Futurismus,Italien
BV000144007,fre,{'a': 'DE-20'},"Georgel, Pierre",,,La peinture dans la peinture,Dijon,"XV, 295 S.",Zeuxis,,,,,,Malerei,
BV000144107,fre,{'a': 'DE-Y2'},,,,Le Palais Farnèse,Rome,"VI S., S. 330 - 772","Carracci, Annibale",,,,,Geschichte 1500-2000,Devise,
BV000144401,ger,{'a': 'DE-188'},,,,Von Angesicht zu Angesicht,Bern,340 S.,"Stettler, Michael",,,,,Geschichte,Bildnis,
BV000144891,ita,{'a': 'DE-11'},,,,"Giuseppe Sommaruga, un protagonista del Liberty italiano",Milano,142 S.,"Sommaruga, Giuseppe",,,,,,,
BV000145462,eng,{'a': 'DE-Y2'},"Hibbard, Howard",,,Caravaggio,New York u.a.,"XII, 404 S.","Caravaggio, Michelangelo Merisi da",,,,,,Malerei,
BV000146004,eng,{'a': 'DE-Y2'},"Gordon, Arthur E.",,,Illustrated introduction to Latin epigraphy,Berkeley u.a.,"XXV, 264, 64 S.",,,,,,,Latein,Römisches Reich
BV000146540,eng,{'a': 'DE-Y7'},"Solkin, David H.",,,Richard Wilson,London,251 S.,"Wilson, Richard",,,,,,Landschaftsmalerei,
BV000146550,ita,{'a': 'DE-B170'},,,,Marino Marini,Firenze,209 S.,"Marini, Marino",,,,,,,
BV000146796,und,{'a': 'DE-Y2'},,,,"Temps, mémoire, tradition au Moyen âge",Marseille,279 S.,,,,,,Geschichte 500-1000,Tradition,
BV000147143,ger,{'a': 'DE-M341'},,,,Raphael in der Albertina,Wien,216 S.,Raffael,Albertina,,,,,Zeichnung,
BV000147170,ita,{'a': 'DE-Y2'},"Binni, Lanfranco",,,Guida artistica dell'Umbria,Milano,115 S.,,,,,,,"Art, Italian",Umbrien
BV000147171,eng,{'a': 'DE-Y2'},,,,The forger's art,Berkeley u.a.,"X, 273 S.","Meegeren, Han van",,,,,,Kunstfälschung,
BV000147310,ger,{'a': 'DE-M333'},"Bosl, Karl",,,Gesellschaftsgeschichte Italiens im Mittelalter,Stuttgart,"X, 272 Seiten",,,,,,Sozialgeschichte 450-1400,Sozialgeschichte,Italien
BV000147566,ita,{'a': 'DE-Y2'},"Orlandoni, Bruno",,,Il castello di Fenis,Aosta,"XIV, 380 S.",,"Castello di Fenis (Fenis, Italy)",,,,,Architektur,Burg Fénis
BV000148227,ger,{'a': 'DE-Y2'},,,,Feuerprobe,Hamburg,[36] S.,"Savonarola, Girolamo",,,,,Geschichte 1500-2000,Religion,
BV000148580,eng,{'a': 'DE-Y2'},,,,Glass in the collections of the Metropolitan Museum of Art,New York,20 S.,,Metropolitan Museum of Art,,,,,Glas,
BV000148636,eng,{'a': 'DE-Y2'},"Carter, John",,,Printing and the mind of man,München,"XXXIV, 280 S.",,,,,,Geschichte,Bedeutung,Europa
BV000148806,ita,{'a': 'DE-Y2'},,,,Castelli di Lunigiana,Pisa,172 S.,,,,,,,Burg,Lunigiana
BV000149029,eng,{'a': 'DE-255'},"D'Amico, John F.",,,Renaissance humanism in papal Rome,Baltimore u.a.,"XVIII, 331 S.",,Katholische Kirche,,,,Geschichte <1420-1527>,Humanismus,Rom
BV000149216,ger,{'a': 'DE-N26'},"Anzelewsky, Fedja",,,Dürer-Studien,Berlin,290 S.,"Dürer, Albrecht",,,,,Geschichte 1495-1505,Ikonographie,
BV000149707,ger,{'a': 'DE-706'},"Wappenschmidt, Heinz-Toni",,,"Allegorie, Symbol und Historienbild im späten 19. Jahrhundert",München,"99, [16] S.",,,,,,Geschichte 1850,Historienmalerei,Deutschland
BV000149741,ger,{'a': 'DE-Y7'},,,,Georg Wenzeslaus von Knobelsdorff,Leipzig,353 S.,"Knobelsdorff, Georg Wenzeslaus von",,,,,,Architektur,Deutschland
BV000150275,ita,{'a': 'DE-Y2'},"Cantone, Gaetana",,,Capri,Napoli,381 S.,,,,,,,Architektur,Capri
BV000150968,ita,{'a': 'DE-Y2'},"Guidobaldi, Federico",,,Pavimenti marmorei di Roma dal IV al IX secolo,Roma,574 S.,,,,,,Geschichte 350-900,Bodenbelag,Rom
BV000151130,ita,{'a': 'DE-739'},,,,Accademie e istituzioni culturali a Firenze,Firenze,341 S.,,,,,,,Akademie,Florenz
BV000151816,ita,{'a': 'DE-Y2'},"Barovier Mentasti, Rosa",,,Il vetro veneziano,Milano,346 S.,,,,,,,Geschichte,Venedig-Murano
BV000151926,ita,{'a': 'DE-824'},,,,La diocesi di Catania alla fine dell'Ottocento nella visita pastorale di G. Francica Nava,Roma,"XXXV, 222 S.","Di Fazio, Giuseppe",Katholische Kirche,,,,Geschichte 1896-1899,Quelle,Catania Region (Italy)
BV000151984,ita,{'a': 'DE-Y2'},"Massobrio, Giovanna",,,L' Italia per Garibaldi,Milano,245 S.,"Garibaldi, Giuseppe",,,,,,Denkmal,Italien
BV000151993,ger,{'a': 'DE-B486'},"Heere, Heribert",,,Lucio Pozzi,München,51 S.,"Pozzi, Lucio",,,,,Geschichte 1980-1982,Malerei,
BV000152017,ita,{'a': 'DE-Y2'},"Del Bufalo, Alessandro",,,G. B. Contini e la tradizione del tardomanierismo nell'architettura tra '600 e '700,Roma,379 S.,"Contini, Giovanni Battista",,,,,Geschichte 1600-1800,Architektur,Italien
BV000152152,eng,{'a': 'DE-Y2'},"Wilkinson, Gerald",,,Turner on landscape,London u.a.,124 S.,"Turner, Joseph Mallord William",,,,,,Landschaftsmalerei,
BV000152226,ita,{'a': 'DE-188'},"Franchetti Pardo, Vittorio",,,Storia dell'urbanistica,Roma u.a.,"VIII, 583 S.",,,,,,Geschichte 1300-1500,Städtebau,Europa
BV000152242,ita,{'a': 'DE-Y2'},"Grisanti, Ezio",,,Alfio Susini,Milano,134 S.,"Susini, Alfio <1900->",,,,,Geschichte 1928-1940,Städtebau,Italien
BV000152697,eng,{'a': 'DE-Y2'},"Mengel, Robert M.",,,A catalogue of the Ellis Collection of ornithological books in the University of Kansas Libraries,"Lawrence, Kan.","XXIX, 259 S",,,,,,,,
BV000152956,ita,{'a': 'DE-Y2'},"Bosio, Luciano",,,La Tabula Peutingeriana,Rimini,234 S.,,,,Peutingersche Tafel,,,,
BV000153852,ita,{'a': 'DE-188'},,,,Genua picta,Genova,318 S.,,,,,,Geschichte 1900-2000,Fassade,Italien
BV000153863,ita,{'a': 'DE-188'},,,,Arti e civiltà del Settecento a Napoli,Roma u.a.,"IX, 338 S.",,,,,,Geschichte 1700-1800,Kunst,Spanien
BV000154268,ger,{'a': 'DE-Re5'},,,,Das alte Europa,Stuttgart,286 Seiten,,,,,,Geschichte 1568-1789,Vedutenmalerei,Europa
BV000154635,ger,{'a': 'DE-M349'},"Junecke, Hans",,,Die wohlbemessene Ordnung,Berlin,206 Seiten,,,,,,,Proportionslehre,
BV000155596,ger,{'a': 'DE-M341'},"Bleyl, Matthias",,,Das klassizistische Porträt,Frankfurt am Main u.a.,237 S.,"David, Jacques Louis",,,,,Geschichte 1600-1900,Technik,
BV000155856,eng,{'a': 'DE-Y2'},"Bregoli-Russo, Mauda",,,Renaissance Italian theater,Firenze,"XV, 219 S.",,University of Chicago,,,,Geschichte 1400-1700,Renaissance,
BV000155908,eng,{'a': 'DE-M341'},"Wallen, Burr",,,Jan van Hemessen,"Ann Arbor, Mich.","XVII, 387 S.","Swart, Jan",,,,,,Painters,Belgien
BV000156064,ger,{'a': 'DE-Freis2'},"Middeldorf Kosegarten, Antje",,,Sienesische Bildhauer am Duomo Vecchio,München,368 S.,,Duomo di Siena,,,,Geschichte 1250-1330,Zunftordnung,Italien
BV000156482,ger,{'a': 'DE-Y2'},"Lips, Julius",,,Der Weiße im Spiegel der Farbigen,Leipzig,267 Seiten,,,,,,Geschichte 1500-2000,Weiße,Afrika
BV000156498,fre,{'a': 'DE-M157'},,,,Vierhundert Jahre Andrea Palladio,Heidelberg,141 S.,"Palladio, Andrea",,,,,,Palladianismus,
BV000156675,eng,{'a': 'DE-M17'},"Boorsch, Suzanne",,,The building of the Vatican,New York,64 S.,,Vatican Palace (Vatican City),,,,,Architektur,Vatikanstadt
BV000156725,eng,{'a': 'DE-Y2'},"Hamilton, Olive",,,The divine country,London,"XIV, 190 S.",,,,,,Geschichte 1370-1950,Engländer,Toskana
BV000156815,ita,{'a': 'DE-Y2'},"Pilo, Giuseppe Maria",,,Venezia: quale immagine?,Pordenone,85 S.,"De Luigi, Ludovico",,,,,,Malerei,Venedig
BV000156975,ita,{'a': 'DE-188'},,,,Immagini anatomiche e naturalistiche nei disegni degli Uffici,Firenze,"149, [76] S.",,Gabinetto Disegni e Stampe,,,,Geschichte 1500-1700,Anatomie,
BV000157101,ita,{'a': 'DE-Y2'},"D'Erme, Vittorio",,,La palude dei Papi,Roma,287 S.,Caetani,,,,,Geschichte 1500-1600,Genealogie,Agro Pontino
BV000157220,fre,{'a': 'DE-Y2'},Yoḥannan,,,Dialogues et traités,Paris,183 S.,,,,,,,,
BV000157313,ita,{'a': 'DE-188'},,,,Storia della cultura Veneta,Vicenza,"XXIX, 695 S.",,,,,,,,
BV000157314,ita,{'a': 'DE-B220'},,,,Storia della cultura Veneta,Vicenza,"XVIII, 692 S.",,,,,,,,
BV000157315,ita,{'a': 'DE-188'},,,,Storia della cultura Veneta,Vicenza,"XV, 654 S.",,,,,,,,
BV000157316,ita,{'a': 'DE-188'},,,,Storia della cultura Veneta,Vicenza,"XVI, 653 S.",,,,,,,,
BV000157319,ita,{'a': 'DE-Y2'},,,,Storia della cultura Veneta,Vicenza,646 S.,,,,,,,,
BV000157320,ita,{'a': 'DE-Y2'},,,,Storia della cultura Veneta,Vicenza,559 S.,,,,,,,,
BV000157436,ita,{'a': 'DE-Y2'},"Rivosecchi, Valerio",,,Esotismo in Roma barocca,Roma,"165 S., [56] Bl.","Kircher, Athanasius",,,,,Geschichte 1600-1800,Einfluss,Rom
BV000157566,ita,{'a': 'DE-Y2'},,,,Studi bizantini e neogreci,Galatina,647 S.,,,,,,,Kultur,Byzantinisches Reich
BV000157839,ger,{'a': 'DE-Y2'},"Kranz, Peter",,,Jahreszeiten-Sarkophage,Berlin,"320, 128 S.",,,,,,,Geschichte,Römisches Reich
BV000158033,ger,{'a': 'DE-Y2'},,,,Fabula docet,Wolfenbüttel,229 S.,Aesopus,,,,,Geschichte 1400-1900,Illustration,
BV000158496,ita,{'a': 'DE-Y2'},,,,Libro e immagine,Pistoia,"XII, 476 S.",,Dominikaner,,,,,Mural painting and decoration,Italien
BV000159048,eng,{'a': 'DE-739'},,,,Automobiles and the future,Ann Arbor,"X, 106 Seiten",,,,,,,Kraftfahrzeugindustrie,Japan
BV000159107,ita,{'a': 'DE-Y2'},"Cesarini, Dante",,,"Giuseppe Piermarini, architetto neoclassico",Foligno,327 S.,"Piermarini, Giuseppe",,,,,,Neoclassicism (Architecture),Italien
BV000159196,ita,{'a': 'DE-Y2'},"Maddalo, Silvia",,,Adrien Manglard,Roma,"184, [126] S.","Manglard, Adrien",,,,,,Rome in art,
BV000159258,ita,{'a': 'DE-Y2'},,,,Insegnamento e riforma nell'ordine domenicano,Pistoia,"XIV, 425 S.",,Dominikaner,,,,Geschichte 1303-1652,Kirchengeschichte,Italien
BV000159530,ger,{'a': 'DE-578'},"Schmidt-Biggemann, Wilhelm",,,Topica universalis,Hamburg,"XXIV, 330 S.",,,,,,Geschichte 1500-1600,Topik,
BV000159797,fre,{'a': 'DE-Y2'},Hesychius,,,Homélies sur Job,Turnhout,297 S.,,,,,,,,
BV000159799,fre,{'a': 'DE-Y2'},Hesychius,,,Homélies sur Job,Turnhout,S. 300 - 612,,,,,,,,
BV000160047,ita,{'a': 'DE-Y2'},"Severini, Gino",,,La vita di un pittore,Milano,"XVIII, 356 S.","Severini, Gino",,,,,,Autobiografie,Italien
BV000160323,ita,{'a': 'DE-Y2'},"Cortese Di Domenico, Gemma",,,Una poetessa ed altri animali,Roma,66 S.,,,,,,Geschichte 1750-1800,Kultur,Rom
BV000161026,ita,{'a': 'DE-Y2'},"Toffanin, Giuseppe",,,Padova fra Ottocento e Novecento,Milano,190 S.,,,,,,Geschichte 1866-1914,,Padua
BV000161356,ita,{'a': 'DE-Y2'},,,,San Benedetto e la civiltà monastica nell'economia e nella cultura dell'Alto Medio Evo,Roma,55 S.,Benedikt,Benediktiner,,,,Geschichte 500-1200,Monasticism and religious orders,
BV000161542,ita,{'a': 'DE-Y2'},,,,Codici liturgici miniati dei Benedettini in Toscana,Firenze,567 S.,,Benediktiner,,,,,Buchmalerei,Toskana
BV000161557,ita,{'a': 'DE-Y2'},,,,"Arti, mestieri, tecniche",[Modena],96 S.,,Biblioteca Estense,,,,Geschichte,Druckschrift,
BV000162012,ita,{'a': 'DE-Y2'},"Trimarco, Angelo",,,La parabola del teorico,Roma,109 S.,"Hauser, Arnold",,,,,Geschichte 1900-2000,Kunstkritik,
BV000162085,ita,{'a': 'DE-Y2'},,Galleria Doria Pamphilj,,La Galleria Doria Pamphilj a Roma,Roma,285 S.,,Galleria Doria Pamphilj,,,,,Painting,Rom
BV000162093,eng,{'a': 'DE-11'},,,,An introduction to medieval enamels,"Owings Mills, Md.",48 S.,,Victoria and Albert Museum,,,,Geschichte 0700-1500,Cloisonné,
BV000162097,ita,{'a': 'DE-Y2'},,,,Tessuti serici italiani,Milano,158 S.,,,,,,Geschichte 1450-1530,Seidengewebe,Italien
BV000162099,ita,{'a': 'DE-Y2'},,,,Metodo e scienza,Firenze,431 S.,,,,,,Geschichte 1900-2000,Restaurierung,Toskana
BV000162100,ita,{'a': 'DE-188'},,,,La città degli Uffizi,Firenze,374 S.,,,,,,,Museum,Florenz
BV000162501,ger,{'a': 'DE-209'},"Schlegel, Walter",,,Festung Hohensalzburg,Salzburg,61 S.,,,,,,,,Hohensalzburg
BV000162512,ger,{'a': 'DE-Y2'},,,,"Religion, Kunst, Vaterland",Köln,184 S.,,,,,,Geschichte 1800-1900,Fortleben,Dom Köln
BV000162868,ger,{'a': 'DE-Y7'},"Maurer, Emil",,,15 Aufsätze zur Geschichte der Malerei,Basel u.a.,200 S.,,,,,,,Malerei,
BV000163045,ita,{'a': 'DE-Y2'},"Zeri, Federico",,,Mai di traverso,Milano,291 S.,,,,,,,Kunst,Italien
BV000163324,ger,{'a': 'DE-M21'},,,,Das Kronprinzensilber,Berlin,67 S.,"Preußen, Wilhelm von",,,,,Geschichte 1900-2000,Plastik,Deutschland
BV000163327,ger,{'a': 'DE-Y3'},"Friebe, Wolfgang",,,Architektur der Weltausstellungen,Stuttgart [u.a.],226 S.,,,Weltausstellung,,,Geschichte 1851-1970,Ausstellungsbau,
BV000163353,ger,{'a': 'DE-2501'},"Paul, Eberhard",,,Gefälschte Antike,Wien ; München,"283, [120] S.",,,,,,Geschichte 1500-1960,Antike,Griechenland
BV000163373,ger,{'a': 'DE-Y2'},"Dalí, Salvador",,,Das geheime Leben des Salvador Dali,München,503 S.,"Dalí, Salvador",,,,,,,
BV000163479,ita,{'a': 'DE-Swf2'},,,,G. B. Piazzetta,Vicenza,191 S.,"Bossuet, Jacques Bénigne",,,,,,Grafik,Venedig
BV000164108,ger,{'a': 'DE-Y2'},"Seewaldt, Peter",,,Giovanni Francesco Marchini,,"242, [70] S.","Marchini, Giovanni Francesco",,,,,Geschichte 1600-1800,Deckenmalerei,Deutschland
BV000164133,eng,{'a': 'DE-Y2'},"Witt, Ronald G.",,,Hercules at the crossroads,"Durham, N.C.","XVI, 455 S.","Salutati, Coluccio",,,,,,Statesmen,Italy
BV000164302,ita,{'a': 'DE-Y2'},,,,"Wendingen, 1918 - 1931",Firenze,151 S.,,,,Wendingen,,Geschichte 1918-1931,Regionalkunst,Niederlande
BV000164810,ger,{'a': 'DE-235'},"Oesch, Hans",,,Außereuropäische Musik,Laaber,"VII, 367 Seiten",,,,,,,Musikwissenschaft,Indien
BV000164824,ger,{'a': 'DE-Y2'},"Müller-Christensen, Sigrid",,,Das Gunthertuch im Bamberger Domschatz,Bamberg,14 Seiten,,,,Gunthertuch,,,Bildprogramm,
BV000164949,eng,{'a': 'DE-739'},"Thomas, Samuel Bernard",,,Labor and the Chinese Revolution,Ann Arbor,"xi, 341 Seiten",,Zhong guo gong chan dang,,,,Geschichte 1928-1948,Klassenkampf,China
BV000167275,ita,{'a': 'DE-Y2'},"Del Fante, Luigi",,,La città di Leon Battista Alberti,Firenze,66 S.,"Alberti, Leon Battista",,,,,Geschichte 1500-1600,Kunstbetrachtung,Italien
BV000167335,ita,{'a': 'DE-Y2'},"Ramieri, Anna Maria",,,La diocesi di Ferentino,Spoleto,"135, XLVI S.",,Catholic Church.,,,,Geschichte 700-1100,Plastik,Diözese Ferentino
BV000167824,ita,{'a': 'DE-Y2'},"Birolli, Zeno",,,Umberto Boccioni,Torino,"189, [32] S.","Boccioni, Umberto",,,,,,Biografie,Italien
BV000167962,eng,{'a': 'DE-M341'},"Russell, Margarita",,,Visions of the sea,Leiden,"XVII, 218 S.","Vroom, Hendrick Cornelisz",,,,,Geschichte 1500-2000,Welt,Beneluxländer
BV000167994,fre,{'a': 'DE-M349'},"Gruber, Alain Charles",,,Chinoiserie,Riggisberg,94 S.,,,,,,Geschichte 1600-1900,Einfluss,Ostasien
BV000168115,ita,{'a': 'DE-188'},"Toni, Anna Caterina",,,Futuristi nelle Marche,Roma,176 S.,,"Gruppo Boccioni (Macerata, Italy)",,,,Geschichte 1913-1944,Futurismus,Italien
BV000168339,eng,{'a': 'DE-Y2'},"Turpin, John",,,John Hogan,Blackrock,216 S.,"Hogan, John",,,,,,Biografie,
BV000168381,und,{'a': 'DE-Y2'},,,,Disegni di Tancredi,Milano u.a.,134 S.,Tancredi,,,,,,Zeichnung,
BV000168429,ita,{'a': 'DE-Y2'},,,,Luigi Veronesi,Ravenna,264 S.,"Veronesi, Luigi",,,,,,,
BV000168699,ger,{'a': 'DE-Y7'},"Peres, Constanze",,,Die Struktur der Kunst in Hegels Ästhetik,Bonn,170 S.,"Hegel, Georg Wilhelm Friedrich",,,,,Geschichte 1800-1900,Kunst,
BV000169008,ita,{'a': 'DE-Y2'},"Becattini, Massimo",,,Lazio,Roma,389 S.,,,,,,,,Latium
BV000169193,ita,{'a': 'DE-Y2'},"Marmori, Franco",,,Liguria,Roma,292 S.,,,,,,,,Ligurien
BV000169412,ita,{'a': 'DE-Y2'},"Stopani, Renato",,,La via francigena in Toscana,Firenze,"78, [32] S.",,,,,,,Geschichte,Toskana
BV000169845,ger,{'a': 'DE-2461'},,,,Wallfahrt kennt keine Grenzen,München,290 S.,Jakobus,,,,,Geschichte 0700-1500,Heiligenbild,
BV000170296,ita,{'a': 'DE-Y3'},"Stringa, Paolo",,,Genova e la Liguria nel Mediterraneo,,407 S.,,,,,,,Siedlung,Genua
BV000170763,ita,{'a': 'DE-Y2'},"Barbieri, Franco",,,Vicenza,Milano,158 S.,,,,,,,Architektur,Vicenza
BV000170790,ger,{'a': 'DE-B496'},,,,Die mittelalterliche Glasmalerei im Erfurter Dom,Wien [u.a.],"X, 434 S., XX, [8] Bl.",,,,,,Geschichte 1370-1416,Glasmalerei,Dom Erfurt
BV000170796,ger,{'a': 'DE-B496'},"Drachenberg, Erhard",,,Die mittelalterliche Glasmalerei im Erfurter Dom,Wien u. a.,375 S.,,,,,,Geschichte 1370-1416,Glasmalerei,Dom Erfurt
BV000170831,ita,{'a': 'DE-Y2'},,,,Repertorio della pittura fiorentina del Seicento,Fiesole,"158 S., [ca. 700] Bl.",,,,,,Geschichte 1600-1700,Malerei,Toskana
BV000170836,ita,{'a': 'DE-M341'},,,,Sustermans,Firenze,135 S.,Medici,,,,,,Bildnis,
BV000170897,ita,{'a': 'DE-Y2'},,,,Boccioni prefuturista,Milano,157 S.,"Boccioni, Umberto",,,,,,,
BV000171248,lat,{'a': 'DE-188'},Mariano,,,De rebus militaribus,Baden-Baden,504 S.,Mariano,,,,,Geschichte 1500-1600,Technik,Italien
BV000171342,ita,{'a': 'DE-Y2'},,,,Mario Marè,Milano,141 S.,"Maré, Mario",,,,,,,
BV000171426,ger,{'a': 'DE-Y2'},,,,Jud Süss,Berlin,209 S.,"Feuchtwanger, Lion",,,Jud Süß,,,Verfilmung,
BV000171708,eng,{'a': 'DE-Y2'},,,,Manuscripts in the fifty years after the invention of printing,London,"VIII, 112, [32] S.",,,,,,Geschichte 1450-1500,Handschrift,
BV000171895,ger,{'a': 'DE-Y2'},"Vogt, Paul",,,Museum Folkwang Essen,Köln,199 S.,,Museum Folkwang,,,,Geschichte 1902-1983,Moderne,Deutschland
BV000171931,spa,{'a': 'DE-Y2'},"Forget, Carl",,,Elsevier's dictionary of jewellery and watchmaking,Amsterdam u.a.,507 S.,,,,,,,Italienisch,
BV000171935,ita,{'a': 'DE-Y2'},"Mazzocca, Fernando",,,Invito a Francesco Hayez,Milano,191 S.,"Hayez, Francesco",,,,,,Bildnis,
BV000171944,ita,{'a': 'DE-Y2'},,,,I Riccardi a Firenze e in villa,Firenze,221 S.,Riccardi,,,,,,,
BV000172226,ger,{'a': 'DE-B1595'},,,,Rosa von Praunheim,München u.a.,279 S.,"Praunheim, Rosa von",,,,,,Homosexuality in motion pictures,
BV000172321,ita,{'a': 'DE-Y2'},,,,Melotti,Milano,106 S.,"Melotti, Fausto",,,,,,,
BV000172428,ger,{'a': 'DE-Y3'},"Altgeld, Wolfgang",,,Das politische Italienbild der Deutschen zwischen Aufklärung und europäischer Revolution von 1848,Tübingen,"XII, 401 Seiten",,,,,,Geschichte 1780-1848,Italienbild,Deutschland
BV000172516,ita,{'a': 'DE-Y2'},"Franzin, Elio",,,Padova e le sue mura,Padova,117 S.,,,,,,,Stadtmauer,Italien
BV000172547,ita,{'a': 'DE-19'},"DeGrazia, Diane",,,Le stampe dei Carracci,Bologna,512 S.,Carracci,,,,,,Druckgrafik,
BV000172549,eng,{'a': 'DE-M341'},"Eldredge, Charles C.",,,Charles Walter Stetson,"Lawrence, Kan.",168 S.,"Stetson, Charles Walter",,,,,,Painters,USA
BV000172559,ger,{'a': 'DE-Y2'},"Hecht, Konrad",,,Der St. Galler Klosterplan,Sigmaringen,362 S.,,Kloster Sankt Gallen,,Sankt Galler Klosterplan,,Geschichte 0700-0900,Klosteranlage,Schweiz
BV000172638,ita,{'a': 'DE-Y2'},"Torriti, Piero",,,Tesori di Strada Nuova,Genova,231 S.,"Brignole Sale, Maria",,,,,,Bildnis,Via Garibaldi
BV000172666,ita,{'a': 'DE-Y2'},"Campailla, Ettore",,,Trieste neoclassica,Trieste,140 S.,,,,,,Geschichte 1800-1855,Architektur,Triest
BV000172992,ita,{'a': 'DE-Y2'},,,,I disegni dei Consetti nelle collezioni della Biblioteca Civica di Storia dell'Arte Luigi Poletti,Modena,235 S.,"Consetti, Jacopino",Biblioteca civica di storia dell'arte Luigi Poletti,,,,,Zeichnung,
BV000174421,ita,{'a': 'DE-Y2'},"Quintavalle, Arturo Carlo",,,Morlotti,Milano,308 S.,"Morlotti, Ennio",,,,,,,
BV000174432,ita,{'a': 'DE-188'},,,,Il complesso di San Francesco Grande in Padova,Padova,249 S.,,Kloster San Francesco Padua,,,,Geschichte,Religious institutions,San Francesco
BV000174541,ita,{'a': 'DE-209'},,,,Armi antiche,Milano,447 S.,,,,,,"Geschichte 1300,ca.-1860",Schusswaffe,
BV000174584,ita,{'a': 'DE-Y2'},,,,Conoscere una città,Bologna,142 S.,,,,,,,Kunst,Bagnacavallo
BV000174588,ita,{'a': 'DE-Y2'},,,,La regola e l'arte,Bologna,166 S.,,Benediktiner,,,,,Kunst,Emilia-Romagna
BV000174590,ita,{'a': 'DE-Y2'},"Varignana, Franca",,,La città artistica,Bologna,133 S.,,,,,,,Restaurierung,Bologna
BV000174648,ita,{'a': 'DE-Y2'},"Pericoli, Mario",,,Frate Jacopone e un'antica statua della madonna in Todi,Todi,45 S.,Jacopone,,,,,Geschichte 0700-1500,Mariendarstellung,Santa Maria in Camuccia
BV000175297,ita,{'a': 'DE-Y2'},"Chiostri, Ferdinando",,,Parchi della Toscana,Genova,207 S.,,,,,,,Garten,Toskana
BV000175435,ger,{'a': 'DE-B496'},,,,Clemens Wenzeslaus Coudray,Weimar,80 S.,"Coudray, Clemens Wenzeslaus",,,,,,,
BV000175734,ger,{'a': 'DE-W91'},,,,Straßen des Glaubens,Aschaffenburg,216 S.,,,,,,Geschichte 700-1400,Reliquie,
BV000175755,fre,{'a': 'DE-188'},,,,Autour de David,Lille,223 S.,"David, Jacques Louis <1748-1825>",Musée des beaux-arts de Lille,,,,Geschichte 1750-1825,Klassizismus,Frankreich
BV000176174,ger,{'a': 'DE-M341'},"Heiden, Rüdiger an der",,,Peter Paul Rubens und die Bildnisse seiner Familie in der Alten Pinakothek,München,36 S.,"Rubens, Peter Paul",Alte Pinakothek,,,,,Familienbildnis,
BV000176176,ger,{'a': 'DE-235'},,,,Die Alexanderschlacht und die Historienbilder des bayerischen Herzogs Wilhelm IV. und seiner Gemahlin Jacobaea für die Münchner Residenz,München,68 S.,"Altdorfer, Albrecht",Bayerische Staatsgemäldesammlungen,,,,Geschichte 1528-1540,Malerei,München
BV000176630,ita,{'a': 'DE-Y2'},"Carandini, Andrea",,,"Filosofiana, la villa di Piazza Armerina",Palermo,"414 S., 3 Faltbl.",,,,,,,,
BV000177074,eng,{'a': 'DE-Y2'},"Thompson, Edward A.",,,Romans and barbarians,"Madison, Wis.","IX, 329 S.",,,,,,Geschichte 476-600,Ende,Weströmisches Reich
BV000177228,ita,{'a': 'DE-Y2'},"Spartà, Santino",,,I campanili di Roma,Roma,271 S.,,,,,,,Kampanile,Rom
BV000177396,lat,{'a': 'DE-Y2'},"Poggio Bracciolini, Gian Francesco",,,Facezie,Milano,407 S.,"Poggio Bracciolini, Gian Francesco",,,,,Geschichte 1492,Edition,
BV000177432,ger,{'a': 'DE-Y2'},"Baer, Harry",,,"Schlafen kann ich, wenn ich tot bin",Köln,295 S.,"Fassbinder, Rainer Werner",,,,,,Autobiografie,
BV000177504,ger,{'a': 'DE-Y2'},,,,Venedig,Frankfurt am Main,346 S.,,,,,,Geschichte 500-1980,Anthologie,Venedig
BV000177567,ger,{'a': 'DE-1052'},"Stagl, Justin",,,Apodemiken,Paderborn [ u.a.],119 S.,,,,,,Geschichte 1500-1800,Reisebericht,
BV000177825,fre,{'a': 'DE-Y2'},"Lajoix, Anne",,,La céramique en France,Paris,195 S.,,,,,,Geschichte 1925-1947,Keramik,Frankreich
BV000178255,ita,{'a': 'DE-Y2'},"Salvagnini, Gigi",,,Gherardo Mechini architetto di sua altezza,Firenze,196 S.,"Mechini, Gherardo",,,,,Geschichte 1500-2000,Architektur,Italien
BV000178257,ita,{'a': 'DE-Y2'},,,,"Chiese, monasteri, ospedali del piano e delle colline di Ripoli",Firenze,"VI, 133 S.",,Catholic Church,,,,,Kirchengeschichte,Bagno a Ripoli
